headline,article
Business leaders unite in Brexit warning,"David Davis is holding Brexit talks in Paris on Monday The UK risks losing jobs and investment without an urgent Brexit transition deal, Britain's five biggest business lobby groups have warned. In a joint letter being sent to Brexit Secretary David Davis, the groups including the CBI and Institute of Directors, say time is running out. The head of the CBI said firms wanted an agreement on the transition period by the end of the year. A government spokesman said the talks were ""making real, tangible progress"". The other lobby groups backing the letter are the British Chambers of Commerce, the Federation of Small Businesses, and the EEF manufacturers' body. CBI director-general Carolyn Fairbairn told the BBC: ""One of the big messages from firms is 'get on with it' on both sides. ""This is real, this is urgent and a transition agreement by the end of the year would help enormously to keep investment and jobs in the country,"" she said. Theresa May has suggested a transition period of about two years, with the UK and EU trading on broadly similar terms to now and payments to Brussels to meet Britain's budget commitments. Firms in the City of London are drawing up Brexit contingency plans But although EU negotiators have agreed to start preliminary work on a future relationship, they still want more concessions on the UK's so-called ""divorce payment"" before starting talks on trade and transition. The five business bodies - which together represent firms employing millions of people - are calling for more urgency, with less than a year and a half left until the UK leaves the European Union. Reality Check: Why Brexit transition may not buy time Brexit deadlock talk 'exaggerated' - Tusk Concern about the loss of UK jobs and investment was underlined last week when the boss of investment banking giant Goldman Sachs, Lloyd Blankfein,tweetedthat he will be ""spending a lot more time"" in Frankfurt. Earlier this month, the deputy governor of the Bank of England, Sam Woods,warnedthat the UK and the EU must agree a transition deal by Christmas or companies would start triggering contingency plans. And in a survey released on Monday, the EEF said that Brexit uncertainty was holding back the plans of manufacturing firms to invest in new plants and machinery. Mr Davis is holding Brexit talks in Paris on Monday after France appeared to emerge as the most hardline EU member state when it comes to the divorce bill. The prime minister is also due to update the Commons on the progress made during last week's summit of EU leaders in Brussels. It is thought that Mrs May will say that negotiations are ""deeply technical"", but she has not forgotten that the lives of millions of people are at the heart of the process. A spokesman for the Department for Exiting the European Union said the prime minister proposed a strictly time-limited implementation period in her Florence speech. He said: ""We are making real and tangible progress in a number of vital areas in negotiations. However, many of the issues that remain are linked to the discussions we need to have on our future relationship. ""That is why we are pleased that the EU has now agreed to start internal preparatory discussions on the framework for transitional arrangements as well as our future partnership."" May hails 'important progress' in EU talks Labour: UK heading for no Brexit deal Reality Check: Why Brexit transition may not buy time Comments can not be loaded To load Comments you need to enable JavaScript in your browser At least two killed and 1,000 structures destroyed as wildfires rage in Los Angeles In maps: Thousands of acres on fire in LA 'Patients are collapsing in the waiting room': A&E nurses speak out Why does Trump want Greenland and what do its people think? How Canada's immigration debate soured - and helped seal Trudeau's fate 'I can't get divorced as I can't get my pension valued' What are cold weather payments and who can get them? BBC Sound of 2025: Barry Can't Swim is a new dance music superstar Ros Atkins on...Elon Musk's political interventions Jean-Marie Le Pen - founder of French far right and 'Devil of the Republic' Cases of HMPV are on the rise in China - but what is it? Politics Essential: Get the latest news and analysis delivered to your inbox every weekday Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
Man arrested after bowling alley siege,"This video can not be played Megan Westwood: ""We got evacuated one by one"" A suspected gunman was arrested after police ended a four-hour siege at a bowling alley in Nuneaton. Officers were called to MFA Bowl in Bermuda Park at around 14:30 BST on Sunday after reports a man with a shotgun had taken two hostages. A 53-year-old man was arrested on suspicion of making threats to kill after police stormed the building at about 18:30 BST. The suspect was treated for minor injuries. Two other men were uninjured. Midlands Live: Latest reaction to bowling alley raid; footballer not allowed to play because of his wedding ring Ch Supt Alex Franklin-Smith, from Warwickshire Police, said officers brought the incident to ""a peaceful resolution"". The siege was ""unconnected"" to terrorism, he added. Police said at about 19:00 BST that the cordon at the retail and leisure complex had been lifted and advised people they could now and any vehicles left there overnight. The gunman reportedly walked into MFA Bowl and yelled ""game over"" before ordering people to get out. About 40 or 50 people were said to be inside the complex at the time. This video can not be played Eyewitness: ""The guy ran up to the door with a gun"" Both of the hostages - a duty manager and a bowling lane host - were unharmed but treated for shock. Chris Clegg, operations director of MFA Bowl, said: ""It's obviously not an everyday situation. The ambulance, police were checking them and making sure they were OK."" The firm's chief executive Mehdi Amshar said he understood the man was known to a member of staff at the bowling alley. Specialist firearms officers and police negotiators were sent to the scene, and used flash bangs - which create a loud noise and bright light - to enter the premises. Allow Twitter content? This article contains content provided by Twitter. We ask for your permission before anything is loaded, as they may be using cookies and other technologies. You may want to readTwitterâs cookie policy,externalandprivacy policy,externalbefore accepting. To view this content chooseâaccept and continueâ. Warwickshire Police said officers were called to reports of a man - described by eyewitnesses as ""in his 40s"" with a gun ""slung"" over his shoulder - with a firearm at 14:30 BST. One witness, Chris Turner, told the BBC he was walking past the front entrance to the bowling alley when the man ""ran up to the door"". He had ""a gun in his hand"" and told him to ""get out of the area"", he said. Mr Turner said the man shouted at a crowd of people outside to leave, saying: ""I've already told you once."" This video can not be played 'We were trying to keep all the kids together' Eyewitnesses also spoke about how they fled the bowling alley, while others hid in toilets, as the gunman brandished a weapon above his head. Alex Mulholland said he was bowling when he looked up to see a man holding a gun over his head. ""He was saying 'game over, game over', everyone was shouting, screaming, panicking, trying to get out and I didn't know what to make of it, really,"" he said.  ""I ran, got my things as quickly as I could and got out of there."" Other businesses in the leisure park, including a children's soft play centre and restaurants, were put into lockdown. Families inside the soft play centre told the BBC they barricaded the front door with tables and chairs. Warwickshire Police said the incident was unconnected to terrorism A number of ambulances were dispatched to the area around the bowling alley Kelly Perrett, who was at the Frankie and Benny's restaurant, told the BBC she was ""hiding in the toilet with about 20 people"". ""It looks like police have got the bowling alley surrounded. The police told me that the gunman is near the door with a hostage,"" she said as the incident unfolded. This video can not be played Footage posted on social media showed police officers at the scene in Bermuda Park Megan Westward said she was about to leave a children's soft play centre when staff told her to move away from the windows. ""There are quite a few bullet proof vans,"" she said. ""We've just seen an air ambulance take off, there are ambulances and there are police in full body suits with guns."" She was then evacuated to a nearby hotel. Allow Twitter content? This article contains content provided by Twitter. We ask for your permission before anything is loaded, as they may be using cookies and other technologies. You may want to readTwitterâs cookie policy,externalandprivacy policy,externalbefore accepting. To view this content chooseâaccept and continueâ. Following the conclusion of the siege, forensics officers were examining the scene and a red Peugeot 307 car was removed by police on the back of a vehicle transporter. Bermuda Park includes a Holiday Inn Express hotel, a gym, a DIY store, a soft play centre and several restaurants. Are you in the area? If it is safe to do so, share your experiences by emailinghaveyoursay@bbc.co.uk,external. Please include a contact number if you are willing to speak to a BBC journalist. You can also contact us in the following ways: WhatsApp:+447555 173285 Tweet:@BBC_HaveYourSay,external Send pictures/video toyourpics@bbc.co.uk,external Upload your pictures / video here,external Send an SMS or MMS to61124or+44 7624 800 100 Two arrested in Warwickshire on suspicion of murder following death of a baby Reaction to publication of review into Warwickshire Police and Warwickshire Hunt Two arrested on suspicion of attempted murder following Coventry shooting Sabs unhappy as review into policing of Warwickshire Hunt finds no evidence of wrongdoing Leamington charity's 'big sleepout' returning for 10th year - and there's also a new event 'Critical incident' declared at Warwick Hospital At least two killed and 1,000 structures destroyed as wildfires rage in Los Angeles In maps: Thousands of acres on fire in LA 'Patients are collapsing in the waiting room': A&E nurses speak out Why does Trump want Greenland and what do its people think? How Canada's immigration debate soured - and helped seal Trudeau's fate 'I can't get divorced as I can't get my pension valued' What are cold weather payments and who can get them? BBC Sound of 2025: Barry Can't Swim is a new dance music superstar Ros Atkins on...Elon Musk's political interventions Jean-Marie Le Pen - founder of French far right and 'Devil of the Republic' Cases of HMPV are on the rise in China - but what is it? Politics Essential: Get the latest news and analysis delivered to your inbox every weekday Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
Macron's dog pees on ElysÃ©e fireplace,"This video can not be played Local television catches Nemo the dog in the act Video has emerged of French President Emmanuel Macron's dog Nemo urinating on a fireplace at the ElysÃ©e palace. Thefootage,externalshows the black Labrador-Griffon cross relieving himself in the background as Mr Macron talks with three junior members of his government. ""I wondered what that noise was,"" says the junior minister for ecology, Brune Poirson, who had previously been talking, as they all laugh. Mr Macron then says that Nemo has done something ""quite exceptional"". The incident was captured by French TV station TF1, which was recording the discussion. Junior minister for planning Julien Denormandie asks if this is something that ""happens often"". ""You've triggered completely unusual behaviour in my dog,"" Mr Macron responds. Can President Macron transform France? Nemo appeared in Mr Macron's entourage in August, continuing a tradition of French presidents having a ""first dog"". Mr Macron and his wife Brigitte reportedly bought him from an animal rescue centre for â¬250 (Â£225). It is not the first time a French first dog has caused trouble for its master. French investigative website Mediapartreported,externalthat Nicolas Sarkozy's dogs damaged valuable furniture in the palace that cost thousands of euros to restore. Meanwhile Jacques Chirac's miniature white Maltese, Sumo, became unhappy at having to leave the ElysÃ©e with its spacious garden and began attacking Mr Chirac, the Guardianreported,external. Ouaf! Meet the French president's dog. Video, 00:01:05Ouaf! Meet the French president's dog Can President Macron transform France? Video, 00:02:53Can President Macron transform France? France's man on the move At least two killed and 1,000 structures destroyed as wildfires rage in Los Angeles In maps: Thousands of acres on fire in LA 'Patients are collapsing in the waiting room': A&E nurses speak out Why does Trump want Greenland and what do its people think? How Canada's immigration debate soured - and helped seal Trudeau's fate 'I can't get divorced as I can't get my pension valued' What are cold weather payments and who can get them? BBC Sound of 2025: Barry Can't Swim is a new dance music superstar Ros Atkins on...Elon Musk's political interventions Jean-Marie Le Pen - founder of French far right and 'Devil of the Republic' Cases of HMPV are on the rise in China - but what is it? Politics Essential: Get the latest news and analysis delivered to your inbox every weekday Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
"US wiped Raqqa off map, says Russia","This video can not be played The BBC's Feras Kilani was in Raqqa with anti-IS troops Russia has accused the US-led coalition of bombing the Syrian city of Raqqa ""off the face of the earth"" during the fight against so-called Islamic State. The Syrian Democratic Forces (SDF), a US-backed alliance of Kurdish and Arab fighters, took Raqqa last week. Pictures suggest much of Raqqa is in ruins, and Moscow compared it to the Allied destruction of the German city of Dresden in World War Two. The US-led coalition says it tried to minimise risks to civilians. Russia has itself been accused ofcommitting war crimesfor its bombardment of Aleppo last year. UN war crimes investigatorsin Junethat there had been a ""staggering loss of civilian life"" in Raqqa. Syrian activists say between 1,130 and 1,873 civilians were killed and that many of the civilian casualties were the result of the intense US-led air strikes that helped the SDF, an alliance of Kurdish and Arab militias, advance. Islamic State group: The full story The city fit for no-one Inside 'Islamic State': A Raqqa diary A Russian defence ministry spokesman said the ruins evoked the destruction of Dresden. ""Raqqa has inherited the fate of Dresden in 1945, wiped off the face of the earth by Anglo-American bombardments,"" Maj Gen Igor Konashenkov said. He said the West now appeared to be hurrying to send financial aid to Raqqa as a way of covering up evidence of its crimes. Allied bombing destroyed most of Dresden in 1945 The US-led coalition said it had adhered to strict targeting processes and procedures aimed to minimise risks to civilians. The SDF declared victory in Raqqa last week after a four-month battle to retake the city from IS, which had ruled it for three years. They say they have since taken the al-Omar oilfield, Syria's largest and a significant source of revenue for IS. The SDF's fight against the militants is now focused on their last stronghold in Syria's eastern province of Deir al-Zour. The Syrian army, supported by Russian airpower and Iranian-backed militias, is also attacking the extremist group. Raqqa civilians trapped in 'absolute hell' Video, 00:02:09Raqqa civilians trapped in 'absolute hell' 'Dozens killed' in air strikes on Raqqa The desperate fight for IS 'capital' Raqqa 'Why I joined IS caliphate' Video, 00:04:09'Why I joined IS caliphate' At least two killed and 1,000 structures destroyed as wildfires rage in Los Angeles In maps: Thousands of acres on fire in LA 'Patients are collapsing in the waiting room': A&E nurses speak out Why does Trump want Greenland and what do its people think? How Canada's immigration debate soured - and helped seal Trudeau's fate 'I can't get divorced as I can't get my pension valued' What are cold weather payments and who can get them? BBC Sound of 2025: Barry Can't Swim is a new dance music superstar Ros Atkins on...Elon Musk's political interventions Jean-Marie Le Pen - founder of French far right and 'Devil of the Republic' Cases of HMPV are on the rise in China - but what is it? Politics Essential: Get the latest news and analysis delivered to your inbox every weekday Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
Budget 'ambush' and transition deal plea,"The Daily Mirror leads with a claim that50 children a week are now referred to gender realignment clinics,external- some as young as four. A gender dysphoria expert and a clinical psychologist tell the paper the rise in cases could be the result of a growing acceptance of gender issues. However, another gender expert cautions that it could be be ""a fad among parents who indulge their children"". Elsewhere on Monday, business leaders take to the Financial Times to""sharply criticise the state of capitalism"",external. A panel of more than 50 leading figures in finance, business and policymaking describe capitalism as in need of reform, as ""management greed, corporate tax dodging and investor short-termism"" have caused it to ""lose its way"", focusing too much on delivering for shareholders, rather than increasing productivity. The Times,externalreports that US President Donald Trump's dismissal of so much of the media as ""fake news"" has led to a rise in young Americans paying for newspaper subscriptions. Online payments for news have gone up 7% in the past year in the United States. The Times says Mr Trump's ""tirades"" have persuaded millennials that print media is cool again. Perhaps unsurprisingly, the paper argues that investment in quality journalism is needed now more than ever. ""No mercy for the jihadis"",,externaldeclares the Daily Express, as it welcomes the suggestion by government minister Rory Stewart that the ""only way"" to deal with British fighters for the Islamic State group is to kill them. In its comment piece, the paper says it is ""refreshing to hear a government minister speak forthrightly"" on the issue. ""Those we spare will not hesitate to return to our shores and murder us,"" it goes on, adding: ""They have forfeited any right to mercy."" As the government brings in measures to tackle so-called health tourism in the UK, the Daily Telegraph reports that there has been a trebling in the past three years in the number ofBritish nationals seeking healthcare overseas,external. The paper says record waiting times prompted almost 144,000 people to go abroad for treatment last year, compared with 48,000 in 2014. In other news, the Queen and Prince Philip are keeping their platinum wedding anniversary celebrations low key by refusing to hold a national celebration to mark the event next month, according to theDaily Express,external. The paper says they will be the first Royal couple in Britain to celebrate 70 years of marriage. But it points out they have a little way to go to beat the world record for the longest Royal marriage: Japan's Prince Mikasa and Yuriko, Princess Mikasa, were together for 75 years. Finally, the tabloids offer up some grim weather prospects for the coming season. The Daily Mirror warns of thepotential for 120mph (193km/h) winds,external. The Daily Star predicts there will bea calm before the storm,external- a mini-heatwave later this week, with temperatures of 21C (70F). And the Daily Express forecasts a""choppy winter of discontent"",external, with 11 more potentially damaging storms between now and the new year. Get news from the BBC in your inbox, each weekday morning,external Daily Express Daily Mail Daily Mirror Daily Star Daily Telegraph Financial Times Guardian Independent Metro Morning Star Sun Times The i Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
UK woman dead in French boat accident,"The incident happened near the town of Avignon A British woman has died after a boat accident in southern France on Saturday night. The 27-year-old was thrown overboard when the boat she was on collided with a warning beacon on the river Rhone. Her body was found six metres underwater, firefighters near Avignon told the AFP news agency. Five other people, including one Briton, were injured and taken to hospital. Two of them are in serious but not life threatening condition. ""Everyone is in shock,"" local police said. An investigation has been launched to determine the circumstances of the incident. Eight friends, four French and four British, aged between 20 and 30, were on the boat, along with the captain. They were on the river near the popular tourist town of Avignon. At least two killed and 1,000 structures destroyed as wildfires rage in Los Angeles In maps: Thousands of acres on fire in LA 'Patients are collapsing in the waiting room': A&E nurses speak out Why does Trump want Greenland and what do its people think? How Canada's immigration debate soured - and helped seal Trudeau's fate 'I can't get divorced as I can't get my pension valued' What are cold weather payments and who can get them? BBC Sound of 2025: Barry Can't Swim is a new dance music superstar Ros Atkins on...Elon Musk's political interventions Jean-Marie Le Pen - founder of French far right and 'Devil of the Republic' Cases of HMPV are on the rise in China - but what is it? Politics Essential: Get the latest news and analysis delivered to your inbox every weekday Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
Actress Leach dies after 'short illness',"Rosemary Leach played the Queen in Margaret, a BBC drama about Margaret Thatcher Actress Rosemary Leach, best known for her roles in the films A Room With A View and That'll Be The Day, has died, her agent has said. Leach, who also played Grace in episodes of the sitcom My Family, died in hospital after a ""short illness"", Caroline de Wolfe said in a statement. The stage and screen actress, 81, won an Olivier Award in 1982 for her part in the play 84 Charing Cross Road. She was also twice nominated for a Bafta award as best supporting actress. Leach is survived by her actor husband, Colin Starkey. Rosemary Leach appeared alongside Ronnie Corbett in Now Look Here, in the 1970s She again starred alongside Corbett in the 1974 series The Prince of Denmark Leach again played Queen Elizabeth II in the 2005 series Tea with Betty At least two killed and 1,000 structures destroyed as wildfires rage in Los Angeles In maps: Thousands of acres on fire in LA 'Patients are collapsing in the waiting room': A&E nurses speak out Why does Trump want Greenland and what do its people think? How Canada's immigration debate soured - and helped seal Trudeau's fate 'I can't get divorced as I can't get my pension valued' What are cold weather payments and who can get them? BBC Sound of 2025: Barry Can't Swim is a new dance music superstar Ros Atkins on...Elon Musk's political interventions Jean-Marie Le Pen - founder of French far right and 'Devil of the Republic' Cases of HMPV are on the rise in China - but what is it? Politics Essential: Get the latest news and analysis delivered to your inbox every weekday Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
"Man charged with murder of woman, 80","Teresa Wishart was found with head injuries at her home A man has been charged with the murder of an 80-year-old woman at her home. The body of Teresa Wishart was found in Changford Close in Kirkby, Merseyside, on Thursday. She had suffered head injuries. Charles Stapleton, 51, from Watts Close, Kirkby, is accused of murder and burglary. He is due to appear at Liverpool, Knowsley and St Helens Magistrates' Court on Monday morning. HM Courts & Tribunals Service - GOV.UK 'A good outcome for the area' new police station plans backed Liverpool's 'little pub with the big heart' Coopers Town House celebrates 100 years Icy weather to continue as fresh warning issued by Met Office Man 'took law into his own hands' at Hollywood Bowl and got it wrong Childhood obesity 'significantly higher' in one part of Merseyside Three people charged over alleged Â£1m fraud offences at car showroom At least two killed and 1,000 structures destroyed as wildfires rage in Los Angeles In maps: Thousands of acres on fire in LA 'Patients are collapsing in the waiting room': A&E nurses speak out Why does Trump want Greenland and what do its people think? How Canada's immigration debate soured - and helped seal Trudeau's fate 'I can't get divorced as I can't get my pension valued' What are cold weather payments and who can get them? BBC Sound of 2025: Barry Can't Swim is a new dance music superstar Ros Atkins on...Elon Musk's political interventions Jean-Marie Le Pen - founder of French far right and 'Devil of the Republic' Cases of HMPV are on the rise in China - but what is it? Politics Essential: Get the latest news and analysis delivered to your inbox every weekday Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
Dubai Scot jailed for three months,"Jamie Harron was convicted of public indecency over the incident in a Dubai bar A Scottish man has been sentenced to three months in jail for touching a man's hip in a Dubai bar. Jamie Harron, from Stirling, was arrested in July and charged with public indecency. He claimed he had simply been trying to avoid spilling his drink when he touched the man. The 27-year-old electrician had already been sentenced toa month in jail for drinking beerand still faces further court proceedings. The businessman who made the complaint against Mr Harron later withdrew it, but prosecutors in Dubai continued with the case. News of the three-month sentence was released by campaign group Detained in Dubai, which has been supporting Mr Harron. Mr Harron was on a stopover break in the United Arab Emirates when the incident happened The group said lawyers acting for him would appeal and they would be pursuing a civil action against his accusers. A statement from the group said: ""Today Jamie Harron was sentenced to three months imprisonment for accidentally brushing the hip of an Arab customer at the Rock Bottom bar in Dubai. ""Key witnesses to the incident were not called upon to testify to discredit the allegations. ""Jamie will appeal the verdict, though this will prolong his increasingly difficult circumstances in Dubai, and compound the enormous financial losses he has suffered as a consequence of the ongoing case."" Detained in Dubai's chief executive Radha Stirling said Mr Harron was ""understandably distraught"". She added: ""Now Jamie has been sentenced to three months, there is no telling whether a judgment on appeal will be better or worse. ""He has already suffered tremendously as a result of these allegations, and now faces the likelihood of incarceration. ""His family was unable to visit him during this critical time because they faced a very real risk of imprisonment themselves under the UAE's cybercrime laws which forbid criticism of the government. ""At this point, Jamie will definitely be pursuing civil action against his accusers when he does eventually return home, as it appears that he will not be able to find justice in the UAE. ""He is angry, disappointed, and dreads what may happen next. He feels betrayed and exploited by the system, which did not investigate the reports of key witnesses in his defence and led him to believe that the case would be dropped."" Mr Harron, who worked as an electrician in Afghanistan, was on a two-day stopover in the United Arab Emirates at the time of the incident on 15 July. He is still to face court on two other charges stemming from the case - one of consuming alcohol, and one for allegedly making a rude gesture. Dubai Scot's indecency ordeal 'not over' âMisledâ Blairgowrie lodge owners face losing their homes after appeal defeats Falkirk Council planners want to reject 21 homes in Dennyloanhead Plans for 48 homes in Polmont should be rejected say Falkirk Council planners A9 closed northbound near Dunblane after crash New membership packages aim to improve health and well-being Scottish regiment's Boer War experiences to be explored in Stirling lecture At least two killed and 1,000 structures destroyed as wildfires rage in Los Angeles In maps: Thousands of acres on fire in LA 'Patients are collapsing in the waiting room': A&E nurses speak out Why does Trump want Greenland and what do its people think? How Canada's immigration debate soured - and helped seal Trudeau's fate 'I can't get divorced as I can't get my pension valued' What are cold weather payments and who can get them? BBC Sound of 2025: Barry Can't Swim is a new dance music superstar Ros Atkins on...Elon Musk's political interventions Jean-Marie Le Pen - founder of French far right and 'Devil of the Republic' Cases of HMPV are on the rise in China - but what is it? Politics Essential: Get the latest news and analysis delivered to your inbox every weekday Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
WHO cancels Mugabe ambassador role,"Mr Mugabe often travels abroad for medical treatment The World Health Organization has revoked the appointment of Zimbabwe's Robert Mugabe as a goodwill ambassador following a widespread outcry. ""I have listened carefully to all who have expressed their concerns,""WHO head Tedros Adhanom Ghebreyesus said,externalin a statement. He had previously praised Zimbabwe for its commitment to public health. But critics pointed out that Zimbabwe's healthcare system had collapsed in recent years. During the first 20 years of his 37-year rule, Mr Mugabe widely expanded health care, but the system has badly been affected by the collapse of the Zimbabwean economy since 2000. Staff often go without pay, medicines are in short supply, and Mr Mugabe, who has outlived the average life expectancy in his country by three decades, travels abroad for medical treatment. Africa's 'medical tourist' presidents Profile: Robert Mugabe Mr Tedros said he had consulted with the Zimbabwean government and decided that rescinding Mr Mugabe's position was ""in the best interests of"" the WHO. He said he remained ""firmly committed to working with all countries and their leaders"" to build universal health care. Mr Tedros, elected in May under the slogan ""let's prove the impossible is possible"" had said he hoped Mr Mugabe would use his goodwill ambassador role to ""influence his peers in the region"". But the appointment was met by a wave of surprise and condemnation. The UK government, the Canadian prime minister, the Wellcome Trust, the NCD Alliance, UN Watch, the World Heart Federation, Action Against Smoking and Zimbabwean lawyers and social media users were among those who criticised the decision. The BBC's Andrew Harding in Johannesburg reports that Mr Mugabe's supporters are likely to see this episode as Western meddling in Africa. Imogen Foulkes, BBC News, Geneva Following the storm of criticism from human rights groups and expressions of dismay from many member states, the WHO had little choice but to cancel its plan to make Robert Mugabe a goodwill ambassador. The about-face will raise questions over the leadership of the WHO's new director general Dr Tedros Adhanom Ghebreyesus. The decision to honour Mr Mugabe is likely to have been taken several weeks ago, and at no point did Mr Tedros seem aware that appointing as goodwill ambassador a man who has been accused of human rights abuses, and of neglecting to the point of collapse his own country's health service, might be controversial. The WHO was supposed to be embarking on a new era of reform. Instead, it is mired in a public relations disaster. Africa's 'medical tourist' presidents Robert Mugabe - hero or villain? At least two killed and 1,000 structures destroyed as wildfires rage in Los Angeles In maps: Thousands of acres on fire in LA 'Patients are collapsing in the waiting room': A&E nurses speak out Why does Trump want Greenland and what do its people think? How Canada's immigration debate soured - and helped seal Trudeau's fate 'I can't get divorced as I can't get my pension valued' What are cold weather payments and who can get them? BBC Sound of 2025: Barry Can't Swim is a new dance music superstar Ros Atkins on...Elon Musk's political interventions Jean-Marie Le Pen - founder of French far right and 'Devil of the Republic' Cases of HMPV are on the rise in China - but what is it? Politics Essential: Get the latest news and analysis delivered to your inbox every weekday Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
