headline,article
French ban on fruit and vegetable packaging begins,"The measures are part of a slate of environmental rules introduced by President Emmanuel Macron A new law banning plastic packaging on most fruit and vegetables comes into effect in France from New Year's day. Cucumbers, lemons and oranges are among the 30 varieties banned from being wrapped in plastic. Larger packs as well as chopped or processed fruit will be exempt. President Emmanuel Macron called the ban ""a real revolution"" and said it showed the country's commitment to phase out single use plastics by 2040. More than a third of fruit and vegetable products in France are thought to be sold in plastic wrapping, and government officials believe that the ban could prevent a billion items of single use plastics being used every year. In a statement announcing the new law, the Environment Ministry said that France uses an ""outrageous amount"" of single use plastics and that the new ban ""aims at cutting back the use of throwaway plastic and boost its substitution by other materials or reusable and recyclable packaging"". The ban forms part of a multi-year programme introduced by Mr Macron's government that will see plastics slowly eased out in many industries. From 2021, the country banned plastic straws, cups and cutlery, as well as polystyrene takeaway boxes. And later in 2022 public spaces will be forced to provide water fountains to reduce the use of plastic bottles, publications will have to be shipped without plastic wrapping, and fast-food restaurants will no longer be able offer free plastic toys. However, industry figures have expressed concerns over the speed at which the new ban is being introduced. Philippe Binard, from the European Fresh Produce Association, said the ""removal of plastic packaging from most fruit and vegetables at such short notice does not allow alternatives to be tested and introduced in a timely manner and stocks of existing packaging to be cleared"". Several other European countries have announced similar bans in recent months as they pursue commitments made at the recent COP26 conference in Glasgow. Earlier this month Spain announced that it will introduce a ban on the sale of fruit and vegetables in plastic packaging from 2023 to allow business to find alternative solutions. Mr Macron's government also announced several other new environmental regulations, including rules calling on car adverts to promote greener alternatives such as walking and cycling. Can seaweed help end plastic pollution? Plastic found inside regurgitated seagull pellets Scotland to ban most single-use plastic in 2022 Night-time curfew imposed in fire-hit areas of LA as police warn against 'despicable' looting 'I have nothing to go back to' - BBC reporter tells of LA fires heartbreak Trump avoids prison or fine in hush-money case sentencing LA fires: How three days of devastation unfolded What's the latest on the Los Angeles wildfires and what caused them? 'My mum died after four days on an A&E trolley' The '9/11 mastermind' wants to plead guilty. Why is the US trying to stop him? Pop star Chappell Roan wins BBC Sound Of 2025 Weekly quiz: Zendaya looked happy but who else sparkled at the Golden Globes? Inside the UK's first legal drug consumption room Danes struggle with response to Trump Greenland threat Off air with Laura K: Get Laura Kuenssberg's expert insight emailed directly to you Dragonsâ Den returns with a new line-up of celebrity guests Can a fresh batch of entrepreneurs secure the deal of a lifetime? Are smart scales really as âsmartâ as they claim to be? Greg Foot explores whether they can accurately measure weight, body fat, muscle and bone mass The award-winning psychological competition is back A nail-biting game of detection, backstabbing and trust. Who will make it through? How close are we to a cancer vaccine? How might it help in the treatment of the disease? Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
"Dancer, football fan, knights","In 2019, Prof Chris Whitty - now Sir Chris - appeared in just two BBC News online stories. One was about doctors in Englandprescribing fewer antibiotics;the other was a preview ofthe week in Parliament. In the same year, his colleague Prof Jonathan Van-Tam appeared in just one BBC story,about England's biggest ever flu vaccination campaign. But that was a lifetime ago - or at least, a pandemic ago - when medical advisers were unseen and unknown, with barely a Wikipedia page between them (by the end of 2019, Prof Whitty's entry was just 248 words; Prof Van-Tam's didn't exist). Since then, both men have appeared in hundreds of BBC stories - Whitty 599, Van-Tam 238 - and have public profiles, and name recognition, that would have seemed far-fetched less than two years ago. Without the pandemic, both men may still have earned knighthoods. But it's certain they wouldn't have their faces on a mug twinset on eBay: Prof Van-Tam's emblazoned with ""JV Tea""; Whitty's with his apparent catchphrase: ""Next slide please"". Prof Whitty, it's fair to assume, stepped onto the stage reluctantly. He is a private person: when, in 2020, colleagues were asked what his interests were,one scratched his head and replied:""There was some talk of him enjoying Scottish dancing."" He was born in Gloucester in 1966, and spent much of his childhood in Europe and Africa, as his parents were teachers and then British Council workers. He was educated in England, including at Malvern College in Worcestershire. One of his tutors there, Roy Allen,told BBC Radio 4's Profile programmethe young Chris was ""reserved, scholarly, sensitive, intelligent, very likeable"". In 1984, just before his A-Levels, his father Kenneth - by then a diplomat - was killed by militants in Athens. Chris learned the news at Malvern; Mr Allen said the murder made his former pupil even more determined. ""I think he feels, probably privately, he is fulfilling the ambitions and hopes of his father and mother,"" he said. ""It was a family with a very strong sense that...you live for a purpose, not just for yourself."" ""Next slide please"": Chris Whitty is the face of government coronavirus data at No 10 briefings After studying at Oxford - former BBC correspondent Danny Shaw, who studied with him, remembered him as ""down to earth, dry sense of humour, 20 going on 40"" - he became a doctor in Africa and Asia. In 2004, he worked in malaria research in Tanzania, where he had a small boat at the yacht club in Tanga, according to then colleague Prof Chris Drakeley. Prof Drakeley, speaking to Profile, also confirmed the interest in dancing. ""He does enjoy it - I have seen it with my own eyes,"" he remembered. ""And I have heard from people who have danced with him that he is very good."" But away from the yacht club, and the occasional Scottish jig, it seems Prof Whitty's preferred pastime is study - the more, the better. ""Chris is a polymath - he's really extraordinary,"" said Prof David Mabey, a former colleague. ""He's very interested in history. Since I've known him he's done a diploma in economics, a degree in law, and an MBA [a graduate business degree] in his spare time."" BBC Radio 4 Profile: Prof Chris Whitty Chris Whitty: The man with our lives in his hands Penalties, equalisers & yoghurts - Van-Tam's best analogies Prof Van-Tam - Boston United superfan Prof Whittybecame chief medical officer for England in 2019,external- just months before the pandemic arrived in the UK - and the spotlight has not always been welcome. Last summer, two men were arrested after accosting him in London. One was given a suspended sentence; the other man's case is ongoing. The convicted man, Lewis Hughes, told the court he stopped Prof Whitty because he wanted ""a selfie for his mum"". In a way, it was quite telling: in a pandemic, a chief medical officer veers close to celebrity status. At the time of writing, there are132 Chris Whitty mugs on eBay,and his Wikipedia entry is more than 1,500 words long. ""Tonight, we're going viral!"" Prof Van-Tam giving the Royal Institution Christmas lecture Prof Jonathan Van-Tam, it's fair to say, seems a more natural public figure. In a recentRoyal Institution lecture,he began by ripping off his tie in a puff of smoke, before pointing at the camera and declaring: ""Tonight, we're going viral!"" It's hard to imagine Prof Whitty doing the same. Compared to his boss, Prof Van-Tam has been happy to share some of his background. He lives near Boston, Lincolnshire, with his wife and two teenage sons (an older daughter has moved out) and is an avid Boston United fan. He was born to a British mother and French-Vietnamese father - both were teachers - and his paternal grandfather was prime minister of South Vietnam in the 1950s when it was a French protectorate. ""I guess it's quite South East Asian, but I've always been struck by the fact that the next generation are more important than we are,""he told the Times in a recent interview.,external Prof Van-Tam is not, in fact, the only deputy chief medical officer - there arethree others in England,external- but his turn of phrase has turned him into a key public-facing figure. ""I love metaphors,"" he told the BBC a year ago. ""I think they bring complex stories to life for people."" This video can not be played ""They've got a goal... we've now got an equaliser"" - Prof Van-Tam used a lengthy football analogy to explain the significance of vaccines in December 2020 True to his word, in November he was asked on the BBC about the pandemic in the UK. ""It's half time in extra time,"" he said. ""I think the final whistle...I can't predict it, but we've got a few months to run, and we'll be in calmer waters by spring."" Like Prof Whitty, he has earned a down-to-earth popularity among many of the millions who've watched his news conferences. The Times called him an ""unlikely cult hero""; earlier in the year, he was even tipped to appear on Strictly Come Dancing. Although he batted away the rumours - ""It would be rather like watching Jumbo on ice"" - it's hard to imagine him, or Prof Whitty, returning to one or two stories a year any time soon. Whitty and Van-Tam knighted in New Year Honours Chris Whitty: The man with our lives in his hands Prof Van-Tam - Boston United superfan Night-time curfew imposed in fire-hit areas of LA as police warn against 'despicable' looting 'I have nothing to go back to' - BBC reporter tells of LA fires heartbreak Trump avoids prison or fine in hush-money case sentencing LA fires: How three days of devastation unfolded What's the latest on the Los Angeles wildfires and what caused them? 'My mum died after four days on an A&E trolley' The '9/11 mastermind' wants to plead guilty. Why is the US trying to stop him? Pop star Chappell Roan wins BBC Sound Of 2025 Weekly quiz: Zendaya looked happy but who else sparkled at the Golden Globes? Inside the UK's first legal drug consumption room Danes struggle with response to Trump Greenland threat Off air with Laura K: Get Laura Kuenssberg's expert insight emailed directly to you Dragonsâ Den returns with a new line-up of celebrity guests Can a fresh batch of entrepreneurs secure the deal of a lifetime? Are smart scales really as âsmartâ as they claim to be? Greg Foot explores whether they can accurately measure weight, body fat, muscle and bone mass The award-winning psychological competition is back A nail-biting game of detection, backstabbing and trust. Who will make it through? How close are we to a cancer vaccine? How might it help in the treatment of the disease? Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
Warmest New Year's Eve recorded ushers in 2022,"The West of England, Lincolnshire and London have had the warmest weather Britain has seen its hottest New Year's Eve ever with temperatures reaching 15.8C (60.4F) in the west of England, the Met Office has said. The previous record of 14.8C (58.6F) in Colwyn Bay, Wales, in 2011 was toppled this afternoon in Somerset. Temperatures will continue to rise across England before dropping at night as the UK rings in 2022. Areas of southern and eastern England including the West Country and London will see the mildest weather. The Met Office said the extremely mild spell was driven by a flow of warm, moist air from the Canary Islands. Allow Twitter content? This article contains content provided by Twitter. We ask for your permission before anything is loaded, as they may be using cookies and other technologies. You may want to readTwitterâs cookie policy,externalandprivacy policy,externalbefore accepting. To view this content chooseâaccept and continueâ. Met Office spokesperson Stephen Dixon said the first reading taken at Ryehill in East Yorkshire at 11:00 GMT had ""provisionally broken the New Year's Eve record"". ""Our station at Ryehill, a small village in East Yorkshire has recorded 14.9C (58.8F) today, which tops the previous record of 14.8C (58.6F)."" That figure has since risen to 15.8C (60.4F) and was last recorded at the Met Office's station in Merryfield in southwest Somerset. The Met Office said the weather was forecast to get cooler from Tuesday, potentially bringing wintry showers and frosts. Forget your fleece and coat - it's liberating to take a pleasant New Year's Eve stroll in just your T-shirt. But it doesn't bode well for the future. The Met Office say the UK's record temperatures have all been elevated by manmade climate change which has raised temperatures globally by 1.1C. Cold records are still being broken, as in the Beast from the East storm in 2018. But the Met Office say warm weather records are being broken nine times more frequently - a clear sign of an over-heating planet. The winter wildfires in Colorado are even arguably more alarming than unseasonal warmth in the UK. It's too soon to say what role human-driven climate change may have played in the disaster - but it's the latest episode of regular weather patterns being disrupted. Meanwhile,different regions of Alaskaare experiencing record high and low temperatures at the same time. Climate scientists warnthat we can expect many more extremes as the planet continues to heat. And attempts to reduce emissions have been undermined by several factors, including President Biden's struggle with climate policies in the USA. The highest UK daytime temperature recorded on New Year's Day is 15.6C (60F) in Bude, Cornwall, in 1916. Met Office chief forecaster Steve Ramsdale said: ""The current weather pattern is bringing extremely mild conditions to the UK - perhaps reaching around 16.0C (60.8F) in some parts. ""We also expect some very mild overnight temperatures as well with minimum temperature records being broken in places."" The Met Office added the warm spell has the potential to challenge records for New Year's Day, creating the unusual situation of one weather system perhaps breaking weather records for two days in separate calendar years. Follow BBC West onFacebook,external,Twitter,externalandInstagram,external. Send your story ideas to:bristol@bbc.co.uk,external Storm Arwen brings snow, waves and winds Here's why autumn this year could be extra special Weather and climate change - Met Office Stokely gets improved care rating after being 'in breach of regulations' '100 free bowls': award-winning street vendor coming to Taunton Concerns over âindustrialâ activities at former RAF airfield near Bridgwater Shepton Mallet jobs roundup: from cheese stacking to saving lives â apply now or regret it later North Somerset Council could join devolved Wessex group Street and Glastonbury job market: apply now or forever wonder what could have been Night-time curfew imposed in fire-hit areas of LA as police warn against 'despicable' looting 'I have nothing to go back to' - BBC reporter tells of LA fires heartbreak Trump avoids prison or fine in hush-money case sentencing LA fires: How three days of devastation unfolded What's the latest on the Los Angeles wildfires and what caused them? 'My mum died after four days on an A&E trolley' The '9/11 mastermind' wants to plead guilty. Why is the US trying to stop him? Pop star Chappell Roan wins BBC Sound Of 2025 Weekly quiz: Zendaya looked happy but who else sparkled at the Golden Globes? Inside the UK's first legal drug consumption room Danes struggle with response to Trump Greenland threat Off air with Laura K: Get Laura Kuenssberg's expert insight emailed directly to you Dragonsâ Den returns with a new line-up of celebrity guests Can a fresh batch of entrepreneurs secure the deal of a lifetime? Are smart scales really as âsmartâ as they claim to be? Greg Foot explores whether they can accurately measure weight, body fat, muscle and bone mass The award-winning psychological competition is back A nail-biting game of detection, backstabbing and trust. Who will make it through? How close are we to a cancer vaccine? How might it help in the treatment of the disease? Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
