headline,article
'Indiana Jones of art' strikes again,"Arthur Brand says tracking down the mosaic felt very special The man nicknamed ""the Indiana Jones of the art world"" has done it again - this time tracking down a precious sixth-Century mosaic stolen from Cyprus. Finding the 1,600-year-old piece in a flat in Monaco had felt very special, Dutchman Arthur Brand said. He handed the work over to the Cypriot embassy in The Hague on Friday. Mr Brand has achieved fame recovering stolen artwork since 2015 whenhe found Hitler's Horses- two Nazi statues that stood outside Hitler's office. The Byzantine depiction of Saint Mark was stolen in the 1970s from Panayia Kanakaria church, about 105km (65 miles) north-east of the Cypriot capital, Nicosia. Mr Brand spent nearly two years chasing the work across Europe, finally tracking it down in the possession of a British family. They had ""bought the mosaic in good faith more than four decades ago"", the investigator told AFP news agency. ""They were horrified when they found out that it was in fact a priceless art treasure, looted from the Kanakaria church after the Turkish invasion,"" Mr Brand said. ""It was one of the greatest moments of my life,"" the investigator said. The newest instalment of the Indiana Jones franchise, which stars Harrison Ford in the title role, is scheduled for release in 2020. A grown-up viewing of Indiana Jones The 2002 Van Gogh museum raid was one of a series of thefts that shocked the art world. Munch's 1893 work The Scream was found two years after it was torn from a museum wall in Oslo in 2004 In 2004, two Edvard Munch masterpieces, The Scream and Madonna, were seized by armed men who raided the Munch museum in Oslo.  Several men were jailed and the paintings later recovered after painstaking detective work in 2006. Another version of The Scream was stolen from the National Art Museum in Oslo in 1994 and that too was later recovered in a sting operation by UK detectives. In 2012, seven artworks were stolen from Rotterdam's Kunsthal museum, including paintings by Picasso, Monet and Matisse.Two thieves were later jailed, telling a Bucharest court that security at the museum had been lax. Some of the paintings were destroyed in an oven. Earlier this year, four paintings out of a haul of 24 stolen from a Dutch gallery in 2005 were recovered in Ukraine. Stolen Van Goghs back on display Stolen Van Goghs back on display Mafia exposed as artful dodgers Wildfire sweeps through Hollywood Hills and threatens landmarks as chaos grips LA Paris Hilton among stars 'heartbroken' as she watches home 'burn to ground' Commuters warned of icy roads as cold snap continues to freeze UK Sound Of 2025: Ezra Collective are 'keeping music real' The Papers: 'Apocalypse' LA and 'Reeves faces extra tax rises' How Australia's beach cabana drama sparked a turf war H-1B: Visa row under Trump fuels anxiety for Indian dreamers 'I thought I was going to die': Jailed Venezuelan activist details brutality of prison life The man who could become Canada's future PM 'Trump 2.0' looms large over the global economy A politician was shot dead in Bangkok. Did another country do it? Chris Mason: Is Starmer leaving the door open to an abuse inquiry? Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
Rare 'stingray' attack kills Australian,"Stingrays are not usually aggressive and fatal attacks on humans remain rare A 42-year-old man has died after a suspected stingray attack off the Tasmanian coast, Australian police say. They saidthe man developed a cardiac arrest after ""sustaining a puncture to his lower abdomen"",externalat Lauderdale Beach. The statement said the wound was ""possibly inflicted by a marine animal"". Officials told local media it was consistent with a stingray attack. Stingrays are not considered dangerous, even though one killed Australian conservationist Steve Irwin in 2006. Steve Irwin poses with an alligator at the San Francisco Zoo in 2002 Known as the Crocodile Hunter after his wildlife television show, Irwin died when a stingray's tail stabbed him in the heart. There have been, however, more reports of shark attacks in Australia recently and the Tasmanian police were keen to stress the Lauderdale Beach incident was not shark-related. What are the world's deadliest animals? Woman and girl bitten in Whitsunday Islands Surf event cancelled after shark incidents Tips on surviving a shark attack Petition aims to get Irwin on banknotes Two shark attacks at Australia tourist spot Wildfire sweeps through Hollywood Hills and threatens landmarks as chaos grips LA Paris Hilton among stars 'heartbroken' as she watches home 'burn to ground' Commuters warned of icy roads as cold snap continues to freeze UK Sound Of 2025: Ezra Collective are 'keeping music real' The Papers: 'Apocalypse' LA and 'Reeves faces extra tax rises' How Australia's beach cabana drama sparked a turf war H-1B: Visa row under Trump fuels anxiety for Indian dreamers 'I thought I was going to die': Jailed Venezuelan activist details brutality of prison life The man who could become Canada's future PM 'Trump 2.0' looms large over the global economy A politician was shot dead in Bangkok. Did another country do it? Chris Mason: Is Starmer leaving the door open to an abuse inquiry? Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
505 'safety events' at UK nuclear base,"A total of 505 safety events were recorded at the British naval base since 2006 There have been more than 500 safety incidents at the home of the UK's nuclear submarine fleet in the past 12 years, it has been revealed. Two events at HM Naval Base Clyde had ""high potential for radioactive release to the environment"", according to the Ministry of Defence. But in ""neither [Category A] event was any radiological contamination evident"", the MoD confirmed. The figures were disclosed in response to a parliamentary question. Replying to Edinburgh SNP MP Deidre Brock, defence minister Stuart Andrew stated the safety events ""may be near-misses, equipment failures, human error or procedural failings"". What do we know about Faslane? 50 years of nuclear submarines on Clyde How important are UK's nuclear weapons? In total, 505 events were recorded since 2006 at the Faslane site, he said. The figures he revealed also show there have been more recorded incidents in recent years than in previous years, with 80 in 2016 and 73 in 2017. Mr Andrew said: ""They [incidents] are raised, however minor they may appear, to encourage a comprehensive, robust reporting culture, undertake learning from experience and to take early corrective action."" The two Category A incidents were listed between 2006 and 2007. Mr Andrew continued: ""None of the events caused harm to the health of any member of staff on the Naval Base, or to any member of the public."" He said the MoD takes all incidents, no matter how minor, ""extremely seriously"" and that they are investigated with appropriate measure put in place. Kate Hudson, CND general secretary, said the defence minister's letter ""confirms our fears"" that ""safety at Faslane was worsening"". 50 years of nuclear submarines on the Clyde Anti-nuclear campaigners stage peace walk What do we know about Faslane? Wildfire sweeps through Hollywood Hills and threatens landmarks as chaos grips LA Paris Hilton among stars 'heartbroken' as she watches home 'burn to ground' Commuters warned of icy roads as cold snap continues to freeze UK Sound Of 2025: Ezra Collective are 'keeping music real' The Papers: 'Apocalypse' LA and 'Reeves faces extra tax rises' How Australia's beach cabana drama sparked a turf war H-1B: Visa row under Trump fuels anxiety for Indian dreamers 'I thought I was going to die': Jailed Venezuelan activist details brutality of prison life The man who could become Canada's future PM 'Trump 2.0' looms large over the global economy A politician was shot dead in Bangkok. Did another country do it? Chris Mason: Is Starmer leaving the door open to an abuse inquiry? Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
Trump 'won't listen' to Khashoggi tape,"This video can not be played The BBC's Frank Gardner looks at what could happen to the man known as MBS US President Donald Trump says he has been briefed on a recording of Saudi journalist Jamal Khashoggi's murder - but will not listen to it himself. ""It's a suffering tape, it's a terrible tape,"" he told Fox News Sunday. The CIA has reportedly concluded the powerful Saudi Crown Prince ordered the killing but the White House is yet to endorse that assessment. Saudi Arabia has called the claim false and denied Crown Prince Mohammed bin Salman had any knowledge of the murder. Khashoggi, a prominent critic of the Saudi government, was killed after entering the Saudi consulate in Istanbul on 2 October to obtain a marriage document. Saudi Arabia says Khashoggi was killedas the result of a rogue operation. The Jamal Khashoggi story so far Khashoggi murder: Is Saudi crown prince finished? The journalist who vanished into a consulate Even supporters in the US Congress have been pressing President Trump for a tougher response to the killing, but with Saudi Arabia a key partner in the Middle East this may be something Mr Trump is reluctant to do. The US president said he did not have to, given he had been fully briefed on its content. ""I know everything that went on in the tape without having to hear it,"" he told Fox. ""It was very violent, very vicious and terrible."" The reportedly shocking and incriminating recordings were shared by Turkeywith the US and other  western allies. This video can not be played How has the death of Jamal Khashoggi impacted the war in Yemen? In his interview, President Trump said that Mohammed bin Salman had told him he had no knowledge of the killing. Mr Trump added that it may be no one will find out who was behind the killing, and pointed to US sanctions imposed on individuals allegedly involved. ""But at the same time we do have an ally and I want to stick with an ally that in many ways has been very good,"" he added. Although the CIA is not said to have direct evidence linking Crown Prince Mohammed bin Salman to the murder, officials reportedly believe it could not have taken place without his approval. But on Saturday the State Department said the US government was yet to reach a final conclusion on the killing, with ""numerous unanswered questions"" remaining. President Trump has spoken to the CIA on its findings. His Fox interview was recorded before news of the CIA's findings emerged and he said his administration's verdict was imminent. ""We'll be having a very full report over the next two days, probably Monday or Tuesday,"" he told reporters. An ally of Mr Trump, Republican Senator Lindsey Graham, said he did not believe the Crown Prince's denials. ""If he is going to be the face of Saudi Arabia going forward, I think the kingdom will have a hard time on the world stage,"" he told NBC. Khashoggi murder: Is Saudi crown prince finished? The journalist who vanished into a consulate Saudis identify 'Khashoggi's killer' Khashoggi killers 'did rogue operation' Video, 00:00:29Khashoggi killers 'did rogue operation' What happened to Jamal Khashoggi? Wildfire sweeps through Hollywood Hills and threatens landmarks as chaos grips LA Paris Hilton among stars 'heartbroken' as she watches home 'burn to ground' Commuters warned of icy roads as cold snap continues to freeze UK Sound Of 2025: Ezra Collective are 'keeping music real' The Papers: 'Apocalypse' LA and 'Reeves faces extra tax rises' How Australia's beach cabana drama sparked a turf war H-1B: Visa row under Trump fuels anxiety for Indian dreamers 'I thought I was going to die': Jailed Venezuelan activist details brutality of prison life The man who could become Canada's future PM 'Trump 2.0' looms large over the global economy A politician was shot dead in Bangkok. Did another country do it? Chris Mason: Is Starmer leaving the door open to an abuse inquiry? Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
Wedding magazine shuts after LGBT row,"One of Australia's leading wedding magazines is shutting down after it refused to feature same-sex couples. Luke and Carla Burrell, founders of White magazine, said advertisers had abandoned them in droves. The Christian couple said they made the choice because they had ""no desire to create a social, political or legal war"". Australia legalised gay marriage in December last yearafter the country overwhelmingly voted in favour of it. In a farewell post on its website, the magazine's founders said they had been targeted by ""a flood of judgement,"" and that couples they featured had been sent online abuse. ""White Magazine has always been a secular publication, but as its publishers, we are Christian. We have no agenda but to love,"" they wrote. ""Like many people, we have had to reflect on our beliefs,"" the founders wrote. ""It's a long and continuing journey."" Was Australia's marriage poll worth it? How the killing of a gay academic changed Australia Photographer Lara Hotz, who shot three covers for the magazine, told media in August that it wasn't including gay couples - though it hadn't said so publicly. Ms Hotz, who is in a same-sex marriage herself, said the magazine's decision made her feel ""extremely hurt"",external. ""It appears they are happy to take money, content and photographs from LGBTQI advertisers and contributors, but are yet to support and represent us in the same way as heterosexual couples are represented in the magazine,"" radio programme Hack quoted her as saying. The photographer said she did not want to force the magazine to include same-sex weddings, but felt its stance should be made transparent. Allow Facebook content? This article contains content provided by Facebook. We ask for your permission before anything is loaded, as they may be using cookies and other technologies. You may want to readMetaâs Facebook cookie policy,externalandprivacy policy,externalbefore accepting. To view this content chooseâaccept and continueâ. A Facebook post by White drew a mixed response, with some praising the founders for sticking to their principles, and others branding them homophobes who did not deserve to be in business. ""It doesn't seem to me that your agenda is just to love, it seems like your agenda is just to love straight people,"" wrote Ruth Parker. Another commenter, Cynthia McKenzie, said she felt the magazine's freedom of speech had been impeded, writing: ""Unfortunately today if you have faith and don't agree with same-sex marriage, you can't run your own business the way you want."" White magazine is not the first enterprise to shut after a diversity row. Last month,an Oregon bakery that had refused to make a wedding cake for a lesbian couple closed down for good,external. Rare 'stingray' attack kills Australian Australia 'trolley hero' faces charges US joins Australia in PNG naval base plan Australians decisively back gay marriage Celebs celebrate Australia gay marriage result Tears of joy from gay Australian senator How the killing of a gay academic changed Australia Australia approves same-sex marriage Wildfire sweeps through Hollywood Hills and threatens landmarks as chaos grips LA Paris Hilton among stars 'heartbroken' as she watches home 'burn to ground' Commuters warned of icy roads as cold snap continues to freeze UK Sound Of 2025: Ezra Collective are 'keeping music real' The Papers: 'Apocalypse' LA and 'Reeves faces extra tax rises' How Australia's beach cabana drama sparked a turf war H-1B: Visa row under Trump fuels anxiety for Indian dreamers 'I thought I was going to die': Jailed Venezuelan activist details brutality of prison life The man who could become Canada's future PM 'Trump 2.0' looms large over the global economy A politician was shot dead in Bangkok. Did another country do it? Chris Mason: Is Starmer leaving the door open to an abuse inquiry? Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
Two-year degree plan to cut cost of fees,"Students in England are being promised the option of ""accelerated"" two-year degree courses, saving 20% on tuition fees compared with a three-year course. Universities Minister Sam Gyimah has confirmed plans for universities to be able to charge higher fees for shorter, more intensive courses. It would mean paying about Â£5,500 less than for a three-year course - which would mean about Â£11,000 per year. But raising annual fees above Â£9,250 would require Parliamentary approval. The government wants to encourage more flexible ways of studying - in particular as a way of reversing the decline in the numbers of mature students taking degrees. Condensing a full degree into two years is seen as being more appealing to people who are in work or with family commitments. A fast-track degree, with two 45-week years of teaching, would allow students to borrow less on fees and to save on a year's living costs and accommodation. Universities would have the incentive of being able to charge higher annual fees to cover extra teaching costs. It would also be cheaper for the government, which would have lower tuition fee loans to fund. Are students overpaying for tuition fees? Tuition fees cut to Â£6,500 but higher for science? The degrees that make you rich... and the ones that don't The proposals for this scheme wereput forward by the government last year- but making it happen will depend on Parliament lifting the fee cap above Â£9,250. It would have to be debated and backed by Parliament - but the Department for Education says if it got approval, such courses could operate from next year. Mr Gyimah said accelerated degrees would help improve access for ""mature students and those who commute, who were previously locked out of higher education"". He said there were ""undeniable financial, academic and personal benefits"" and it would also encourage universities to ""offer dynamic choices that serve students' needs"". However, the head of one of the first universities to offer two-year degrees over 40 years ago has warned that many universities will find it difficult to adapt. Sir Anthony Seldon, vice-chancellor of the University of Buckingham, said: ""Two-year degrees are a more efficient and cost-effective method for students to get on with their careers and their lives."" But he said: ""Universities offering three-year degrees will find it difficult to restructure. ""We would like the universities minister to engage in discussions with us in order to assist independent providers who offer two-year degrees."" Are students overpaying for tuition fees? Two-year degrees to lower tuition fees Two year 'fast-track' degrees Wildfire sweeps through Hollywood Hills and threatens landmarks as chaos grips LA Paris Hilton among stars 'heartbroken' as she watches home 'burn to ground' Commuters warned of icy roads as cold snap continues to freeze UK Sound Of 2025: Ezra Collective are 'keeping music real' The Papers: 'Apocalypse' LA and 'Reeves faces extra tax rises' How Australia's beach cabana drama sparked a turf war H-1B: Visa row under Trump fuels anxiety for Indian dreamers 'I thought I was going to die': Jailed Venezuelan activist details brutality of prison life The man who could become Canada's future PM 'Trump 2.0' looms large over the global economy A politician was shot dead in Bangkok. Did another country do it? Chris Mason: Is Starmer leaving the door open to an abuse inquiry? Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
Migrants found on rocks off Kent coast,"This video can not be played Migrants use small boat to cross the English Channel Nine suspected migrants have been found clambering up rocks after apparently crossing the Channel in a small boat. The group, believed to be from Iran, called police to say they were in trouble at 07:30 GMT. They were also spotted by a member of the public on the rocks at Copt Point, off Folkestone, 45 minutes later. The Home Office said they were taken to Dover and would be ""processed in line with immigration rules"". A criminal investigation is under way. More than 60 suspected migrants have entered the UK via Kent this week. The suspected migrants were spotted on the rocks by a member of the public On Friday, adinghy carrying seven suspected migrantswas found on the beach at Samphire Hoe, near Dover. Two days earlierthree boats with a total of 22 suspected migrantson board, including one woman and a toddler, were picked up off the coasts of Dover and Ramsgate. On Tuesday, a French fishing boat thought to have been stolen was stopped as it entered the Port of Dover with17 suspected migrants on board. In a separate incident,seven suspected migrantswere also found in a lorry at Dover docks. The Home Office said they would all be interviewed by immigration officials. The Border Force has stepped up its patrols along England's south-east coast. Ashford MP and former immigration minister Damian Green said the solution lay in breaking up the gangs orchestrating attempts to cross the Channel. ""Desperate people clinging to rocks in Folkestone are desperate, and they are vulnerable to international criminal gangs who will tell them anything to take their money off them,"" he added. Toddler among 'migrants' on three boats Migrants found on 'stolen' fishing boat Seven men found hidden in lorry at Dover Home Office Maritime and Coastguard Agency âWeâll have a really horrible, nasty snarl of traffic lightsâ We tried Kentâs viral Sunday sharing roast with âmonths-long waiting listâ Wintry Weather Alert: Snow and Ice Expected for Kent tonight! Two men push woman to the ground and steal bag in Dover street robbery Long-awaited Â£20m leisure centre revamp could start next year Huge turnout as anger mounts over âdevastatingâ impact on town of shock rating Wildfire sweeps through Hollywood Hills and threatens landmarks as chaos grips LA Paris Hilton among stars 'heartbroken' as she watches home 'burn to ground' Commuters warned of icy roads as cold snap continues to freeze UK Sound Of 2025: Ezra Collective are 'keeping music real' The Papers: 'Apocalypse' LA and 'Reeves faces extra tax rises' How Australia's beach cabana drama sparked a turf war H-1B: Visa row under Trump fuels anxiety for Indian dreamers 'I thought I was going to die': Jailed Venezuelan activist details brutality of prison life The man who could become Canada's future PM 'Trump 2.0' looms large over the global economy A politician was shot dead in Bangkok. Did another country do it? Chris Mason: Is Starmer leaving the door open to an abuse inquiry? Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
UK's richest man eyes North Sea fields,"Jim Ratcliffe is the founder and chairman of Ineos Britain's richest man Jim Ratcliffe is hoping to extend his grip on the North Sea by buying oil and gas fields from US giant ConocoPhillips. Mr Ratcliffe's company Ineos and ConocoPhillips have both confirmed that they are in exclusive talks. Among the assets up for grabs is Conoco's 6.5% stake in the Clair field, west of Shetland. The field potentially has 7 billion barrels of oil in place, according to BP's chief executive Bob Dudley. BP recently bought a 16.5% stake in the Clair field from ConocoPhillips, giving the UK oil giant a total holding of 45.1%. Rich List 2018: Jim Ratcliffe is UK's richest man Jim Ratcliffe: Turning cast-offs into gold Reports suggest that the assets ConocoPhillips is selling could be worth as much as $3bn (Â£2.3bn). They do not include the company's oil terminal in Teesside or its commercial trading group based in London. The Clair oil field lies 46 miles to the west of the Shetland Islands The North Sea is still a relatively new area for Mr Ratcliffe and Ineos. The billionaire, whose Â£21bn fortune makes him the UK's richest manaccording to the Sunday Times rich list,external, has traditionally invested in speciality chemicals businesses. Ineos owns the Grangemouth oil refinery site in Scotland which manufactures a range of petrochemicals that are used in a wide range of products including bottles, food packaging and in the pharmaceuticals industry. Ineos first acquired a number of North Sea gas fields in 2015 before it buying up the oil and gas business owned by Denmark's Dong Energy for Â£1bn two years later. The Sunday Times reported that Ineos had put down a deposit in exchange for three months of exclusive talks with ConocoPhillips. Ineos declined to comment. Ineos to invest Â£60m at Grangemouth Bridgend off-road car decision expected Wildfire sweeps through Hollywood Hills and threatens landmarks as chaos grips LA Paris Hilton among stars 'heartbroken' as she watches home 'burn to ground' Commuters warned of icy roads as cold snap continues to freeze UK Sound Of 2025: Ezra Collective are 'keeping music real' The Papers: 'Apocalypse' LA and 'Reeves faces extra tax rises' How Australia's beach cabana drama sparked a turf war H-1B: Visa row under Trump fuels anxiety for Indian dreamers 'I thought I was going to die': Jailed Venezuelan activist details brutality of prison life The man who could become Canada's future PM 'Trump 2.0' looms large over the global economy A politician was shot dead in Bangkok. Did another country do it? Chris Mason: Is Starmer leaving the door open to an abuse inquiry? Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
500 'safety events' at UK nuclear base,"A total of 505 safety events were recorded at the British naval base since 2006 There have been more than 500 safety incidents at the home of the UK's nuclear submarine fleet in the past 12 years, it has been revealed. Two events at HM Naval Base Clyde had ""high potential for radioactive release to the environment"", according to the Ministry of Defence. But in ""neither [Category A] event was any radiological contamination evident"", the MoD confirmed. The figures were disclosed in response to a parliamentary question. Replying to Edinburgh SNP MP Deidre Brock, defence minister Stuart Andrew stated the safety events ""may be near-misses, equipment failures, human error or procedural failings"". What do we know about Faslane? 50 years of nuclear submarines on Clyde How important are UK's nuclear weapons? In total, 505 events were recorded since 2006 at the Faslane site, he said. The figures he revealed also show there have been more recorded incidents in recent years than in previous years, with 80 in 2016 and 73 in 2017. Mr Andrew said: ""They [incidents] are raised, however minor they may appear, to encourage a comprehensive, robust reporting culture, undertake learning from experience and to take early corrective action."" The two Category A incidents were listed between 2006 and 2007. Mr Andrew continued: ""None of the events caused harm to the health of any member of staff on the Naval Base, or to any member of the public."" He said the MoD takes all incidents, no matter how minor, ""extremely seriously"" and that they are investigated with appropriate measure put in place. Kate Hudson, CND general secretary, said the defence minister's letter ""confirms our fears"" that ""safety at Faslane was worsening"". 50 years of nuclear submarines on the Clyde Anti-nuclear campaigners stage peace walk What do we know about Faslane? Wildfire sweeps through Hollywood Hills and threatens landmarks as chaos grips LA Paris Hilton among stars 'heartbroken' as she watches home 'burn to ground' Commuters warned of icy roads as cold snap continues to freeze UK Sound Of 2025: Ezra Collective are 'keeping music real' The Papers: 'Apocalypse' LA and 'Reeves faces extra tax rises' How Australia's beach cabana drama sparked a turf war H-1B: Visa row under Trump fuels anxiety for Indian dreamers 'I thought I was going to die': Jailed Venezuelan activist details brutality of prison life The man who could become Canada's future PM 'Trump 2.0' looms large over the global economy A politician was shot dead in Bangkok. Did another country do it? Chris Mason: Is Starmer leaving the door open to an abuse inquiry? Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
US-China division mars Apec summit end,"US VP Pence (3rd right) and China's Xi did not appear together in Apec leaders pictures An Asian economic summit has ended without a formal leaders' statement for the first time because of US-China divisions over trade. Papua New Guinea's Prime Minister Peter O'Neill said ""the two big giants in the room"" had been unable to agree. He said a chairman's statement for the Asia-Pacific Economic Cooperation (Apec) summit would be released later. The US and China are engaged in trade war and revealed competing visions for the region at the summit. In his closing comments, Mr O'Neill said Apec would try to ensure ""free and open trade"" in the region by 2020. China v the US: Not just a trade war What China wants from the Pacific US to invest more than $100m in Asia During the summit,the US said it would join Australia in developing a naval basein Papua New Guinea (PNG), in an apparent move to curb China's growing influence. US Vice-President Mike Pence said the base would help ""protect sovereignty and maritime rights in the Pacific islands"". On Saturday Chinese PresidentXi Jinping took a swipe at the US's America First policyby saying that countries that embraced protectionism were ""doomed to failure"". Mr Xi (C) criticised the US's America First policy Mr Pence later said he was prepared to ""more than double"" the tariffs imposed on Chinese goods. He also criticised China's massive Belt-and-Road infrastructure programme, warning smaller countries that ""opaque"" Chinese development loans led to ""staggering debt"". He urged countries to work with the US instead, saying the US did not ""coerce, corrupt or compromise your independence"". Mr Xi insisted that there was no ""hidden agenda"" to the Belt-and-Road scheme. This video can not be played How hogs and Harleys became weapons in a looming trade war. Wildfire sweeps through Hollywood Hills and threatens landmarks as chaos grips LA Paris Hilton among stars 'heartbroken' as she watches home 'burn to ground' Commuters warned of icy roads as cold snap continues to freeze UK Sound Of 2025: Ezra Collective are 'keeping music real' The Papers: 'Apocalypse' LA and 'Reeves faces extra tax rises' How Australia's beach cabana drama sparked a turf war H-1B: Visa row under Trump fuels anxiety for Indian dreamers 'I thought I was going to die': Jailed Venezuelan activist details brutality of prison life The man who could become Canada's future PM 'Trump 2.0' looms large over the global economy A politician was shot dead in Bangkok. Did another country do it? Chris Mason: Is Starmer leaving the door open to an abuse inquiry? Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
