headline,article
Homeless 'devastated' by doorway death,"Ross Miller had known Rob O'Connor since 2002 Homeless people have told of their shock after a man died in a shop doorway during a night of freezing temperatures. The body ofRob O'Connor was found in Springfield Road, Chelmsford on Friday morning. Essex Police said Mr O'Connor's death is being treated as unexplained. Although temperatures in the city dropped below 0C (32F) on the night of his death, his friends say he had been suffering with his health in general. Mr O'Connor, who was originally from Canada, is understood to have recently undergone an operation for cancer, which required the removal of his voice box. Ross Miller, who is homeless, said he had known Mr O'Connor for 16 years: ""I was devastated when I heard the news. He could be a pain, but he was all right. He was a nice bloke."" This message was put up by a homeless man in Chelmsford called Dave. Dave said he put up the board, which has since blown away, because he feared nobody else would recognise the death of a fellow rough sleeper He said the streets had been bitterly cold the past few days, adding: ""I wish I had somewhere to go. I don't like sitting here, I really don't. ""Some people are really kind, they give you the time of day, maybe a little food or some spare money."" Alice, who works at a coffee shop in Chelmsford, said: ""I knew the guy who died, he was around here quite a bit so you just do what you can. ""It is cold and hideous at the moment, so you have got to be nice when you can."" A coffee shop worker brought out warm drinks and cakes for homeless people, during a BBC interview A second homeless man, called Daniel, from Bradford, said some homeless people struggled to get places in night shelters. He said homeless people who tested positive for drink or drugs often found themselves turned away. ""We are not bad people,"" he said. ""We are functioning alcoholics - we drink just to keep warm. ""We are not going to start problems. I would go in there to get some sleep and to not get hypothermia."" Homeless man dies after cold night Shelter England Council leader points to benefits of devolution Yellow weather warning of ice issued for south east England Uâs loanee Donnelly heads back to Forest Attempted murder probe after reports of kidnapping and serious attack in Essex Scam warning issued over posts promoting 'big event' at south Essex hall Driver reported for offences after top half of bus ripped off after hitting bridge Firefighters running out of water as wildfire declared most destructive in LA's history Moment friends abandon house as Palisades fire closes in 'Patients are collapsing in the waiting room': A&E nurses speak out Why does Trump want Greenland and what do its people think? How Canada's immigration debate soured - and helped seal Trudeau's fate 'I can't get divorced as I can't get my pension valued' What are cold weather payments and who can get them? BBC Sound of 2025: Barry Can't Swim is a new dance music superstar Ros Atkins on...Elon Musk's political interventions Jean-Marie Le Pen - founder of French far right and 'Devil of the Republic' Cases of HMPV are on the rise in China - but what is it? Politics Essential: Get the latest news and analysis delivered to your inbox every weekday Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
Wearable tech aids stroke patients,"This video can not be played Wearable tech could help stroke patients Scientists in the US are developing wearable sensors to speed up the recovery of stroke patients. The sensors are able to send information to doctors continuously. The team developing the system says it could allow therapists to more closely monitor the effectiveness of their care. Details of the study were released at the recent annual meeting of the American Association for the Advancement of Science in Texas. Lizzy McAninch had a stroke two years ago. She could not move or speak or swallow for several weeks. Lizzy is testing out wearable sensors that might speed her recovery. They look like small white sticking plasters, but they send information wirelessly to her medical team. She is a doctor herself and can see how they could help her. They look like small sticking plasters ""This technology to put sensors on the body to assess which muscle groups work or not can really pinpoint the areas affected by the stroke and can target therapies to specifically improve those issues,"" she told BBC News. The sensors continue to send back readings even after she has finished her exercises. This means that her therapist Kristen Hohl, from the Shirley Ryan AbilityLab in Chicago, can monitor her progress at home. ""As a therapist, I think about what my patients are doing at home. Are they able to carry through the recommendations I'm giving them as a therapist to do more? Do we see that they are walking more or do we see them engaging in conversations? ""Those are the types of things that I can get feedback from the sensors where currently I have to rely on what they tell me they have done."" The team is gathering large amounts of data The challenge for the scientists was to pack a lot of electronics on to a small flexible material and still make it comfortable for the patient to wear for a long time. ""It is almost mechanically imperceptible to the patient who is wearing the device,"" according to John Rogers, of Northwestern University in Chicago, who developed the sensors. ""And you can embed all sorts of advanced sensor functionality, microprocessor computing capability, power supplies and WiFi into this very unusual platform, and that is the uniqueness of what we do."" By the end of this year, the research team will have more information than ever before on stroke recovery. The scientists believe that their study could transform the way patients are treated in the future. Follow Pallab on Twitter,external Firefighters running out of water as wildfire declared most destructive in LA's history Moment friends abandon house as Palisades fire closes in 'Patients are collapsing in the waiting room': A&E nurses speak out Why does Trump want Greenland and what do its people think? How Canada's immigration debate soured - and helped seal Trudeau's fate 'I can't get divorced as I can't get my pension valued' What are cold weather payments and who can get them? BBC Sound of 2025: Barry Can't Swim is a new dance music superstar Ros Atkins on...Elon Musk's political interventions Jean-Marie Le Pen - founder of French far right and 'Devil of the Republic' Cases of HMPV are on the rise in China - but what is it? Politics Essential: Get the latest news and analysis delivered to your inbox every weekday Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
Homeless 'devastated' by doorway deathHomeless people are bracing themselves for an expected drop in temperatures.10h10 hours agoEssex,"Ross Miller had known Rob O'Connor since 2002 Homeless people have told of their shock after a man died in a shop doorway during a night of freezing temperatures. The body ofRob O'Connor was found in Springfield Road, Chelmsford on Friday morning. Essex Police said Mr O'Connor's death is being treated as unexplained. Although temperatures in the city dropped below 0C (32F) on the night of his death, his friends say he had been suffering with his health in general. Mr O'Connor, who was originally from Canada, is understood to have recently undergone an operation for cancer, which required the removal of his voice box. Ross Miller, who is homeless, said he had known Mr O'Connor for 16 years: ""I was devastated when I heard the news. He could be a pain, but he was all right. He was a nice bloke."" This message was put up by a homeless man in Chelmsford called Dave. Dave said he put up the board, which has since blown away, because he feared nobody else would recognise the death of a fellow rough sleeper He said the streets had been bitterly cold the past few days, adding: ""I wish I had somewhere to go. I don't like sitting here, I really don't. ""Some people are really kind, they give you the time of day, maybe a little food or some spare money."" Alice, who works at a coffee shop in Chelmsford, said: ""I knew the guy who died, he was around here quite a bit so you just do what you can. ""It is cold and hideous at the moment, so you have got to be nice when you can."" A coffee shop worker brought out warm drinks and cakes for homeless people, during a BBC interview A second homeless man, called Daniel, from Bradford, said some homeless people struggled to get places in night shelters. He said homeless people who tested positive for drink or drugs often found themselves turned away. ""We are not bad people,"" he said. ""We are functioning alcoholics - we drink just to keep warm. ""We are not going to start problems. I would go in there to get some sleep and to not get hypothermia."" Homeless man dies after cold night Shelter England Council leader points to benefits of devolution Yellow weather warning of ice issued for south east England Uâs loanee Donnelly heads back to Forest Attempted murder probe after reports of kidnapping and serious attack in Essex Scam warning issued over posts promoting 'big event' at south Essex hall Driver reported for offences after top half of bus ripped off after hitting bridge Firefighters running out of water as wildfire declared most destructive in LA's history Moment friends abandon house as Palisades fire closes in 'Patients are collapsing in the waiting room': A&E nurses speak out Why does Trump want Greenland and what do its people think? How Canada's immigration debate soured - and helped seal Trudeau's fate 'I can't get divorced as I can't get my pension valued' What are cold weather payments and who can get them? BBC Sound of 2025: Barry Can't Swim is a new dance music superstar Ros Atkins on...Elon Musk's political interventions Jean-Marie Le Pen - founder of French far right and 'Devil of the Republic' Cases of HMPV are on the rise in China - but what is it? Politics Essential: Get the latest news and analysis delivered to your inbox every weekday Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
Pair in court over 'hit-and-run' deaths,"Corey (left) and Casper Platt-May were hit by a car on Thursday A man and woman have appeared in court charged with causing the death of two young brothers by dangerous driving, following a suspected hit-and-run crash in Coventry. Corey, six, and Casper Platt-May, two, were on a family trip to a park on Thursday when they were hit by a car. Robert Brown, 53, and Gwendoline Harrison, 41, spoke only to confirm their names and addresses at Coventry Magistrates' Court. They have been remanded in custody. Mr Brown, of Attwood Crescent, Wyken, is also charged with driving while disqualified and without a licence or insurance. Ms Harrison, of Triumph Close, Wyken, also faces an allegation of common assault. They are due to appear at Warwick Crown Court on Thursday 22 March. Corey and Casper were with their mother and a group of up to nine children being helped across Macdonald Road at about 14:00 GMT on Thursday when they were struck. They were taken to hospital with severe injuries but Casper could not be revived and died a short time later. An off duty doctor tried to save Corey and Casper at the crash scene Corey was rushed into surgery, but later died. Family and friends have set up a number of fundraising pages to help the grieving parents cover the funeral costs. Coventry City Football Club said their players would wear black armbands during Saturday's match against Mansfield Town in memory of the boys. Tributes have been left at the scene of the crash HM Courts Service Beds petition goes to Parliament Two arrested in Warwickshire on suspicion of murder following death of a baby Reaction to publication of review into Warwickshire Police and Warwickshire Hunt Two arrested on suspicion of attempted murder following Coventry shooting Leamington charity's 'big sleepout' returning for 10th year - and there's also a new event 'Critical incident' declared at Warwick Hospital Firefighters running out of water as wildfire declared most destructive in LA's history Moment friends abandon house as Palisades fire closes in 'Patients are collapsing in the waiting room': A&E nurses speak out Why does Trump want Greenland and what do its people think? How Canada's immigration debate soured - and helped seal Trudeau's fate 'I can't get divorced as I can't get my pension valued' What are cold weather payments and who can get them? BBC Sound of 2025: Barry Can't Swim is a new dance music superstar Ros Atkins on...Elon Musk's political interventions Jean-Marie Le Pen - founder of French far right and 'Devil of the Republic' Cases of HMPV are on the rise in China - but what is it? Politics Essential: Get the latest news and analysis delivered to your inbox every weekday Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
Tory MP sorry for Corbyn Czech tweet,"A Tory MP has apologised for posting a tweet in which he said Jeremy Corbyn had passed British secrets to a spy from communist Czechoslovakia. Ben Bradley said the now deleted tweet was ""wholly untrue and false"". He will also donate an undisclosed sum to a charity supported by the Labour leader and has agreed not to repeat the allegation. Labour had said a Sun story about Mr Corbyn having contact with a Czech spy in the 1980s was ""absurd"". A spokesmandenied that Mr Corbyn ever acted as a collaborator or agent of the Communist regimein Czechoslovakia. The Czech spy who met Jeremy Corbyn Labour said Mr Bradley agreed to tweet an apology that says: ""On 19 February 2018 I made a seriously defamatory statement on my Twitter account, 'Ben Bradley MP (@bbradleymp)', about Jeremy Corbyn, alleging he sold British secrets to communist spies. ""I have since deleted the defamatory tweet. I have agreed to pay an undisclosed substantial sum of money to a charity of his choice, and I will also pay his legal costs. ""I fully accept that my statement was wholly untrue and false. I accept that I caused distress and upset to Jeremy Corbyn by my untrue and false allegations, suggesting he had betrayed his country by collaborating with foreign spies. ""I am very sorry for publishing this untrue and false statement and I have no hesitation in offering my unreserved and unconditional apology to Jeremy Corbyn for the distress I have caused him."" He had been threatened with legal action over his tweet. Mr Bradley will make a donation to a foodbank and a homeless charity in his Mansfield constituency. A spokesperson for Mr Corbyn said: ""We are pleased Ben Bradley has admitted what he said was entirely untrue and apologised, and that charities in Mansfield will benefit. ""Following the botched smear campaign against Jeremy, this case shows we are not going to let dangerous lies go unchallenged.""Â The Czechoslovak spy who met Jeremy Corbyn Labour's general secretary resigns May: Corbyn should be open on spy's claims Firefighters running out of water as wildfire declared most destructive in LA's history Moment friends abandon house as Palisades fire closes in 'Patients are collapsing in the waiting room': A&E nurses speak out Why does Trump want Greenland and what do its people think? How Canada's immigration debate soured - and helped seal Trudeau's fate 'I can't get divorced as I can't get my pension valued' What are cold weather payments and who can get them? BBC Sound of 2025: Barry Can't Swim is a new dance music superstar Ros Atkins on...Elon Musk's political interventions Jean-Marie Le Pen - founder of French far right and 'Devil of the Republic' Cases of HMPV are on the rise in China - but what is it? Politics Essential: Get the latest news and analysis delivered to your inbox every weekday Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
Bardot wades into row over singer's will,"Bardot is known for her forthright views on animal rights and other issues Brigitte Bardot has become the latest French celebrity to weigh in on a family dispute over the estate of the late singer Johnny Hallyday. In a radio interview, the movie legend urged Hallyday's widow Laeticia - named as his main heir - to give some of the money back to his older children. Singer David Hallyday and actress Laura Smet, who were left with nothing, are contesting their father's will. Johnny Hallyday died in December from lung cancer at the age of 74. Bardot told French radio station Europe 1 on Saturday: ""I am disgusted. If I were Laeticia, I would put things right. I would give David and Laura what they deserve."" Laura Smet (left) is contesting the award to Hallyday's fourth wife, Laeticia (right) Under the country's inheritance laws, which go back to the French Revolution, all children should be given roughly equal shares of an estate. Johnny Hallyday: Story of a French rock phenomenon Huge crowds mourn Hallyday But Hallyday, who had a home in California and was domiciled there for tax purposes, left everything in his will to Laeticia, his fourth wife, and their two adopted daughters. Laura Smet, 34, and David Hallyday, 51, announced their legal challenge last week. Since then a number of big names in the world of French entertainment have spoken out on the matter. Eddy Mitchell, another French rock legend and friend of the late singer, said: ""I don't understand how someone can disinherit his children."" Laura Smet and her half-brother David Hallyday got nothing from the will Actor Jean Reno, a friend of both Johnny and Laeticia, urged the family not to yield to ""hatred"". Singer Sylvie Vartan, Hallyday's first wife and David's mother, said that during their divorce in 1980 she had urged Johnny to give her share of their home to their son. Hallyday's children fight 'hurtful' will France bids farewell to rocker Hallyday How France saw itself in Johnny Hallyday Johnny Hallyday: Life in pictures Firefighters running out of water as wildfire declared most destructive in LA's history Moment friends abandon house as Palisades fire closes in 'Patients are collapsing in the waiting room': A&E nurses speak out Why does Trump want Greenland and what do its people think? How Canada's immigration debate soured - and helped seal Trudeau's fate 'I can't get divorced as I can't get my pension valued' What are cold weather payments and who can get them? BBC Sound of 2025: Barry Can't Swim is a new dance music superstar Ros Atkins on...Elon Musk's political interventions Jean-Marie Le Pen - founder of French far right and 'Devil of the Republic' Cases of HMPV are on the rise in China - but what is it? Politics Essential: Get the latest news and analysis delivered to your inbox every weekday Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
"Boy, 13, drove car with toddler inside","The 13-year-old driver was stopped in Padholme Road, Peterborough A 13-year-old boy has been caught driving a car with a two-year-old and a woman inside the vehicle. The teenager was stopped in Peterborough at 11:00 GMT by a team from the Cambridgeshire, Bedfordshire and Hertfordshire Road Policing Unit. In a tweet, a spokesman for the unit said the toddler was sitting unrestrained on its mother's knee. When officers pulled the car over, they were told by those inside that it was ""only a short journey"". Allow Twitter content? This article contains content provided by Twitter. We ask for your permission before anything is loaded, as they may be using cookies and other technologies. You may want to readTwitterâs cookie policy,externalandprivacy policy,externalbefore accepting. To view this content chooseâaccept and continueâ. A spokesman for police said the woman in the car was the mother of the toddler and related to the 13-year-old. He said officers were looking at ""numerous offences"" in the case. BCH Road Policing Unit When James Bond-alike spy Alan Hillgarth attended Kingâs College Cambridge UK's most bashed bridge hit again as van gets stuck under Ely railway underpass Yvonne Long brings her weekly round-up of news from Soham Drug dealer jailed after DNA links him to stash The former RAF base still used as airport set to become 'Cambridge East' neighbourhood Inquiry launched over Cambridgeshire border solar farm refusal Firefighters running out of water as wildfire declared most destructive in LA's history Moment friends abandon house as Palisades fire closes in 'Patients are collapsing in the waiting room': A&E nurses speak out Why does Trump want Greenland and what do its people think? How Canada's immigration debate soured - and helped seal Trudeau's fate 'I can't get divorced as I can't get my pension valued' What are cold weather payments and who can get them? BBC Sound of 2025: Barry Can't Swim is a new dance music superstar Ros Atkins on...Elon Musk's political interventions Jean-Marie Le Pen - founder of French far right and 'Devil of the Republic' Cases of HMPV are on the rise in China - but what is it? Politics Essential: Get the latest news and analysis delivered to your inbox every weekday Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
Bollywood superstar Sridevi dies at 54,"This video can not be played Sridevi ""paved way for other women in Bollywood"" Bollywood superstar Sridevi Kapoor has died of a heart attack, her family says. She was 54. The actress known simply as Sridevi had been with her family in Dubai for her nephew's wedding. She featured over five decades in almost 300 films, in classics like Mr India, Chandni, ChaalBaaz and Sadma. She was considered one of the very few Indian female superstars capable of huge box office success without the support of a male hero. From the age of four, she had worked in films in the Tamil, Telugu, Malayalam, Kannada and Hindi languages. Sridevi obituary: From Bollywood actress to Indian icon Crowds gathered outside Sridevi's home in Mumbai as news emerged of her death. Bollywood figures and political leaders reacted with shock. This video can not be played ""We miss you, Sridevi"": Fans pay tribute to the Bollywood superstar Indian Prime Minister Narendra Modi tweeted that he was ""saddened by the untimely demise of noted actor Sridevi"", while Indian President Ram Nath Kovind said her death had left millions of fans heartbroken. Allow Twitter content? This article contains content provided by Twitter. We ask for your permission before anything is loaded, as they may be using cookies and other technologies. You may want to readTwitterâs cookie policy,externalandprivacy policy,externalbefore accepting. To view this content chooseâaccept and continueâ. The Mayor of London, Sadiq Khan, paid tribute to the late star, writing on Twitter: ""Really enjoyed meeting Bollywood icon Sri Devi on my recent trip to India. ""So sad to hear the news of the death of such a terrifically talented actress, performer and producer."" Allow Twitter content? This article contains content provided by Twitter. We ask for your permission before anything is loaded, as they may be using cookies and other technologies. You may want to readTwitterâs cookie policy,externalandprivacy policy,externalbefore accepting. To view this content chooseâaccept and continueâ. By Sudha G Tilak, in Delhi The rise of Sridevi is an extraordinary chapter in the nation's film industry. Her acting career began at the tender age of four and by 13 she was cast in the adult role of a complicated woman avenging her lover's death. It was not long before directors took note of her versatile acting abilities and the offers started to snowball. She became a box office magnet from the 1970s to the late 1990s with her numerous films spanning more than five Indian languages. But while Sridevi's screen presence was a glamorous one, her private life was one of heartbreak, loss and estrangement. Read more: How Sridevi captivated India The actress was in the United Arab Emirates to attend the wedding of her nephew, Mohit Marwah. Sridevi's husband Boney Kapoor and daughter Khushi were with her when she passed away on Saturday, reports say. Her brother-in-law Sanjay Kapoor said it had happened ""roughly around"" 23:00-23:30 (19:00-19:30 GMT), indianexpress.com reports. He did not provide any further details. She debuted as a lead actress in a Bollywood film in 1978, soon becoming one of India's biggest film stars. The versatile actress decided to take a break from the film industry after the release of Judaai in 1997. She made a comeback in 2012, starring in English Vinglish. In 2013, the Indian government awarded her the Padma Shri - the fourth highest civilian honour. Social media sites are being flooded with condolences, with many users expressing shock that the actress died still relatively young. Allow Twitter content? This article contains content provided by Twitter. We ask for your permission before anything is loaded, as they may be using cookies and other technologies. You may want to readTwitterâs cookie policy,externalandprivacy policy,externalbefore accepting. To view this content chooseâaccept and continueâ. Allow Twitter content? This article contains content provided by Twitter. We ask for your permission before anything is loaded, as they may be using cookies and other technologies. You may want to readTwitterâs cookie policy,externalandprivacy policy,externalbefore accepting. To view this content chooseâaccept and continueâ. Allow Twitter content? This article contains content provided by Twitter. We ask for your permission before anything is loaded, as they may be using cookies and other technologies. You may want to readTwitterâs cookie policy,externalandprivacy policy,externalbefore accepting. To view this content chooseâaccept and continueâ. Allow Twitter content? This article contains content provided by Twitter. We ask for your permission before anything is loaded, as they may be using cookies and other technologies. You may want to readTwitterâs cookie policy,externalandprivacy policy,externalbefore accepting. To view this content chooseâaccept and continueâ. Allow Twitter content? This article contains content provided by Twitter. We ask for your permission before anything is loaded, as they may be using cookies and other technologies. You may want to readTwitterâs cookie policy,externalandprivacy policy,externalbefore accepting. To view this content chooseâaccept and continueâ. Stephen Fry recovering from cancer op Trudeau's 'Bollywood' wardrobe amuses Indians Kylie Jenner tweet hammers Snapchat shares From actress to Indian icon Sridevi 'paved way for Bollywood women' Video, 00:01:04Sridevi 'paved way for Bollywood women' What itâs like being a female director in Bollywood. Video, 00:02:01What itâs like being a female director in Bollywood Bollywood's troubled relationship with women India country profile BBC Asian Network - Asian Network Presents, Asian Network Presents 50 Years of Sridevi Firefighters running out of water as wildfire declared most destructive in LA's history Moment friends abandon house as Palisades fire closes in 'Patients are collapsing in the waiting room': A&E nurses speak out Why does Trump want Greenland and what do its people think? How Canada's immigration debate soured - and helped seal Trudeau's fate 'I can't get divorced as I can't get my pension valued' What are cold weather payments and who can get them? BBC Sound of 2025: Barry Can't Swim is a new dance music superstar Ros Atkins on...Elon Musk's political interventions Jean-Marie Le Pen - founder of French far right and 'Devil of the Republic' Cases of HMPV are on the rise in China - but what is it? Politics Essential: Get the latest news and analysis delivered to your inbox every weekday Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
Colombia extradites top drug suspect,"Prado Ãlava was arrested in Colombia in April 2017 A man accused of smuggling more than 250 tonnes of cocaine over the past decade has been extradited to the US from Colombia. Prosecutors say Washington Prado Ãlava, an Ecuadorean national, was a drug lord with operations across the Americas. He is also accused of ordering the murders of judges, prosecutors and police officers in Ecuador. Mr Prado Ãlava was known in Colombia as Ecuador's Pablo Escobar, the infamous MedellÃ­n Cartel leader killed in 1993. In Colombia, he tried to join the ranks of the Farc leftist rebel group before it signed a peace agreement in 2016. The Colombian prosecutors say his intention was to take advantage of a transitional justice system, which was agreed between the government and the Farc to deal with crimes committed by the rebels during five decades of conflict. ""Washington Prado Ãlava is considered one of the biggestcapos[bosses] in recent years and became a top target for the United States,"" the prosecutors said in a statement. Mr Prado Ãlava allegedly operated in Ecuador and on Colombia's Pacific coast. Prosecutors said his fleet of speedboats was used to make regular cocaine deliveries to Central America and Mexico, and, from there, the drugs were shipped over the border into the US. Mr Prado Ãlava was arrested in April 2017 as he travelled to visit family in the Colombian city of Cali. The US Drug Enforcement Agency provided the Colombian authorities with key intelligence that led to his arrest and that of three other alleged gang members. On Saturday, he was taken from a prison where he was being held in the capital, BogotÃ¡, and put on a plane to face justice in the US. Fifty agents took part in the extradition operation, Colombian authorities said. Colombian national park to be extended Diplomatic luggage cocaine plot foiled Groom killed after wedding gift explodes Colombia ex-footballer on drugs charges Escobar's hitman 'robbed in Colombia' Drug lord Escobar mansion yields safe Firefighters running out of water as wildfire declared most destructive in LA's history Moment friends abandon house as Palisades fire closes in 'Patients are collapsing in the waiting room': A&E nurses speak out Why does Trump want Greenland and what do its people think? How Canada's immigration debate soured - and helped seal Trudeau's fate 'I can't get divorced as I can't get my pension valued' What are cold weather payments and who can get them? BBC Sound of 2025: Barry Can't Swim is a new dance music superstar Ros Atkins on...Elon Musk's political interventions Jean-Marie Le Pen - founder of French far right and 'Devil of the Republic' Cases of HMPV are on the rise in China - but what is it? Politics Essential: Get the latest news and analysis delivered to your inbox every weekday Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
New mother 'found bandages in my body',"Alexandra Loredana with her baby Dominic The NHS is investigating claims by a new mother who says she found bandages in her body seven weeks after giving birth at Wexham Park Hospital, Slough. ""I took out a large piece of decomposing material from inside me that was soaked in blood,"" Alexandra Loredana told BBC News. Ms Loredana added that she had suffered from thrush and 'light vaginal wounds'. A hospital trust spokesman told the BBC: ""We are aware. We have started an investigation."" Alexandra Loredana says the bandages were inside her body seven weeks after childbirth The new mother, from Slough, Berkshire, gave birth to baby Dominic in January. Ms Loredana said she initially explained to her midwife how she felt uncomfortable going to the toilet and that something smelled terrible - her midwife checked her stitches and said 'everything was fine'. The new mother said she was unable to get an appointment with her local walk-in centre until 7 March, 2018. She said: ""For seven weeks I changed my pads more than 10 times a day. Whether I had bleeding or not I just wanted my pads to absorb the horrible smell. ""Last night I had a bath for the first time and I felt courageous enough to wash with my fingers inside my vagina to clean it. ""I was breathless when I took out a large piece of decomposing material from inside me that smelled horrible and was soaked in blood. ""How did this happen?"" Ms Loredana then went to the accident and emergency department at the same Slough hospital and saw a doctor. The NHS Foundation Trust said it would make a further statement once it had spoken to Ms Loredana and completed an investigation into the case. Actress Emma Chambers dies aged 53 Homeless 'devastated' by doorway death Officer 'failed to confront' school killer Firefighters running out of water as wildfire declared most destructive in LA's history Moment friends abandon house as Palisades fire closes in 'Patients are collapsing in the waiting room': A&E nurses speak out Why does Trump want Greenland and what do its people think? How Canada's immigration debate soured - and helped seal Trudeau's fate 'I can't get divorced as I can't get my pension valued' What are cold weather payments and who can get them? BBC Sound of 2025: Barry Can't Swim is a new dance music superstar Ros Atkins on...Elon Musk's political interventions Jean-Marie Le Pen - founder of French far right and 'Devil of the Republic' Cases of HMPV are on the rise in China - but what is it? Politics Essential: Get the latest news and analysis delivered to your inbox every weekday Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
