headline,article
Breeders' Cup arrest over drunken rider,"Saturday's Breeders' Cup Classic race was won by Accelerate and jockey Joel Rosari A man has been arrested for getting on a horse while drunk and nearly making it to the track at the Breeders' Cup meet in Kentucky, local media report. Michael Wells-Rody, 24, sneaked into ""a restricted area"", grabbed a horse and was ""in the track entrance"" before being stopped, says a police report. It added he was ""under the influence of alcoholic beverages"" and was ""loud and disorderly"" when asked to dismount. The $6m Breeders' Cup Classic was won by Accelerate at Churchill Downs. Enable, ridden by Frankie Dettori, won the Breeders' Cup Turf raceto become the first horse to win both a Breeders' Cup fixture and the Prix de l'Arc de Triomphe. The Breeders' Cup is one of the biggest meetings on the American racing calendar. According to the report in the Lexington Herald Leader, Wells-Rody has been charged with alcohol intoxication in a public place and disorderly conduct, and is scheduled to appear in court on Monday. Enable wins historic Breeders' Cup Turf Wildfire sweeps through Hollywood Hills and threatens landmarks as chaos grips LA Paris Hilton among stars 'heartbroken' as she watches home 'burn to ground' Commuters warned of icy roads as cold snap continues to freeze UK Sound Of 2025: Ezra Collective are 'keeping music real' The Papers: 'Apocalypse' LA and 'Reeves faces extra tax rises' How Australia's beach cabana drama sparked a turf war H-1B: Visa row under Trump fuels anxiety for Indian dreamers 'I thought I was going to die': Jailed Venezuelan activist details brutality of prison life The man who could become Canada's future PM 'Trump 2.0' looms large over the global economy A politician was shot dead in Bangkok. Did another country do it? Chris Mason: Is Starmer leaving the door open to an abuse inquiry? Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
Gas explodes at former cattle market fire,"This video can not be played An explosion was heard at Nottingham's former cattle market after a fire broke out earlier Gas cylinders have exploded as firefighters tackle a large fire at a city's former cattle market. The blaze broke out in four buildings at Nottingham Cattle Market at about 18:00 GMT. Residents near the business estate, off Meadow Lane, were asked to keep their windows and doors closed. The flames were brought under control in the early hours of Monday but damping down is likely to continue for some time, fire control said. The fire service said some people may have heard ""several small explosions"". There are no reports of casualties and Nottingham Fire and Rescue Service has urged people to avoid the area where possible. The cause of the fire is not yet known. This video can not be played Keyvan Ganji captured the fire as it raged through Nottingham Cattle Market Incident commander Bryn Coleman said: ""We've got a range of industrial buildings that are on fire. ""We've had several small explosions which some members of the community may have heard across Nottingham. ""[They] have been caused by compressed gas cylinders which had been involved in the fire."" Firefighters have been tackling the blaze at the business estate near Notts County Football Club Alan Hardy, chairman and owner of Notts County FCtweeted,external: ""We are aware of a significant fire at the Cattle Market, near Meadow Lane, and reiterate the authorities' advice to avoid the area due to potential explosions. Please stay away and safe guys please."" Allow Twitter content? This article contains content provided by Twitter. We ask for your permission before anything is loaded, as they may be using cookies and other technologies. You may want to readTwitterâs cookie policy,externalandprivacy policy,externalbefore accepting. To view this content chooseâaccept and continueâ. Police and the ambulance service are also at the scene and people are being asked to avoid the area. The fire service said it would remain at the site for a ""considerable time"" to stop the fire spreading to other industrial units. Nottingham Cattle Market has a number of businesses at the site including Arthur Johnson and Sons Auctioneers. Livestock was last sold at the cattle market in January 1993, according to the company. Four buildings are on fire at the site off Meadow Lane The site is now a business estate Fire rages through former cattle market. Video, 00:00:13Fire rages through former cattle market Explosion at former cattle market fire. Video, 00:00:20Explosion at former cattle market fire Nottinghamshire Fire and Rescue Service Wilford Lane closed until further notice because of flooding Gross misconduct ruling: Former inspectorâs use of force âentirely unnecessaryâ Nottinghamshire weather forecast for Thursday 9 January Stars including Ricky Gervais and Dame Judi Dench need help of Worksop residents to speed up ban on trophy hunting imports in Parliament Â£5.4million Nottingham College centre for supported learners now complete Desperate Mansfield drug addict stole Â£8k after accessing employerâs online banking app Wildfire sweeps through Hollywood Hills and threatens landmarks as chaos grips LA Paris Hilton among stars 'heartbroken' as she watches home 'burn to ground' Commuters warned of icy roads as cold snap continues to freeze UK Sound Of 2025: Ezra Collective are 'keeping music real' The Papers: 'Apocalypse' LA and 'Reeves faces extra tax rises' How Australia's beach cabana drama sparked a turf war H-1B: Visa row under Trump fuels anxiety for Indian dreamers 'I thought I was going to die': Jailed Venezuelan activist details brutality of prison life The man who could become Canada's future PM 'Trump 2.0' looms large over the global economy A politician was shot dead in Bangkok. Did another country do it? Chris Mason: Is Starmer leaving the door open to an abuse inquiry? Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
Leicester players attend Thailand funeral,"The Leicester City players joined Sunday's Buddhist prayers for Vichai Srivaddhanaprabha Leicester City players are in Thailand for the funeral of the club's owner, who was killed in a helicopter crash. Jamie Vardy and club captain Wes Morgan are among the players who attended a prayer ceremony at a Bangkok temple for Vichai Srivaddhanaprabha's funeral. Itbegan on Saturdaywith Buddhist bathing rituals, and is being followed by a week of recitation ceremonies. The helicopter crashed after taking off from the club's stadium on 27 October, killing Mr Vichai and four others. The players will join in prayers again on Monday before travelling back to the UK Vichai Srivaddhanaprabha bought Leicester City in 2010 The Leicester players travelled to Thailand on the 12-hour flight on Saturday afterwinning 1-0 at Cardiff Cityin the Premier League, in the first game since his death. They joined Sunday's Buddhist prayers for Mr Vichai and will do so again on Monday before arriving back in the UK the following day to prepare for their home match against Burnley on Saturday. Press agency AFP reported that on entering the temple, players gave Mr Vichai's family a hug, and then offered jasmine flowers as they knelt in front of an octagonal jewelled urn given by the king. England defender Harry Maguire is among the players who have travelled to Thailand ""It is their last farewell to him, and will doubtless be an emotional occasion for them,"" said Jonathan Head, the BBC's South East Asia correspondent England defender Harry Maguire and manager Claude Puel are also among those who have travelled but a few players have not, including Demarai Gray, who scored the winning goal at Cardiff. Leicester City players fly to owner's funeral in Thailand Who was Leicester's billionaire owner? Leicester pay tribute to owner Many of the squad, including Vardy, Morgan, and goalkeeper Kasper Schmeichel, have spoken of the huge impact the Thai billionaire had on them and the club. Jonathan Head, the BBC's South East Asia correspondent, said: ""This is a more formal atmosphere than the players will have experienced during the moving tributes to Mr Vichai in Britain. ""But it is their last farewell to him, and will doubtless be an emotional occasion for them."" Princess Sirivannavari Nariratana also attended the second day of Mr Vichai's funeral. The funeral is taking place at Debsirindrawas temple in Bangkok Aiyawatt Srivaddhanaprabha arrives for the second day of his father's funeral Nusara Suknamai, Kaveporn Punpare, and pilots and partners Eric Swaffer and Izabela Roza Lechowicz also died in the crash at the King Power Stadium. Police have said Ms Lechowicz was a passenger at the time of the crash. Ms Nusara's funeral took place in Bangkok on Saturday. The 32-year-old, who was a member of Mr Vichai's staff, was a runner-up in Miss Thailand Universe in 2005, where she was listed as being from Bangkok province. Ms Nusara's funeral took place in Pathum Thani province outside Bangkok Somrueng Suknamai, the mother of Nusara Suknamai, at her daughter's funeral The Air Accidents Investigation Branch (AAIB)is conducting a probe into the cause of the crash. Leicester players fly to Thai funeral Leicester beat Cardiff in emotional game Leicester pay tribute to owner Leicester helicopter wreckage removed Bangkok funeral for Leicester City owner Experts analyse helicopter crash video LCFC - Leicester City Official Website Fire crews warn of black ice on local roads after dealing with overturned car on Whitwick route Ashby MP Hack says she is putting pressure on authorities to help those affected by repeated flooding Plans to install hundreds of solar panels on roofs of leisure centres 'Violent gang of wildlife abusers': Chris Packham livestreams Rutlandâs Cottesmore Hunt to expose illegal foxhunting Leicestershire entrepreneur named one of 2025âs most impressive female founders Dambusters memorabilia goes under the hammer for Â£24,000 Wildfire sweeps through Hollywood Hills and threatens landmarks as chaos grips LA Paris Hilton among stars 'heartbroken' as she watches home 'burn to ground' Commuters warned of icy roads as cold snap continues to freeze UK Sound Of 2025: Ezra Collective are 'keeping music real' The Papers: 'Apocalypse' LA and 'Reeves faces extra tax rises' How Australia's beach cabana drama sparked a turf war H-1B: Visa row under Trump fuels anxiety for Indian dreamers 'I thought I was going to die': Jailed Venezuelan activist details brutality of prison life The man who could become Canada's future PM 'Trump 2.0' looms large over the global economy A politician was shot dead in Bangkok. Did another country do it? Chris Mason: Is Starmer leaving the door open to an abuse inquiry? Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
Mum 'cannot forgive laughing killers',"Roseann Taylor said she wanted to donate her son's organs, but could not because his body was ""evidence"" The mother of a teenager who was stabbed to death said she cannot forgive his killers after they ""laughed and joked"" at their trial. Azaan Kaleem, 18, was with his girlfriend in Luton in March when a group of strangers ""piled out of a car"" and stabbed him. He died in hospital. Four men were convicted over his death on Thursday at the Old Bailey. Roseann Taylor, who switched off her son's life support, said: ""They had no remorse or regard for what they did."" Mr Kaleem, who was Ms Taylor's only child, was ""viciously attacked"" after a disagreement. Ms Taylor said Azaan was sweet-natured and would walk away from an argument Two men aged 18 and 19, who cannot be named, and Harrison Searle, 18, of Derwent Road, Luton, were convicted of murder. Reece Bliss-McGrath, 20, of Exton Avenue, Luton, was found guilty of manslaughter. All four will be sentenced next month. Ms Taylor sat through their four-week trial, in which CCTV footage of the fatal attack was repeatedly played. ""What I saw was like a pack of animals - rounding up, seeking something, finding it and stalking it - and that's what they did to my son. Azaan Kaleem died in hospital, his mother by his side Ms Taylor said she had hoped to find her son sitting on the kerb in Hartsfield Road ""I had to watch the CCTV of my son being murdered and all the while I was keeping my composure, the defendants laughed and joked and had fun. ""Azaan was just a person to them, he was just a name."" She said she got a call about the attack in Hartsfield Road and had hoped her ""accident-prone"" son would be [sitting] on the kerb, moaning about his latest scrape. Instead, he was prone on the pavement, surrounded by paramedics. He had been attacked at 17:20, in full daylight. ""I was blocked by a police officer,"" she said. ""That was soul-destroying - to know your child is lying on the floor and you know it's serious and you can't get to them."" Azaan Kaleem's killers are due to be sentenced in December Asked about her last memory of her son, she said: ""Switching his machine off. ""It was horrific. To stand behind your child and stroke their hair, and kiss their forehead and wait while a policeman has to watch for his heart to stop beating. ""They [the killers] even stole that moment, because it wasn't private. ""I wanted Azaan's organs to be given away because he was a healthy 18-year-old, and I wanted to give the gift of life to someone else. ""But Azaan became evidence we weren't allowed to do that."" She added:  ""It's changed my life for ever. No-one will ever call me mum again. ""I will get there one day, I will forgive them, but not yet."" Four guilty over fatal stabbing of teen HM Courts & Tribunals Service Drink driver does dangerous donuts in the snow in shocking CCTV footage Teen singer has 'dream come true' as she duets with idol Kerry Ellis Shoplifter who stole Â£3,500 of alcohol, olive oil and clothes among cases at court Family home in Beaconsfield on the market for Â£2.75 million Service Desk Analyst - FTC Biggleswade B&Q should be completed by end of 2025 - and no jobs lost Wildfire sweeps through Hollywood Hills and threatens landmarks as chaos grips LA Paris Hilton among stars 'heartbroken' as she watches home 'burn to ground' Commuters warned of icy roads as cold snap continues to freeze UK Sound Of 2025: Ezra Collective are 'keeping music real' The Papers: 'Apocalypse' LA and 'Reeves faces extra tax rises' How Australia's beach cabana drama sparked a turf war H-1B: Visa row under Trump fuels anxiety for Indian dreamers 'I thought I was going to die': Jailed Venezuelan activist details brutality of prison life The man who could become Canada's future PM 'Trump 2.0' looms large over the global economy A politician was shot dead in Bangkok. Did another country do it? Chris Mason: Is Starmer leaving the door open to an abuse inquiry? Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
Man and child die in car and minibus crash,"The crash occurred on the A34 Melrose Way A man and a child have died and nine people were injured in a crash between a car and minibus. The crash happened just after midnight on Sunday on the A34 in Alderley Edge, Cheshire Police said. North West Ambulance Service confirmed a man and a child were killed in the collision. Among the injured was a child, who was taken for treatment to Royal Manchester Children's Hospital, while one man was taken to Manchester Royal Infirmary. The seven other people hurt had minor injuries, the ambulance service said. The A34 stretch on Melrose Way was shut between the roundabouts at Alderley Park and Alderley Edge while emergency services worked at the scene. Cheshire Police is appealing for any witnesses to get in touch. Cheshire Police Heinz beans and spaghetti hoops go green How to tell if you've got 'real flu' as top GP names symptoms that wipe people out Wigan residents urged to get flu jab Wigan man attacked police officer who caught him flouting driving ban Woman with appalling record is jailed again after biting nurse and kicking police Clash between taxi company and airport over picking-up disabled passengers Wildfire sweeps through Hollywood Hills and threatens landmarks as chaos grips LA Paris Hilton among stars 'heartbroken' as she watches home 'burn to ground' Commuters warned of icy roads as cold snap continues to freeze UK Sound Of 2025: Ezra Collective are 'keeping music real' The Papers: 'Apocalypse' LA and 'Reeves faces extra tax rises' How Australia's beach cabana drama sparked a turf war H-1B: Visa row under Trump fuels anxiety for Indian dreamers 'I thought I was going to die': Jailed Venezuelan activist details brutality of prison life The man who could become Canada's future PM 'Trump 2.0' looms large over the global economy A politician was shot dead in Bangkok. Did another country do it? Chris Mason: Is Starmer leaving the door open to an abuse inquiry? Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
Ukraine activist dies after acid attack,"A prominent Ukrainian anti-corruption activist has died, three months after she was injured in an acid attack. Kateryna Handzyuk, 33, suffered burns over 40% of her body and severe eye damage as a result of the assault on 31 July in the southern city of Kherson. Ms Handzyuk, who was also a Kherson city council member, had undergone 11 operations in the capital Kiev. President Petro Poroshenko on Sunday called for the killers to be punished. Five suspects are already in custody. Can Ukraine stand its ground in 'war on corruption'? The exact cause of Ms Handzyuk's death was not immediately known, but reports in local media suggested it was a blood clot. In September, the activist - who also campaigned against Russian-backed separatism - posted a video in which she urged Ukrainians to fight rampant corruption. ""I know I look bad now. But at least I'm being treated,"" she said. ""And I definitely know that I look much better than justice in Ukraine. Because nobody is treating it."" The death of the activist on Sunday triggered an avalanche of reactions on social media in Ukraine, with many users expressing shock. Ukraine arrests 'corrupt' officials. Video, 00:02:38Ukraine arrests 'corrupt' officials Anger over Ukraine activist's beating Ukraine country profile Wildfire sweeps through Hollywood Hills and threatens landmarks as chaos grips LA Paris Hilton among stars 'heartbroken' as she watches home 'burn to ground' Commuters warned of icy roads as cold snap continues to freeze UK Sound Of 2025: Ezra Collective are 'keeping music real' The Papers: 'Apocalypse' LA and 'Reeves faces extra tax rises' How Australia's beach cabana drama sparked a turf war H-1B: Visa row under Trump fuels anxiety for Indian dreamers 'I thought I was going to die': Jailed Venezuelan activist details brutality of prison life The man who could become Canada's future PM 'Trump 2.0' looms large over the global economy A politician was shot dead in Bangkok. Did another country do it? Chris Mason: Is Starmer leaving the door open to an abuse inquiry? Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
Italy river surge kills nine in home,"The flooded house where the tragedy occurred Two families have been wiped out in Italy after a river burst its banks submerging their house in Sicily. Nine people died in the incident in Casteldaccia - from children aged one, three and 15 to their grandparents. Only three people who were outside the house at the time survived. Three other people died when their cars were swept away on the southern island. Days of heavy rain and winds have killed at least 17 other people in Italy, mainly in the north and west. Some of the worst damage was to roads around Belluno in the northern Veneto region, after days of storms had dislodged mud, rocks and water. Deadly storms hit Italy, flooding Venice Six regions remain under alert - from Veneto to Sicily and Sardinia in the south. The tragedy in Casteldaccia occurred overnight on Saturday. This video can not be played Trees were torn down across a swathe of northern Italy Twelve members of two families had gathered to spend the night when water from river Milicia swamped the house. Three of those on the premises had lucky escapes. A father and daughter had gone out on an errand at the time. The third - another father of two - survived by climbing onto a tree. In addition to the three children, the dead included the mother of two of them, her brother, sister and their parents - and the mother of one of the surviving fathers. One of the neighbours described the scene minutes before the incident. ""I heard the dogs barking. It was around 22:30 [21:30 GMT]. I told my husband to go out to see what was happening. He opened the door and water filled the house,"" said Maria Concetta Alfano. Water from a river that had never posed a problem before swamped the house Town mayor Giovanni Di Giacinto spoke of a ""frightening tragedy"" - given the Milicia was only a small river that had never had much water. ""It has never presented a threat to Casteldaccia, and it wasn't a very rainy day, anyway,"" he added. Elsewhere in Sicily: A man and a woman died when their hired car was swept away in Cammarata A petrol station worker's body was found in his jeep in Vicari And rescuers are looking for a doctor who was heading into Corleone hospital to start his shift. His car has been found abandoned in a part of the road hit by flooding and landslides. Veneto region in the north remains under alert after days of rain and winds An electric pylon in the northern province of Belluno was twisted by the storms Deadly storms hit Italy, flooding Venice Fabled forest torn down in Italy. Video, 00:00:42Fabled forest torn down in Italy Wildfire sweeps through Hollywood Hills and threatens landmarks as chaos grips LA Paris Hilton among stars 'heartbroken' as she watches home 'burn to ground' Commuters warned of icy roads as cold snap continues to freeze UK Sound Of 2025: Ezra Collective are 'keeping music real' The Papers: 'Apocalypse' LA and 'Reeves faces extra tax rises' How Australia's beach cabana drama sparked a turf war H-1B: Visa row under Trump fuels anxiety for Indian dreamers 'I thought I was going to die': Jailed Venezuelan activist details brutality of prison life The man who could become Canada's future PM 'Trump 2.0' looms large over the global economy A politician was shot dead in Bangkok. Did another country do it? Chris Mason: Is Starmer leaving the door open to an abuse inquiry? Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
Bugle marks centenary of war poet's death,"Grace Freeman from the Wilfred Owen Association with the bugle the poet took from a dead German soldier The centenary of the death of World War One poet Wilfred Owen was marked on Sunday with the sounding of a bugle he took from the battlefield. The instrument was played at his graveside in Ors, northern France. Elizabeth Owen, the widow of his nephew Peter, was among those who attended the ""moving"" ceremony. Owen died on 4 November 1918, seven days before peace was declared. Wreaths were laid in his memory at the service. It followed a dawn visit to the site where the soldier was killed during the battle to cross the Sambre-Oise canal. French locals and members of the Wilfred Owen Association gathered to hear The Last Post played on the bugle. Owen took the instrument from a dead German soldier during the war and made reference to it as ""loot"" in a letter to his brother in 1917. War poet's work inspires sculpture Danny Boyle's beach memorial to honour WW1 soldiers Musician Heather Madeira Ni said she was grateful for the opportunity to play the instrument on such a historic occasion. She said: ""The bugle is such a piece of history and a great chance for me to get to know Owen and his poetry. ""It's such an important part of British history."" Some of Owen's poetry, which explored the brutal reality of war, was also recited and his final letter home was read out. Fiona MacDonald from the Wilfred Owen Association described the service as moving. ""There is just something really special about being here and hearing Owen's bugle played,"" she said. Thousands of torches lit up the moat of the Tower of London on Sunday evening Later around 10,000 flames were lit in the empty moat surrounding the Tower of London to mark the centenary of the end of the war. Representatives from the armed forces and volunteers took around 45 minutes to light the torches, which then burned for four hours. The spectacle was accompanied by a specially commissioned sound installation featuring choral music, as well as words from war poet Mary Borden's Sonnets To A Soldier. The ceremony, which members of the public can watch for free, will be repeated each night until the final showing on Remembrance Sunday. The first torch was lit by the Yeoman of the Guard Volunteers then used the flame to ignite thousands of other torches Walk commemorates WW1 poet's death War poet's work inspires sculpture. Video, 00:01:21War poet's work inspires sculpture Danny Boyle to stage WW1 beach memorial Wildfire sweeps through Hollywood Hills and threatens landmarks as chaos grips LA Paris Hilton among stars 'heartbroken' as she watches home 'burn to ground' Commuters warned of icy roads as cold snap continues to freeze UK Sound Of 2025: Ezra Collective are 'keeping music real' The Papers: 'Apocalypse' LA and 'Reeves faces extra tax rises' How Australia's beach cabana drama sparked a turf war H-1B: Visa row under Trump fuels anxiety for Indian dreamers 'I thought I was going to die': Jailed Venezuelan activist details brutality of prison life The man who could become Canada's future PM 'Trump 2.0' looms large over the global economy A politician was shot dead in Bangkok. Did another country do it? Chris Mason: Is Starmer leaving the door open to an abuse inquiry? Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
"Baudelaire suicide letter sold at auctionThe French poet, 24 and short of cash, wrote to his lover before trying and failing to kill himself.Europe","The letter was written when the budding poet had money problems A letter by the French 19th-Century poet Charles Baudelaire announcing he would kill himself has sold at auction for â¬234,000 (Â£204,000; $267,000). The note, dated 30 June 1845, was addressed to Baudelaire's lover Jeanne Duval. The poet, who was 24 years old at the time, attempted to commit suicide on the same day - but survived. The French auction website Osenat said the letter sold to a private buyer for three times the estimated price. In the letter, Baudelaire informed his mistress of his intention to take his own life. ""By the time you receive this letter, I will be dead,"" it said. ""I am killing myself because I can no longer live, or bear the burden of falling asleep and waking up again."" Baudelaire is regarded as one of the greatest French poets of all time Baudelaire, who had money problems after squandering his inheritance, stabbed himself in the chest but suffered no serious injuries. He lived for another 22 years, writing in that time the volume that established his reputation, Les Fleurs du Mal (The Flowers of Evil). His works influenced generations of French poets. He died racked by syphilis in 1867. Wildfire sweeps through Hollywood Hills and threatens landmarks as chaos grips LA Paris Hilton among stars 'heartbroken' as she watches home 'burn to ground' Commuters warned of icy roads as cold snap continues to freeze UK Sound Of 2025: Ezra Collective are 'keeping music real' The Papers: 'Apocalypse' LA and 'Reeves faces extra tax rises' How Australia's beach cabana drama sparked a turf war H-1B: Visa row under Trump fuels anxiety for Indian dreamers 'I thought I was going to die': Jailed Venezuelan activist details brutality of prison life The man who could become Canada's future PM 'Trump 2.0' looms large over the global economy A politician was shot dead in Bangkok. Did another country do it? Chris Mason: Is Starmer leaving the door open to an abuse inquiry? Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
Rebel Wilson responds to 'plus-sized' backlash,"Rebel Wilson says she ""never wants to disrespect anyone"" after there was backlash over comments she made about plus-sized women in film. The Australian actress told chat show host Ellen Degeneres: ""I'm proud to be the first ever plus-sized girl to be the star of a romantic comedy."" Viewers pointed out that Queen Latifah and Mo'Nique had led romcoms before. Mo'Nique tweeted Rebel: ""Let's please not allow this business to erase our talent"". Rebel replied saying: ""It was never my intention to erase anyone else's achievements"". Allow Twitter content? This article contains content provided by Twitter. We ask for your permission before anything is loaded, as they may be using cookies and other technologies. You may want to readTwitterâs cookie policy,externalandprivacy policy,externalbefore accepting. To view this content chooseâaccept and continueâ. Allow Twitter content? This article contains content provided by Twitter. We ask for your permission before anything is loaded, as they may be using cookies and other technologies. You may want to readTwitterâs cookie policy,externalandprivacy policy,externalbefore accepting. To view this content chooseâaccept and continueâ. Allow YouTube content? This article contains content provided by Google YouTube. We ask for your permission before anything is loaded, as they may be using cookies and other technologies. You may want to readGoogleâs cookie policy,externalandprivacy policy,externalbefore accepting. To view this content chooseâaccept and continueâ. Rebel Wilson had been talking about her film Isn't It Romantic on The Ellen Show last week when she made the comments about being plus-sized. She got a big cheer from the studio audience - but people on Twitter were quick to point out that she hadn't mentioned other plus-sized women who had led romcoms. The 2006 film The Last Holiday starred Queen Latifah while Phat Girlz, also from 2006, starred Mo'Nique. Some people online also mentioned the fact that both films were led by women of colour. Mo'Nique and Queen Latifah both starred in the film Bessie Allow Twitter content? This article contains content provided by Twitter. We ask for your permission before anything is loaded, as they may be using cookies and other technologies. You may want to readTwitterâs cookie policy,externalandprivacy policy,externalbefore accepting. To view this content chooseâaccept and continueâ. Rebel initially replied saying ""there's a slight grey area"" and questioned whether they were plus-sized when they filmed the movies. She also said ""it was questionable"" whether those films were classed as studio romcoms. Allow Twitter content? This article contains content provided by Twitter. We ask for your permission before anything is loaded, as they may be using cookies and other technologies. You may want to readTwitterâs cookie policy,externalandprivacy policy,externalbefore accepting. To view this content chooseâaccept and continueâ. Allow Twitter content? This article contains content provided by Twitter. We ask for your permission before anything is loaded, as they may be using cookies and other technologies. You may want to readTwitterâs cookie policy,externalandprivacy policy,externalbefore accepting. To view this content chooseâaccept and continueâ. After Mo'Nique and writer Claire Willett both tweeted Rebel, she said she would address the argument ""when promoting the film in proper forums"". She added: ""I'm all about supporting plus size women and I work so hard to do so."" The actress produced the film Isn't It Romantic, which she stars in alongside Liam Hemsworth and Priyanka Chopra. She plays a woman who gets trapped in a romcom in the movie, which comes out next year. Follow Newsbeat onInstagram,external,Facebook,externalandTwitter,external. Listen to Newsbeatliveat 12:45 and 17:45 every weekday on BBC Radio 1 and 1Xtra - if you miss us you can listen backhere. Rebel Wilson must repay defamation win Rebel Wilson's does her Pitch Perfect audition. Video, 00:01:55Rebel Wilson's does her Pitch Perfect audition Rebel Wilson reveals sexual harassment Wildfire sweeps through Hollywood Hills and threatens landmarks as chaos grips LA Paris Hilton among stars 'heartbroken' as she watches home 'burn to ground' Commuters warned of icy roads as cold snap continues to freeze UK Sound Of 2025: Ezra Collective are 'keeping music real' The Papers: 'Apocalypse' LA and 'Reeves faces extra tax rises' How Australia's beach cabana drama sparked a turf war H-1B: Visa row under Trump fuels anxiety for Indian dreamers 'I thought I was going to die': Jailed Venezuelan activist details brutality of prison life The man who could become Canada's future PM 'Trump 2.0' looms large over the global economy A politician was shot dead in Bangkok. Did another country do it? Chris Mason: Is Starmer leaving the door open to an abuse inquiry? Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
