headline,article
Customers hurt as car crashes into pub,"This video can not be played Five people were hurt when the car crashed into the pub on Friday night Five people have been injured and a man arrested after a car hit a pub in Kent. Four of those hurt were customers at the Cinque Port Arms and police said the fifth was the vehicle driver. Emergency crews were called to the crash at the busy New Romney pub at about 22:00 GMT on Friday. Pub owner Kevin Gibbons said a man had been escorted off the premises and subsequently got in his car which then crashed into the front of the building, injuring patrons and staff. Mr Gibbons said the man, in his 20s, was unknown to pub staff. He said customers and children upstairs had to be evacuated from the building. ""We have had builders working throughout the night to make the pub structurally safe and will be carrying on with business as usual sometime today,"" he said. Mr Gibbons, describing the Cinque Port Arms as a community pub in the heart of New Romney, said it was a ""one-off"" incident. He said he could not comment further because of the ongoing police investigation. Customers and children upstairs were evacuated from the building Of those injured, three people who were at the pub - patrons and staff - and the driver, needed hospital treatment. None of their injuries were life-threatening. The fourth person injured did not need hospital treatment. Work took place overnight to make the pub structurally safe Kent Fire and Rescue Service said the driver of the car had to be cut free from the wreckage after the crash in the High Street. A 24-year-old man from New Romney has been arrested on suspicion of assault and remains in custody. Kent Fire and Rescue Service Kent Police South East Coast Ambulance Service Drivers complain of âhorrendousâ delays due to roadworks Wintry Weather Alert: Snow and Ice Expected for Kent tonight! First pictures as snow starts falling across Kent after weather warning issued Two men push woman to the ground and steal bag in Dover street robbery Long-awaited Â£20m leisure centre revamp could start next year Huge turnout as anger mounts over âdevastatingâ impact on town of shock rating At least two killed and 1,000 structures destroyed as wildfires rage in Los Angeles In maps: Thousands of acres on fire in LA 'Patients are collapsing in the waiting room': A&E nurses speak out Why does Trump want Greenland and what do its people think? How Canada's immigration debate soured - and helped seal Trudeau's fate 'I can't get divorced as I can't get my pension valued' What are cold weather payments and who can get them? BBC Sound of 2025: Barry Can't Swim is a new dance music superstar Ros Atkins on...Elon Musk's political interventions Jean-Marie Le Pen - founder of French far right and 'Devil of the Republic' Cases of HMPV are on the rise in China - but what is it? Politics Essential: Get the latest news and analysis delivered to your inbox every weekday Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
Heathrow worker charged over drugs find,"A Heathrow security worker has been charged with conspiring to import drugs after cocaine with a street value of Â£700,000 was seized. Farhan Iqbal, 30, was arrested alongside Colombian national, Camilo Alec Pulido Suarez, 37, in a toilet at Terminal 5 on Thursday. Both were charged with conspiracy to import cocaine and appeared earlier at Uxbridge Magistrates' Court. They were remanded in custody along with two other Colombian nationals. The National Crime Agency (NCA) said Wilmer Salazar-Duarte, 43, was separately arrested in the arrivals area of the airport, while 46-year-old Alexander Salazar-Duarte, was arrested after a search at an address in east London. They too face charges of conspiracy to import cocaine. All four are due to appear at Blackfriars Crown Court on December 22. The NCA said about seven kilograms of cocaine were seized, said to have a value of about Â£250,000 but could fetch more than Â£700,000 if cut and sold on the street. HM Courts & Tribunals Service - GOV.UK The 13 London restaurants named as finalists in the 2025 Good Food Guide Awards Arrest after woman killed in drive-by shooting outside church Police concerned for 'vulnerable' missing man with autism last seen in north London Body found in Dolomites search for British hikers believed to be Sam Harris Man, 18, arrested after woman killed in triple Harlesden shooting Man seriously injured after Newham crash on Christmas Day At least two killed and 1,000 structures destroyed as wildfires rage in Los Angeles In maps: Thousands of acres on fire in LA 'Patients are collapsing in the waiting room': A&E nurses speak out Why does Trump want Greenland and what do its people think? How Canada's immigration debate soured - and helped seal Trudeau's fate 'I can't get divorced as I can't get my pension valued' What are cold weather payments and who can get them? BBC Sound of 2025: Barry Can't Swim is a new dance music superstar Ros Atkins on...Elon Musk's political interventions Jean-Marie Le Pen - founder of French far right and 'Devil of the Republic' Cases of HMPV are on the rise in China - but what is it? Politics Essential: Get the latest news and analysis delivered to your inbox every weekday Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
"Hammer victim, 96, facing 'long' recoveryD-Day veteran Jim Booth suffered a ""cowardly"" attack, but is ""a little stronger each day"", his family say.","Jim Booth is growing ""a little stronger each day"", his family say A great-grandfather who was attacked with a claw hammer in a suspected distraction burglary is facing a ""long process of recovery"", his family says. D-Day veteran Jim Booth, 96, was left with ""serious injuries"" after he was attacked by a cold caller asking if he needed any work done to his house, in Taunton, Somerset. In a statement, his family said they shared well-wishers' feelings of ""shock, incomprehension and outrage"". A 39-year-old man has been arrested. He is being held by Avon and Somerset Police on suspicion of attempted murder and aggravated burglary. Mr Booth was attacked on Wednesday after he told a cold caller, who had knocked on his front door, that he did not require any work on his house. In a statement, his children said: ""Countless friends, neighbours, members of the community and even strangers, have expressed their shock, incomprehension and outrage. ""We acknowledge and share those feelings."" However, they said Mr Booth was ""not easily defeated and he grows a little stronger each day"". ""Our father is an exceptional person of whom we are all immensely proud. ""He is the head of the family, a dearly loved father to his four children and adored by his grandchildren and great-grandchildren, to whom he's simply known as 'The Legend.' ""He is, and always has been, our own family hero."" They said Mr Booth had been the victim of a ""vicious and cowardly attack"" and paid tribute to police officers who have worked ""tirelessly"" on the case. ""We are all now focused on the long process of recovery, which will be helped by the love and support of all those around him,"" they added. Mr Booth was part of a top-secret team of submariners who slipped into the waters off Normandy to scout the beaches, during World War Two. Avon and Somerset Police said officers were treating the attack as part of a distraction burglary. Arrest over D-Day veteran hammer attack D-Day veteran, 96, attacked with hammer Avon & Somerset Police New barbers shop looking like it is coming to East Reach in Taunton The A361 in Pilton has fully closed due to a burst water main EDF delays salt marsh consultation for Hinkley Point C Bridgwater canal vandalised less than three weeks since it reopened Somerset and Devon brace for freezing temperatures as new amber warnings issued Fire severely damages flat in Albert Street, Bridgwater At least two killed and 1,000 structures destroyed as wildfires rage in Los Angeles In maps: Thousands of acres on fire in LA 'Patients are collapsing in the waiting room': A&E nurses speak out Why does Trump want Greenland and what do its people think? How Canada's immigration debate soured - and helped seal Trudeau's fate 'I can't get divorced as I can't get my pension valued' What are cold weather payments and who can get them? BBC Sound of 2025: Barry Can't Swim is a new dance music superstar Ros Atkins on...Elon Musk's political interventions Jean-Marie Le Pen - founder of French far right and 'Devil of the Republic' Cases of HMPV are on the rise in China - but what is it? Politics Essential: Get the latest news and analysis delivered to your inbox every weekday Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
Somerset,"Follow Somerset Amber weather alert for snow issued amid cold snap Higher ground in Somerset is expected to see up to 10cm of snow as drivers are warned to take care. Road closed after drivers ignore one-way system Tax rises and job cuts as police at 'tipping point' Housing development refused for third time 'I can't get divorced as I can't get my pension valued' BBC Young Reporter on the need for diverse ballet clothing Damage from storm causes sewage discharge into sea A&E face mask advice and trapped fox is rescued Dogs suffer 'cannabis poisoning' after illegal rave Snow causes transport delays and closes roads Car-choked cities and the hunt for a seagull mascot Diner claims road expansion badly damaged business Wellbeing centre project secures Â£500k grant School's video hopes to combat toxic masculinity Shops full every day 'thanks to Christmas Markets' Police investigate sexual assault at bar Five things due to happen in Somerset in 2025 The Big Cases. The Mistaken Identity Murders. Video, 30 minutesThe Big Cases The Mistaken Identity Murders The Big Cases. Catching The Cult Movie Killer. Video, 22 minutesThe Big Cases Catching The Cult Movie Killer The Big Cases. The House Party Murder. Video, 28 minutesThe Big Cases The House Party Murder The Big Cases. The Missing Mum. Video, 24 minutesThe Big Cases The Missing Mum The Big Cases. The Student Who Never Came Home. Video, 25 minutesThe Big Cases The Student Who Never Came Home Send us a message about your stories on 0800 313 4630 or tap below Listen to audio from your BBC local radio station Is more snow on the way for Somerset? BBC Radio Somerset. Audio, 00:01:45Is more snow on the way for Somerset? BBC Radio Somerset New woodland being created in the Chew Valley. BBC Radio Somerset. Audio, 00:06:32New woodland being created in the Chew Valley BBC Radio Somerset âRemarkableâ Somerset woman on New Year Honours List. BBC Radio Somerset. Audio, 00:05:19âRemarkableâ Somerset woman on New Year Honours List BBC Radio Somerset Secret Somerset. The witchcraft trial of Julian Cox. Audio, 8 minutesSecret Somerset The witchcraft trial of Julian Cox Secret Somerset. From Exmoor to Australia: The oldest ringing church bell. Audio, 8 minutesSecret Somerset From Exmoor to Australia: The oldest ringing church bell Tonight, Low Low of-3Â° Thursday 9 January,ThuÂ9th High of5Â° Low of-3Â° Friday 10 January,FriÂ10th High of3Â° Low of-1Â° Saturday 11 January,SatÂ11th High of5Â° Low of0Â° Sunday 12 January,SunÂ12th High of7Â° Low of3Â° Vaughan to captain England U19s in South Africa Cardiff sign ex-rugby league star Grace from Bath Lawrence apologises for reaction to Mitchell clash GB win gold at Bobsleigh World Cup Northampton upset leaders Bath with last kick of epic clash Cardiff sign ex-rugby league star Grace from Bath Willis wonder show and Smith's new shooting boots Lawrence apologises for reaction to Mitchell clash Northampton upset leaders Bath with last kick of epic clash Listen: Northampton v Bath Rugby BBC Radio Somerset - listen live. AudioBBC Radio Somerset - listen live Points West. VideoPoints West Politics West. VideoPolitics West Spotlight. VideoSpotlight Politics South West. VideoPolitics South West Murder arrests after aggravated burglary victim dies Amber weather alert for snow issued amid cold snap Tax rises and job cuts as police at 'tipping point' Road closed after drivers ignore one-way system Housing development refused for third time A&E face mask advice and trapped fox is rescued BBC Young Reporter on the need for diverse ballet clothing 'I can't get divorced as I can't get my pension valued' Car-choked cities and the hunt for a seagull mascot Damage from storm causes sewage discharge into sea Snow causes transport delays and closes roads Diner claims road expansion badly damaged business Wellbeing centre project secures Â£500k grant School's video hopes to combat toxic masculinity Dogs suffer 'cannabis poisoning' after illegal rave Shops full every day 'thanks to Christmas Markets' Two men in hospital after three vehicle crash Police investigate sexual assault at bar Villagers raise safety concerns over housing plan A superstar debut and recalled baby carriers Roads to close overnight as water upgrade begins Five things due to happen in Somerset in 2025 Northampton upset leaders Bath with last kick of epic clash Snow causes disruption across the west of England Instagram TikTok Facebook X New barbers shop looking like it is coming to East Reach in Taunton The A361 in Pilton has fully closed due to a burst water main EDF delays salt marsh consultation for Hinkley Point C Bridgwater canal vandalised less than three weeks since it reopened Somerset and Devon brace for freezing temperatures as new amber warnings issued Fire severely damages flat in Albert Street, Bridgwater Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
John Leslie charged with sexual assault,"Former television presenter John Leslie has been charged with sexually assaulting a woman in an Edinburgh nightclub. The 52-year-old former Wheel of Fortune and Blue Peter star is alleged to have put his hand up the woman's skirt. The 26-year-old woman was on a hen night when the alleged incident took place at Atik in the city's Tollcross area. It is said to have occurred at an event to mark the club's re-opening in June. A Police Scotland spokesman said: ""Police in Edinburgh have charged a 52-year-old man following a report that a 26-year-old woman was the victim of a sexual assault at a nightclub in the Tollcross area on Sunday 25 June."" A spokesman for the Crown Office and Procurator Fiscal Service said: ""The Procurator Fiscal has received a report concerning a 52-year-old male, in connection with an alleged incident in Edinburgh on 25 June 2017. ""The report is currently under consideration by the Procurator Fiscal."" Short term let owners dealt blow after councillors reject 18 appeals Edinburgh wizard-themed holiday lets to mark Harry Potter 'birthplace' rejected Wednesday court round-up â Grubby pervertâs âitchy boilsâ Ambulance worker who met future wife when he came to her rescue dies weeks after her Police using dogs search Fife country park for missing Dunfermline woman Campervan stolen from Haddington is found on Edinburgh street At least two killed and 1,000 structures destroyed as wildfires rage in Los Angeles In maps: Thousands of acres on fire in LA 'Patients are collapsing in the waiting room': A&E nurses speak out Why does Trump want Greenland and what do its people think? How Canada's immigration debate soured - and helped seal Trudeau's fate 'I can't get divorced as I can't get my pension valued' What are cold weather payments and who can get them? BBC Sound of 2025: Barry Can't Swim is a new dance music superstar Ros Atkins on...Elon Musk's political interventions Jean-Marie Le Pen - founder of French far right and 'Devil of the Republic' Cases of HMPV are on the rise in China - but what is it? Politics Essential: Get the latest news and analysis delivered to your inbox every weekday Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
"Hammer victim, 96, facing 'long' recovery","Jim Booth is growing ""a little stronger each day"", his family say A great-grandfather who was attacked with a claw hammer in a suspected distraction burglary is facing a ""long process of recovery"", his family says. D-Day veteran Jim Booth, 96, was left with ""serious injuries"" after he was attacked by a cold caller asking if he needed any work done to his house, in Taunton, Somerset. In a statement, his family said they shared well-wishers' feelings of ""shock, incomprehension and outrage"". A 39-year-old man has been arrested. He is being held by Avon and Somerset Police on suspicion of attempted murder and aggravated burglary. Mr Booth was attacked on Wednesday after he told a cold caller, who had knocked on his front door, that he did not require any work on his house. In a statement, his children said: ""Countless friends, neighbours, members of the community and even strangers, have expressed their shock, incomprehension and outrage. ""We acknowledge and share those feelings."" However, they said Mr Booth was ""not easily defeated and he grows a little stronger each day"". ""Our father is an exceptional person of whom we are all immensely proud. ""He is the head of the family, a dearly loved father to his four children and adored by his grandchildren and great-grandchildren, to whom he's simply known as 'The Legend.' ""He is, and always has been, our own family hero."" They said Mr Booth had been the victim of a ""vicious and cowardly attack"" and paid tribute to police officers who have worked ""tirelessly"" on the case. ""We are all now focused on the long process of recovery, which will be helped by the love and support of all those around him,"" they added. Mr Booth was part of a top-secret team of submariners who slipped into the waters off Normandy to scout the beaches, during World War Two. Avon and Somerset Police said officers were treating the attack as part of a distraction burglary. Arrest over D-Day veteran hammer attack D-Day veteran, 96, attacked with hammer Avon & Somerset Police New barbers shop looking like it is coming to East Reach in Taunton The A361 in Pilton has fully closed due to a burst water main EDF delays salt marsh consultation for Hinkley Point C Bridgwater canal vandalised less than three weeks since it reopened Somerset and Devon brace for freezing temperatures as new amber warnings issued Fire severely damages flat in Albert Street, Bridgwater At least two killed and 1,000 structures destroyed as wildfires rage in Los Angeles In maps: Thousands of acres on fire in LA 'Patients are collapsing in the waiting room': A&E nurses speak out Why does Trump want Greenland and what do its people think? How Canada's immigration debate soured - and helped seal Trudeau's fate 'I can't get divorced as I can't get my pension valued' What are cold weather payments and who can get them? BBC Sound of 2025: Barry Can't Swim is a new dance music superstar Ros Atkins on...Elon Musk's political interventions Jean-Marie Le Pen - founder of French far right and 'Devil of the Republic' Cases of HMPV are on the rise in China - but what is it? Politics Essential: Get the latest news and analysis delivered to your inbox every weekday Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
Pakistan calls army over 'blasphemy' clash,"This video can not be played Police fired tear gas and rubber bullets to disperse protesters Pakistan's government has called for troops to be deployed in the capital, Islamabad, after violence broke out during protests by Islamists. About 200 people were injured when security forces tried to disperse an Islamist sit-in at the Faizabad Interchange - a key highway. Several deaths have been reported. The protesters have been blocking the highway for several weeks, demanding the sacking of Law Minister Zahid Hamid whom they accuse of blasphemy. Pakistani media report that demonstrators also broke into the minister's residence in Punjab province. Mr Hamid and his family were not in the building. The protests have spread to other cities, including Lahore and the southern port of Karachi. About 200 people were injured in Saturday's clashes The Pakistani government asked the army to deploy in Islamabad on Saturday evening. The interior minister said the order was issued at the request of the city authorities, who were not able to clear the sit-in. There was no immediate comment from the Pakistani military. Protesters want Pakistan's law minister to be sacked Earlier on Saturday, security forces used tear gas and rubber bullets to try to disperse the demonstrators, Pakistani media report, but were met with rocks and tear gas shells. About 8,500 elite police and paramilitary forces took part in the operation to clear the Faizabad Interchange. The crackdown was later suspended. Protesters said four of their activists were killed, but police said there were no deaths, Reuters reports. However, officials are quoted in other reports confirming that several people were killed. Many of those injured are security personnel. The request for the military deployment came after hundreds more demonstrators turned up unexpectedly, forcing the police to retreat. At one point, the authorities took all private television news channels off air, apparently out of concern that the live coverage of the police action could inflame religious sentiments. The protesting Islamists, from the hardline Tehreek-i-Labaik Ya Rasool Allah Party, want the law minister to be sacked for omitting a reference to the Prophet Muhammad in a new version of the electoral oath. The minister has since apologised saying it was a clerical error. Pakistan blasphemy protest ends Pakistan country profile At least two killed and 1,000 structures destroyed as wildfires rage in Los Angeles In maps: Thousands of acres on fire in LA 'Patients are collapsing in the waiting room': A&E nurses speak out Why does Trump want Greenland and what do its people think? How Canada's immigration debate soured - and helped seal Trudeau's fate 'I can't get divorced as I can't get my pension valued' What are cold weather payments and who can get them? BBC Sound of 2025: Barry Can't Swim is a new dance music superstar Ros Atkins on...Elon Musk's political interventions Jean-Marie Le Pen - founder of French far right and 'Devil of the Republic' Cases of HMPV are on the rise in China - but what is it? Politics Essential: Get the latest news and analysis delivered to your inbox every weekday Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
Foster warns time is short for NI deal,"Arlene Foster said that all parties need to be ""serious about obtaining a deal that is balanced"" Democratic Unionist Party (DUP) leader Arlene Foster has said Sinn FÃ©in must choose between making a deal with them or having direct rule ministers in place. Speaking at the party's annual conference, she said ""time is short"". Mrs Foster also spoke of the DUP's influence in Westminster and the party's commitment to Brexit. DUP MPs are propping up the Conservative government as part of a confidence-and-supply deal. Stormont deadlock: what you need to know On the failure of talks between the DUP and Sinn FÃ©in, Mrs Foster said that ""some progress was made but that can only be built upon if all sides are genuinely serious about obtaining a deal that is balanced"". The DUP-Sinn FÃ©in power-sharing government fell apart in January following a row over a green energy scandal, which is now the subject of a public inquiry. A series of talks have failed to find agreement over issues including an Irish language act and same-sex marriage. Arlene Foster told the DUP party conference that Sinn FÃ©in needs to respect British culture ""I said back in the summer that this party was prepared to legislate for the Irish language in the context of legislating for the plurality of cultures that exist in Northern Ireland,"" Mrs Foster told the conference in Belfast. ""The Irish language is spoken and enjoyed by thousands of people in all parts of Northern Ireland,  it does no damage to our unionism or the Union we cherish. ""I respect the Irish language and those who speak it, however, respect isn't a one-way street. ""Respect works both ways."" Mrs Foster said Sinn FÃ©in needed to ""respect our British culture"". ""For too long they have shown nothing but disdain and disrespect for the national flag, the Royal Family, the Armed Forces, British symbols, the constitutional reality and the very name of this country. ""Time is short and those in Sinn FÃ©in blocking the restoration of local decision making need to decide whether they want to do business with us or have direct rule ministers in place. ""I still believe that devolution is the best way to govern Northern Ireland, but to do that in a way that delivers for all of our people we need serious partners in government."" On Brexit, Mrs Foster said it was ""perhaps the most substantial and complex process the government and parliament had undertaken in the modern political era"". She reiterated her desire to find a solution for Northern Ireland that would not harm the country's economic relationship with either the rest of the UK or the Republic of Ireland. ""As we joined the then European Community as one nation we will leave as one United Kingdom,"" she said. Responding to Mrs Foster's address, Sinn FÃ©in's northern leader, Michelle O'Neill said she and her party ""remained committed to making the institutions work,"" but said: ""They must operate on the basis agreed 20 years ago."" ""A majority of citizens in the north expect and are entitled to the same rights enjoyed by citizens across these islands; language and marriage equality rights, due process in all aspects of the legal and judicial system, including inquests."" Earlier, the party's deputy leader Nigel Dodds told the conference that the deal with the Conservative Party was ""in the national interest"" and an opportunity for Northern Ireland. ""Our interests in the negotiations were not in seats for ourselves at the cabinet table but in jobs and investment for our people,"" he said. ""Our goal is not to push some narrow DUP agenda but to deliver for the whole community in Northern Ireland,"" he added. Nigel Dodds said that the time is coming when direct rule will be ""the lesser of two evils"" The Conservative Party are represented at the conference through senior minister Damian Green and chief whip Julian Smith, who is due to give a keynote speech on Saturday afternoon. Mr Dodds also addressed the ongoing political deadlock at Stormont. Mr Dodds said Northern Ireland Secretary James Brokenshire must soon consider implementing direct rule if no deal is struck. ""While we understand, because of the talks process and the absence of ministers, things have been more difficult, within a very short space of time that will not be a tenable excuse for not taking action,"" he said. ""None of us want to see direct rule introduced but we are fast approaching the moment when it will be the lesser of two evils."" DUP wants direct rule 'within weeks' Stormont deadlock: Need-to-know guide At least two killed and 1,000 structures destroyed as wildfires rage in Los Angeles In maps: Thousands of acres on fire in LA 'Patients are collapsing in the waiting room': A&E nurses speak out Why does Trump want Greenland and what do its people think? How Canada's immigration debate soured - and helped seal Trudeau's fate 'I can't get divorced as I can't get my pension valued' What are cold weather payments and who can get them? BBC Sound of 2025: Barry Can't Swim is a new dance music superstar Ros Atkins on...Elon Musk's political interventions Jean-Marie Le Pen - founder of French far right and 'Devil of the Republic' Cases of HMPV are on the rise in China - but what is it? Politics Essential: Get the latest news and analysis delivered to your inbox every weekday Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
Two men quizzed after Oxford Circus panic,"Two men have been interviewed by detectives after an altercation at a central London Tube station created mass panic on Friday, police have said. The men, aged 21 and 40, attended a police station voluntarily following an appeal, and the inquiry is continuing. Sixteen people were treated after they were injured fleeing Oxford Circus station, following reports of gunshots being fired on a Central Line platform. There was no evidence any weapons had been fired, police said. Officers want to speak to anyone who was at Oxford Circus underground station at the time of the evacuation. Oxford Circus scare: As it happened Shoppers were barricaded inside stores on Oxford Street and armed police were deployed after the alarm was raised during the evening rush hour. Police initially treated the incident as potentially terrorism-related, before standing down. The British Transport Police said it believed there had been an altercation between two men on the platform before the scare. This video can not be played Footage shows people fleeing Oxford Circus The Metropolitan Police said it began receiving ""numerous"" 999 calls reporting gunshots in Oxford Street and at Oxford Circus station at 16:38 GMT on Friday. The first armed response vehicle was on the scene in less than a minute from receiving the first call, the force said. Oxford Circus - where Oxford Street and Regent Street meet - was cordoned off, while shops and businesses were placed in lockdown. In a statement, the Met Police said: ""No casualties, evidence of any shots fired or any suspects were located by police."" But 16 people were injured as passengers fled from Oxford Circus station, in what witnesses said was ""a stampede"". One patient was transferred to a major trauma centre for leg injuries, while eight people were taken to central London hospitals for minor injuries. By 18:05 GMT, the police operation had been stood down. In a statement,external, Mayor of London Sadiq Khan praised the city's emergency services for a ""swift response"". 'Altercation' caused Oxford Circus panic Oxford Circus Tube incident: As it happened Footage of people fleeing Oxford Circus. Video, 00:00:56Footage of people fleeing Oxford Circus 'People were running, screaming' Video, 00:00:59'People were running, screaming' At least two killed and 1,000 structures destroyed as wildfires rage in Los Angeles In maps: Thousands of acres on fire in LA 'Patients are collapsing in the waiting room': A&E nurses speak out Why does Trump want Greenland and what do its people think? How Canada's immigration debate soured - and helped seal Trudeau's fate 'I can't get divorced as I can't get my pension valued' What are cold weather payments and who can get them? BBC Sound of 2025: Barry Can't Swim is a new dance music superstar Ros Atkins on...Elon Musk's political interventions Jean-Marie Le Pen - founder of French far right and 'Devil of the Republic' Cases of HMPV are on the rise in China - but what is it? Politics Essential: Get the latest news and analysis delivered to your inbox every weekday Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
Policeman hurt in 'despicable' van attack,"Officers tried to stop a white van on Hasfield Road in Norris Green A police officer was seriously injured when he was hit by a van driven at him in Liverpool. Police were trying to stop a white Transit van in Norris Green when it was driven onto the pavement and then at the officer at 19:25 GMT on Saturday. The officer was taken to hospital following the ""despicable attack"" where he is being treated for injuries to his ribs and leg, Merseyside Police said. A man, from Everton, has been arrested on suspicion of attempted murder. The 34-year-old, who is also being held on possession of cannabis and driving while under the influence of drink or drugs, remains in custody. The van hit a police car and other parked vehicles on Hasfield Road before it was driven at the officer, detectives said. The policeman's injuries are not thought to be life-threatening Det Ch Insp Martin Earl said: ""This was a despicable attack on a police officer who was simply doing his job, trying to protect the communities of Merseyside. ""The officer has sustained serious injuries for which he is receiving treatment. He has also been left extremely shaken by his ordeal."" He added that colleagues have been left ""shocked"" by the incident and are being provided with support. Peter Singleton, chair of the Merseyside branch of the Police Federation - which represents 120,000 officers across the UK - said it was ""another sobering reminder of how dangerous policing can be"". ""It's an incident that shows there are individuals out there who really just do not care, have no thoughts for other people - for the public or police officers - and their safety,"" he said. He added it was an ""unnerving reminder"" of the death of Merseyside Police officerDave Phillips, who was killed while trying to stop a stolen vehicle in 2015. Merseyside Police website - Merseyside Police Girl violently raped in woods by teen boy who befriended her on Instagram Burglar caught by police said he was looking for Christmas presents for his children Jaguar Land Rover workers 'to lose Â£400 per month' in major changes at Halewood plant 'A good outcome for the area' new police station plans backed Liverpool's 'little pub with the big heart' Coopers Town House celebrates 100 years Three people charged over alleged Â£1m fraud offences at car showroom At least two killed and 1,000 structures destroyed as wildfires rage in Los Angeles In maps: Thousands of acres on fire in LA 'Patients are collapsing in the waiting room': A&E nurses speak out Why does Trump want Greenland and what do its people think? How Canada's immigration debate soured - and helped seal Trudeau's fate 'I can't get divorced as I can't get my pension valued' What are cold weather payments and who can get them? BBC Sound of 2025: Barry Can't Swim is a new dance music superstar Ros Atkins on...Elon Musk's political interventions Jean-Marie Le Pen - founder of French far right and 'Devil of the Republic' Cases of HMPV are on the rise in China - but what is it? Politics Essential: Get the latest news and analysis delivered to your inbox every weekday Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking."
