article,article_sentiment,article_score
"Mr Abramovich will be the richest person in Israel The Russian-Jewish billionaire owner of Chelsea football club, Roman Abramovich, has flown to Tel Aviv after being found eligible for Israeli citizenship. Immigration officials told the BBC that he was interviewed last week at the Israeli embassy in Moscow. He has faced delays in renewing his UK visa. His spokesman would not comment on reports citizenship had been granted. Mr Abramovich, 51, would be the richest person in Israel. His UK investor visa reportedly expired some weeks ago but the British government has refused to comment on his individual case. The delay in issuing him a new one comes amid increased diplomatic tensions between London and Moscow after the poisoning of former Russian spy Sergei Skripal in southern England. Abramovich faces UK visa 'delay' Reality Check: What's an investor visa? Mr Abramovich did not attend the FA cup final at Wembley earlier this month when Chelsea beat Manchester United. Israeli media reports say he has been given an identity card in Israel under the Law of Return, which allows Jews to become citizens of Israel. The Times of Israel said the interior ministry had confirmed Mr Abramovich arrived in Israel on Monday and that he had emigrated to the country. He is a frequent visitor to Israel and bought a hotel in Tel Aviv in 2015 that reports say he has turned into a residence. Israel passport holders are allowed to enter Britain without a visa for short stays. Mr Abramovich is worth $11.5bn (Â£8.6bn), according to Forbes magazine. The move could pay off financially as new Israeli citizens are exempt from paying tax on foreign income for 10 years. Mr Abramovich (right) has often been spotted at Chelsea's Stamford Bridge ground One of Russia's richest people, he bought Chelsea FC in 2003 He reportedly sold dolls before making his fortune in oil in the 1990s after the collapse of the former Soviet Union Mr Abramovich was a one-time business partner of the late tycoon Boris Berezovky, an associate of former Russian President Boris Yeltsin Critics say the two businessmen used their Kremlin ""family"" ties to acquire key state companies for below market value Mr Abramovich served as governor of Russia's Chukotka region He is believed to be close to current Russian President Vladimir Putin Abramovich faces UK visa 'delay' Death toll rises amid most destructive wildfire in Los Angeles' history In maps: Thousands of acres on fire in LA 'Patients are collapsing in the waiting room': A&E nurses speak out Chris Mason: Is Starmer leaving the door open to an abuse inquiry? The Papers: 'Apocalypse' LA and 'Reeves faces extra tax rises' Why does Trump want Greenland and what do its people think? How Canada's immigration debate soured - and helped seal Trudeau's fate 'I can't get divorced as I can't get my pension valued' What are cold weather payments and who can get them? BBC Sound of 2025: Barry Can't Swim is a new dance music superstar Ros Atkins on...Elon Musk's political interventions Jean-Marie Le Pen - founder of French far right and 'Devil of the Republic' Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking.",Negative,0.00070613064
"This video can not be played Simon Cowell on Britain's Got Talent The stormy weather has been causing all sorts of problems across the UK - not least for the first live semi-final of Britain's Got Talent. Monday night's show went off air for several minutes, as ITV showed an apology and footage of former winners auditioning. Declan Donnelly is hosting the live shows alone this yearwhile fellow presenterAnt McPartlin takes time off. Judge Simon Cowell joked: ""Ant, you are coming back next year - don't do that!"" Ant announced he was stepping away for a while from his TV roles following his arrest in March.He later pleaded guilty to drink drivingand was given a 20-month driving ban and an Â£86,000 fine. Shameer Rayes was one of the semi-finalists on Monday's show When BGT came back on air, Dec apologised for ""technical problems"" due to the weather during the early part of the show, which is broadcast from the Hammersmith Apollo in west London. He joked: ""Going well so far!"" He also repeated voting information for anyone who had missed it. Dec told the audience and viewers that nothing had changed since the last series, with the same judges and format, then added: ""And the presenters... well, probably best not to dwell on that."" Another judge, David Walliams, later joked that Dec looked ""a little tense"" and offered him a massage. Fans were impressed with Dec going solo. Allow Twitter content? This article contains content provided by Twitter. We ask for your permission before anything is loaded, as they may be using cookies and other technologies. You may want to readTwitterâs cookie policy,externalandprivacy policy,externalbefore accepting. To view this content chooseâaccept and continueâ. Allow Twitter content? This article contains content provided by Twitter. We ask for your permission before anything is loaded, as they may be using cookies and other technologies. You may want to readTwitterâs cookie policy,externalandprivacy policy,externalbefore accepting. To view this content chooseâaccept and continueâ. There was also an apology for the technical hitch on the BGT Twitter account. Allow Twitter content? This article contains content provided by Twitter. We ask for your permission before anything is loaded, as they may be using cookies and other technologies. You may want to readTwitterâs cookie policy,externalandprivacy policy,externalbefore accepting. To view this content chooseâaccept and continueâ. Allow Twitter content? This article contains content provided by Twitter. We ask for your permission before anything is loaded, as they may be using cookies and other technologies. You may want to readTwitterâs cookie policy,externalandprivacy policy,externalbefore accepting. To view this content chooseâaccept and continueâ. But one viewer tweeted in response about the first act, Cali Swing:""Annoyed that #Caliswing didn't get to speak or receive feedback on TV with judges!! Unfair to start with! They were fantastic!!!"",external It's not the first time Dec has hosted solo - hepresented the last two episodes of Saturday Night Takeaway earlier this year without Ant. Ant and Dec usually present the show together The rest of the semi-finals will air throughout this week, with the final going out on Sunday. Follow us onFacebook,external, on Twitter@BBCNewsEnts,external, or on Instagram atbbcnewsents,external. If you have a story suggestion emailentertainment.news@bbc.co.uk,external. Death toll rises amid most destructive wildfire in Los Angeles' history In maps: Thousands of acres on fire in LA 'Patients are collapsing in the waiting room': A&E nurses speak out Chris Mason: Is Starmer leaving the door open to an abuse inquiry? The Papers: 'Apocalypse' LA and 'Reeves faces extra tax rises' Why does Trump want Greenland and what do its people think? How Canada's immigration debate soured - and helped seal Trudeau's fate 'I can't get divorced as I can't get my pension valued' What are cold weather payments and who can get them? BBC Sound of 2025: Barry Can't Swim is a new dance music superstar Ros Atkins on...Elon Musk's political interventions Jean-Marie Le Pen - founder of French far right and 'Devil of the Republic' Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking.",Negative,1.687802e-07
"This video can not be played Wildwood Police is conducting an investigation following the widely shared video Police in the US state of New Jersey have opened an inquiry after a video emerged showing an officer punching a woman in the head during an arrest. The footage, posted on social media on Saturday, shows three officers from the Wildwood Police Department attempting to detain Emily Weinman, 20. Ms Weinman was later charged with illegal possession of alcohol on the beach and for resisting arrest. Two of the officers have been placed on administrative duty, officials said. The incident, which occurred on a beach on Memorial Day weekend in the US, shows Ms Weinman being wrestled to the ground in a swimsuit and shorts. With one officer on top of her, she kicks out at another, who then holds her legs down by gripping her ankles. One officer is then seen punching her in the head with his fist before placing her in a headlock and pinning her to the ground. Watch: NBA star stun-gunned in police video US officer's bodycam records him clinging to speeding car Eyewitnesses can be heard in the recorded footage urging Ms Weinman, who is from Philadelphia, to stop resisting the police officers. The video was captured by Alexis Hewitt, 19, of Williamstown, New Jersey. She said she was with friends when she was startled awake by the commotion. ""When she fell that's basically when it caught my eye because everyone was yelling and I woke up, and I got my camera out right when she went down,"" Ms Hewitt told ABC News. Ms Weinman was arrested and charged with disorderly conduct after she was found in possession of alcohol on the beach, police said. She was also charged with resisting arrest and aggravated assault on a police officer ""by spitting bodily fluids"". The Wildwood Police Department said it had opened an internal investigation over the actions of its officers after it was made aware of the reports. Allow Facebook content? This article contains content provided by Facebook. We ask for your permission before anything is loaded, as they may be using cookies and other technologies. You may want to readMetaâs Facebook cookie policy,externalandprivacy policy,externalbefore accepting. To view this content chooseâaccept and continueâ. NBA star stun-gunned in police video. Video, 00:02:06NBA star stun-gunned in police video Footage shows US cop clinging to speeding car. Video, 00:01:08Footage shows US cop clinging to speeding car Death toll rises amid most destructive wildfire in Los Angeles' history In maps: Thousands of acres on fire in LA 'Patients are collapsing in the waiting room': A&E nurses speak out Chris Mason: Is Starmer leaving the door open to an abuse inquiry? The Papers: 'Apocalypse' LA and 'Reeves faces extra tax rises' Why does Trump want Greenland and what do its people think? How Canada's immigration debate soured - and helped seal Trudeau's fate 'I can't get divorced as I can't get my pension valued' What are cold weather payments and who can get them? BBC Sound of 2025: Barry Can't Swim is a new dance music superstar Ros Atkins on...Elon Musk's political interventions Jean-Marie Le Pen - founder of French far right and 'Devil of the Republic' Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking.",Negative,1.241631e-17
"Carlo Cottarelli met President Mattarella on Monday morning Italian President Sergio Mattarella has asked an ex-IMF economist to form a government as the country faces fresh political turmoil. Carlo Cottarelli became known as ""Mr Scissors"" for his cuts to public spending in Italy. His appointment came after efforts by Italy's two populist parties to form a coalition government collapsed. But the move is a temporary measure and the PM-in-waiting says he will hold new elections by early next year. The prospect of elections as early as September hit European financial markets on Monday with analysts suggesting the move might simply delay a future populist government that wants to renegotiate key eurozone debt agreements. Should Europe be scared? What is Italy's political crisis all about? Italy, the EU's fourth-biggest economy, has been without a government since elections in March because no political group can form a majority. Two of the big winners from the vote - Five Star and the League - attempted to join forces but abandoned efforts after the president vetoed their choice of finance minister. Mr Mattarella said he could not appoint the Eurosceptic Paolo Savona to the post, citing concern from investors at home and abroad. The rare move by the president sparked fury from both parties, who say they will reject Mr Cottarelli's nomination in parliament. After the president blocked Mr Savona's appointment, Five Star leader Luigi Di Maio called on parliament to impeach the president. ""Why don't we just say that in this country it's pointless that we vote, as the ratings agencies, financial lobbies decide the governments?"" he asked in a video on Facebook. Mr Di Maio later called for peaceful protests and urged his supporters to unite and ""make some noise"". ""It is important that we do so all together,"" he said. Italy populists: What you should know Italy's economy in charts He said walks and rallies would be organised in Italian cities, including an event in Rome on 2 June - a national holiday celebrating when the country became a republic in 1946. Five Star leader Luigi Di Maio (L) and Lega leader Matteo Salvini Meanwhile the League's chief Matteo Salvini also criticised the president's decision, calling for mass protests and accusing Brussels and Germany of meddling. Although the president's role is largely ceremonial, he enjoys powers such as appointing heads of government and the ability to dissolve parliament that have proven key with Italy seeing frequent political instability and numerous changes of government. After meeting the president, Mr Cottarelli said he would present a programme to parliament, including a budget, to take Italy into new elections ""at the beginning of 2019"". If he was unable to pass a programme, which appears likely at this stage, ""the government would resign immediately... until elections are held after the month of August"", he added. The BBC's James Reynolds in Rome says early elections are exactly what the two populist parties want, giving them a chance to rally support behind their claim that the Italian and the wider European establishments are getting in the way of the will of the people. A source from Five Star told Reuters the party could campaign with the League in a fresh vote. What is Italy's crisis all about? Italian economy in charts What you should know Should Europe be scared? Italy country profile Death toll rises amid most destructive wildfire in Los Angeles' history In maps: Thousands of acres on fire in LA 'Patients are collapsing in the waiting room': A&E nurses speak out Chris Mason: Is Starmer leaving the door open to an abuse inquiry? The Papers: 'Apocalypse' LA and 'Reeves faces extra tax rises' Why does Trump want Greenland and what do its people think? How Canada's immigration debate soured - and helped seal Trudeau's fate 'I can't get divorced as I can't get my pension valued' What are cold weather payments and who can get them? BBC Sound of 2025: Barry Can't Swim is a new dance music superstar Ros Atkins on...Elon Musk's political interventions Jean-Marie Le Pen - founder of French far right and 'Devil of the Republic' Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking.",Positive,1.0
"Officers were called to Dexter Way at about 04:50 BST to reports of two people with serious injuries A man has been arrested on suspicion of murdering an 11-year-old girl and her mother. The bodies of Laura Mortimer, 31, and her daughter Ella Dalby were found when police were called to Dexter Way, Gloucester, at about 04:50 BST. Officers were called to reports of two people with serious injuries but the pair were declared dead at the scene. A 28-year-old man has been arrested on suspicion of murder, Gloucestershire Police said. Police cordons are in place at locations linked to the investigation, a spokesman for the force said Dexter Way is a quiet residential street close to the centre of Gloucester sited between the River Severn and a large retail park. Resident Ruth Kedward said she was ""dumb-struck"" when she found out about the deaths. ""I couldn't believe it,"" she said. It is understood the Ms Mortimer ran her own business, Sweet Beginnings, offering bespoke bridal gowns and wedding planning services. A wedding photographer based in Gloucestershire, who asked not to be named, said: ""Laura was a lovely lady with a kind word for everyone. ""An inspiration to many people not only personally but in the wedding industry too. ""She worked so hard to get where she did and was extremely well respected throughout Gloucestershire and beyond."" Forensics officers were at the scene Tributes have been paid on Facebook, with one person writing: ""Been in so much shock all day and still have no words, I'm absolutely heart broken and keep thinking someone is going to say they got it wrong."" Another said: ""Laura and I were good friends and I'm in extreme shock. ""I tell you what I cannot, cannot, cannot believe this. Gutted does not even come close and that beautiful daughter Ella she was Laura's rock..."" Another friend posted: ""Fly high you two beautiful angels thoughts are with your family and friends at this awful time."" Police cordons are in place at locations linked to the investigation, a spokesman for the force said. The nearby Riverside Sports and Leisure Club was also closed for a couple of hours but has since re-opened. Anyone with any information has been urged to contact police. Gloucestershire Constabulary Death toll rises amid most destructive wildfire in Los Angeles' history In maps: Thousands of acres on fire in LA 'Patients are collapsing in the waiting room': A&E nurses speak out Chris Mason: Is Starmer leaving the door open to an abuse inquiry? The Papers: 'Apocalypse' LA and 'Reeves faces extra tax rises' Why does Trump want Greenland and what do its people think? How Canada's immigration debate soured - and helped seal Trudeau's fate 'I can't get divorced as I can't get my pension valued' What are cold weather payments and who can get them? BBC Sound of 2025: Barry Can't Swim is a new dance music superstar Ros Atkins on...Elon Musk's political interventions Jean-Marie Le Pen - founder of French far right and 'Devil of the Republic' Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking.",Negative,8.1410704e-08
"Neale Cooper was found in the stairwell of flats in the Bucksburn area of Aberdeen Former Aberdeen and Rangers player Neale Cooper has died after collapsing at the weekend. The 54-year-old was taken to Aberdeen Royal Infirmary after he was found in the stairwell of flats in the Bucksburn area of the city early on Sunday morning. Aberdeen Football Club have confirmed he passed away on Monday. 'Cooper a privilege to play with' - McLeish Cooper was one of the Dons'Gothenburg Greats- part of the team that won the European Cup Winners' Cup in 1983. Aberdeen reacted to news of Cooper's death on Twitter His death is not being treated as suspicious but police said their inquiries are continuing. They have appealed for help in tracing a taxi driver who drove Mr Cooper from the centre of the city shortly before he was found. Mr Cooper, another man and two women were picked up by a male taxi driver at around 00:30 on Sunday at Union Street, near Chapel Street. They were all dropped off at Ferguson Court in Bucksburn. Det Insp David Howieson said: ""There are no apparent suspicious circumstances however inquiries are continuing to establish how the man came to be injured. ""We would appeal for the driver of a taxi, described as a black people carrier, which picked the four people up at Union Street in Aberdeen in the early hours of Sunday, to contact us on 101. ""The taxi driver is described as speaking with a local accent and had a beard. Anyone with information which may help our inquiries is asked to get in touch."" During his career Cooper managed Ross County, Peterhead, Hartlepool United and Gillingham and played with Aston Villa, Rangers, Reading, Dunfermline Athletic and Ross County. Ross County, who Cooper guided to two promotions, tweeted about their former manager Local authorities warned to learn from fraud-enabling Aberdeen City Council Dog rescued from River Ugie in Peterhead âWe want to keep businesses in Elginâ - Plea as St Giles Centre closes St Giles closure would âtake the heart out of townâ Council support for out-of-town shopping helped cause closure, say St Gilesâ owners Power cut affects town centre properties Death toll rises amid most destructive wildfire in Los Angeles' history In maps: Thousands of acres on fire in LA 'Patients are collapsing in the waiting room': A&E nurses speak out Chris Mason: Is Starmer leaving the door open to an abuse inquiry? The Papers: 'Apocalypse' LA and 'Reeves faces extra tax rises' Why does Trump want Greenland and what do its people think? How Canada's immigration debate soured - and helped seal Trudeau's fate 'I can't get divorced as I can't get my pension valued' What are cold weather payments and who can get them? BBC Sound of 2025: Barry Can't Swim is a new dance music superstar Ros Atkins on...Elon Musk's political interventions Jean-Marie Le Pen - founder of French far right and 'Devil of the Republic' Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking.",Negative,1.11737015e-10
"The scene was cordoned off after people were struck by a car at the Salisbury Club A murder investigation has been launched after a man died and two others were injured when a car hit pedestrians in Greater Manchester. They were struck at the Salisbury Club in Truro Avenue, Stockport, at about 22:45 BST on Sunday. The victim, believed to be in his 30s, died in hospital. The car driver fled and the vehicle was found abandoned in the middle lane of the M60. The incident is not being treated as terror-related. Two men, aged 31 and 33, suffered minor injuries, police said. The incident happened in the Brinnington area of Stockport The driver of the car, thought to be a black Audi A4, is believed to have scaled the fence next to the M60, close to the Redrock centre in Stockport town centre, and run away. Det Insp Kris Williams said: ""We've already spoken to a number of witnesses in the area and will continue to do so to build a fuller picture of what has exactly happened. ""From what we know so far, we believe the driver of the car scaled the fence next to the M60 and ran away. ""My thoughts go out to the man's family who sadly have to deal with the tragic news that their loved one has died."" Brinnington Road between Manor Road and Northumberland Road remains closed while investigations take place. Flowers were left at the scene Greater Manchester Police Site Administrator The exact times it will be coldest in every Greater Manchester borough tonight as temperatures to plummet to -16C across UK Met Office warns more snow could fall over UK at weekend in fresh update Man and woman charged in connection with M62 crash death appear in court Wanted man in custody after police find items believed to be stolen Disruption on M66 northbound after 'police incident' Death toll rises amid most destructive wildfire in Los Angeles' history In maps: Thousands of acres on fire in LA 'Patients are collapsing in the waiting room': A&E nurses speak out Chris Mason: Is Starmer leaving the door open to an abuse inquiry? The Papers: 'Apocalypse' LA and 'Reeves faces extra tax rises' Why does Trump want Greenland and what do its people think? How Canada's immigration debate soured - and helped seal Trudeau's fate 'I can't get divorced as I can't get my pension valued' What are cold weather payments and who can get them? BBC Sound of 2025: Barry Can't Swim is a new dance music superstar Ros Atkins on...Elon Musk's political interventions Jean-Marie Le Pen - founder of French far right and 'Devil of the Republic' Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking.",Positive,0.9999999
"Solo sees its title character (Ehrenreich, centre, blue shirt) meet Chewbacca for the first time Solo: A Star Wars Story, the latest prequel in the huge film franchise, has failed to make the impact Disney had hoped in North America. Analysts had predicted Ron Howard's film about a young Han Solo would take between $130m (Â£97.6m) and $150m (Â£112.7m) on its debut weekend. But it had to settle for $103m (Â£77.4m), which was still enough to knock Deadpool 2 off the top spot. Solo, starring Alden Ehrenreich, took an estimated $168m (Â£126.2m) overseas. Has Star Wars reached peak prequel? Boba Fett set for next spin-off movie Solo brings Star Wars back to Cannes TheHollywood Reporter's Pamela McClintock,externaldescribed this figure as ""grim"". Felicity Jones starred in last year's Rogue One However, the film wasgenerally praised by critics when reviews first came out. The Hollywood Reporter reckons that most box-office analysts blame Solo's underwhelming performance on the fact that it debuted just five months after Star Wars: The Last Jedi was released,suggesting audience fatigue.,external ""There's a question of frequency, and how many times people will go to the movies. Is this too much and too soon for a third time in a five-week period?"" Disney distribution chief Dave Hollis told the film news website. ""Let's measure how we feel about this until more time passes,"" he added. The Han Solo origin film fared less well than its fellow standalone, 2016's Rogue One: A Star Wars Story, which opened to $155m in the US and Canada. In fact, it had the lowest opening for a Star Wars film since Disney took over the franchise, starting with 2015's The Force Awakens - the first of a trilogy - which took $248m over its first three days. The Last Jedi, released in December, took $220m. Follow us onFacebook,external, on Twitter@BBCNewsEnts,external, or on Instagram atbbcnewsents,external. If you have a story suggestion emailentertainment.news@bbc.co.uk,external. Has Star Wars reached peak prequel? Boba Fett next Star Wars spin-off 'Women front and centre' in Star Wars. Video, 00:01:53'Women front and centre' in Star Wars Solo film brings Star Wars to Cannes First reactions to 'fun' Solo film Solo: A Star Wars Story Death toll rises amid most destructive wildfire in Los Angeles' history In maps: Thousands of acres on fire in LA 'Patients are collapsing in the waiting room': A&E nurses speak out Chris Mason: Is Starmer leaving the door open to an abuse inquiry? The Papers: 'Apocalypse' LA and 'Reeves faces extra tax rises' Why does Trump want Greenland and what do its people think? How Canada's immigration debate soured - and helped seal Trudeau's fate 'I can't get divorced as I can't get my pension valued' What are cold weather payments and who can get them? BBC Sound of 2025: Barry Can't Swim is a new dance music superstar Ros Atkins on...Elon Musk's political interventions Jean-Marie Le Pen - founder of French far right and 'Devil of the Republic' Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking.",Positive,0.9984358
"Mr Dassualt's group owned firms in aeronautics and armaments as well as the newspaper Le Figaro French entrepreneur and politician Serge Dassault has died at the age of 93, his family has said. Mr Dassault led the Dassault group after his father, Marcel's, death in 1986. The group has numerous firms in aeronautics and armaments and owns the French newspaper, Le Figaro. Mr Dassault was one of France's richest men and ranked high on the billionaires list of bothBloomberg,externalandForbes,external. They put his worth at about $26bn-$27bn (Â£19.5bn-Â£20bn). Mr Dassault was also involved in politics and had served as a conservative senator and a mayor of Corbeil-Essonne, a southern suburb of Paris. Former French President Nicolas Sarkozy paid tribute to Mr Dassault, saying: ""France has lost a great industrialist, and I a friend."" French news channel BFMTV reported that Mr Dassault died after he had a heart attack at the headquarters of the Dassault Aviation group on Monday. The Dassault Group holds a majority stake in Dassault Aviation, the manufacturer of the Mirage and Rafale fighter jets. Last year, he was found guilty of fraud by a Paris court after failing to disclose the full extent of his wealth to the tax authorities and fined â¬2m (Â£1.75m; $2.3m). Airbus and Dassault in fighter jet deal Death toll rises amid most destructive wildfire in Los Angeles' history In maps: Thousands of acres on fire in LA 'Patients are collapsing in the waiting room': A&E nurses speak out Chris Mason: Is Starmer leaving the door open to an abuse inquiry? The Papers: 'Apocalypse' LA and 'Reeves faces extra tax rises' Why does Trump want Greenland and what do its people think? How Canada's immigration debate soured - and helped seal Trudeau's fate 'I can't get divorced as I can't get my pension valued' What are cold weather payments and who can get them? BBC Sound of 2025: Barry Can't Swim is a new dance music superstar Ros Atkins on...Elon Musk's political interventions Jean-Marie Le Pen - founder of French far right and 'Devil of the Republic' Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking.",Negative,0.016438998
"This video can not be played Simon Cowell on Britain's Got Talent The stormy weather has been causing all sorts of problems across the UK - not least for the first live semi-final of Britain's Got Talent. Monday night's show went off air for several minutes, as ITV showed an apology and footage of former winners auditioning. Declan Donnelly is hosting the live shows alone this yearwhile fellow presenterAnt McPartlin takes time off. Judge Simon Cowell joked: ""Ant, you are coming back next year - don't do that!"" Ant announced he was stepping away for a while from his TV roles following his arrest in March.He later pleaded guilty to drink drivingand was given a 20-month driving ban and an Â£86,000 fine. Shameer Rayes was one of the semi-finalists on Monday's show When BGT came back on air, Dec apologised for ""technical problems"" due to the weather during the early part of the show, which is broadcast from the Hammersmith Apollo in west London. He joked: ""Going well so far!"" He also repeated voting information for anyone who had missed it. Dec told the audience and viewers that nothing had changed since the last series, with the same judges and format, then added: ""And the presenters... well, probably best not to dwell on that."" Another judge, David Walliams, later joked that Dec looked ""a little tense"" and offered him a massage. Fans were impressed with Dec going solo. Allow Twitter content? This article contains content provided by Twitter. We ask for your permission before anything is loaded, as they may be using cookies and other technologies. You may want to readTwitterâs cookie policy,externalandprivacy policy,externalbefore accepting. To view this content chooseâaccept and continueâ. Allow Twitter content? This article contains content provided by Twitter. We ask for your permission before anything is loaded, as they may be using cookies and other technologies. You may want to readTwitterâs cookie policy,externalandprivacy policy,externalbefore accepting. To view this content chooseâaccept and continueâ. There was also an apology for the technical hitch on the BGT Twitter account. Allow Twitter content? This article contains content provided by Twitter. We ask for your permission before anything is loaded, as they may be using cookies and other technologies. You may want to readTwitterâs cookie policy,externalandprivacy policy,externalbefore accepting. To view this content chooseâaccept and continueâ. Allow Twitter content? This article contains content provided by Twitter. We ask for your permission before anything is loaded, as they may be using cookies and other technologies. You may want to readTwitterâs cookie policy,externalandprivacy policy,externalbefore accepting. To view this content chooseâaccept and continueâ. But one viewer tweeted in response about the first act, Cali Swing:""Annoyed that #Caliswing didn't get to speak or receive feedback on TV with judges!! Unfair to start with! They were fantastic!!!"",external It's not the first time Dec has hosted solo - hepresented the last two episodes of Saturday Night Takeaway earlier this year without Ant. Ant and Dec usually present the show together The rest of the semi-finals will air throughout this week, with the final going out on Sunday. Follow us onFacebook,external, on Twitter@BBCNewsEnts,external, or on Instagram atbbcnewsents,external. If you have a story suggestion emailentertainment.news@bbc.co.uk,external. Death toll rises amid most destructive wildfire in Los Angeles' history In maps: Thousands of acres on fire in LA 'Patients are collapsing in the waiting room': A&E nurses speak out Chris Mason: Is Starmer leaving the door open to an abuse inquiry? The Papers: 'Apocalypse' LA and 'Reeves faces extra tax rises' Why does Trump want Greenland and what do its people think? How Canada's immigration debate soured - and helped seal Trudeau's fate 'I can't get divorced as I can't get my pension valued' What are cold weather payments and who can get them? BBC Sound of 2025: Barry Can't Swim is a new dance music superstar Ros Atkins on...Elon Musk's political interventions Jean-Marie Le Pen - founder of French far right and 'Devil of the Republic' Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking.",Positive,0.99957365
