article,article_sentiment,article_score
"  More than 100 people are treated in hospital after a suspected chemical leak along the Sussex coast. Up to 2,000 people have already been rescued in the area, Texan authorities say. Four victims of Saturday's crash involving a minibus and two lorries are identified. One of six mountaineers roped together survives the fall in Austria's Zillertal Alps, officials say. Three police officers were injured when a man brandished a 4ft sword near Buckingham Palace on Friday. The crowd erupted in applause for those who worked to save victims of the tower block fire. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. Workers in Limburg checked the two remaining pillars before triggering a second round of blasts. Soldiers are targeted in a car bomb attack on a military vehicle near a market in Helmand province. The group sought refuge on the Norwegian island of Jan Mayen while on their way to Iceland. Bangladeshi border guards are turning back Rohingya Muslims fleeing an outbreak of fighting. The master of horror, who also directed Poltergeist and TV miniseries Salem's Lot, dies at 74. The actor and presenter married Laura Gallacher on Saturday, he announces on his Radio X podcast. The latest breaking and developing stories Original news and exclusive interviews Set a nation to see relevant news",Negative,0.22813071
"Several of the papers lead on what theDaily Mail describes as ""the best heart drug since statins"",external. Scientists are said to have found that a new drug, given by injection every three months, can cut the risk of heart attacks by a quarter. It is called Canakinumab and works by reducing inflammation. The Sun calls it a ""wonder drug"",externalthat ""slashes the risk"" of cancer too. The i newspaper hails the dawn,externalof ""a new era in heart disease treatment"" but says the price will have to come down before it can be approved. The Times says the drug currently costs,externalÂ£40,000 per patient per year as an arthritis treatment - so that could delay widespread use of the medicine alongside statins as a heart treatment. According to the Guardian,external, Jeremy Corbyn is facing a backlash from senior MPs in Labour's heartlands because of the party's ""shift to soft Brexit"". Three of them, from the Midlands and northern England, have told the paper that the move risks alienating thousands of voters in traditional seats who support greater controls on immigration. TheFinancial Times,externalsays Labour's announcement is putting Theresa May under renewed pressure from her own party over Brexit. Pro-European Conservatives, the paper says, will be emboldened to urge the prime minister to accept a softer deal. One unnamed senior pro-remain Tory is quoted as saying: ""The leverage among soft-Brexit Tories has increased significantly"". Get news from the BBC in your inbox, each weekday morning,external The Times leads on the case of a white, Christian five-year-old girl,externalwho, it says, has been taken from her family and forced to live with a foster carer who wears a niqab. In an internal report seen by the Times, a supervisor at Tower Hamlets council in London describes the child sobbing and begging not to be sent back to the foster carer's home because ""they don't speak English"". The council put out a statement saying:  ""All our foster carers receive training and support from the council to ensure they are fully qualified to meet the needs of the children in their care."" ""Charles must be our king"" is the bold messagespelt out in a purple box on the front of the Sun,external, pointing to an article inside by the paper's famed royal photographer, Arthur Edwards. He has decided to speak out after a recent poll suggested 51% want Prince William to be the next monarch. Edwards disagrees: ""The monarchy doesn't work like that. It's not an X Factor vote. Charles will be our next king, it's his birthright."" The photographer says his job has given him a unique insight into Charles's mindset - he's educated, passionate and very bright, has been heir for 65 years - and will be a good king. Finally, back to Brexit and theDaily Express reports a surge in vacuum cleaner sales,externalas shoppers rush to beat an EU ban on the most powerful models. ""Buy now while stocks last"", the paper says. ""It is a British person's inalienable right to have a vacuum cleaner of such ferocity that it sucks up your underlay and your floorboards."" Daily Express Daily Mail Daily Mirror Daily Star Daily Telegraph Financial Times Guardian Independent Metro Morning Star Sun Times The i Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking.",Negative,2.3804484e-06
"  More than 200 people are treated in hospital after a suspected chemical leak along the Sussex coast. Up to 2,000 people have already been rescued in the area, Texan authorities say. Four victims of Saturday's crash involving a minibus and two lorries are identified. One of six mountaineers roped together survives the fall in Austria's Zillertal Alps, officials say. Three police officers were injured when a man brandished a 4ft sword near Buckingham Palace on Friday. The crowd erupted in applause for those who worked to save victims of the tower block fire. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. Workers in Limburg checked the two remaining pillars before triggering a second round of blasts. Soldiers are targeted in a car bomb attack on a military vehicle near a market in Helmand province. The group sought refuge on the Norwegian island of Jan Mayen while on their way to Iceland. Bangladeshi border guards are turning back Rohingya Muslims fleeing an outbreak of fighting. The master of horror, who also directed Poltergeist and TV miniseries Salem's Lot, dies at 74. The actor and presenter married Laura Gallacher on Saturday, he announces on his Radio X podcast. The latest breaking and developing stories Original news and exclusive interviews Set a nation to see relevant news",Positive,0.513602
"  More than 200 people are treated in hospital after a suspected chemical leak along the Sussex coast. Up to 2,000 people have already been rescued in the area, Texan authorities say. Four victims of Saturday's crash involving a minibus and two lorries are identified. One of six mountaineers roped together survives the fall in Austria's Zillertal Alps, officials say. Three police officers were injured when a man brandished a 4ft sword near Buckingham Palace on Friday. The crowd erupted in applause for those who worked to save victims of the tower block fire. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. Workers in Limburg checked the two remaining pillars before triggering a second round of blasts. Soldiers are targeted in a car bomb attack on a military vehicle near a market in Helmand province. The group sought refuge on the Norwegian island of Jan Mayen while on their way to Iceland. Bangladeshi border guards are turning back Rohingya Muslims fleeing an outbreak of fighting. The master of horror, who also directed Poltergeist and TV miniseries Salem's Lot, dies at 74. The actor and presenter married Laura Gallacher on Saturday, he announces on his Radio X podcast. The latest breaking and developing stories Original news and exclusive interviews Set a nation to see relevant news",Negative,0.22847421
"  More than 200 people are treated in hospital after a suspected chemical leak along the Sussex coast. Up to 2,000 people have already been rescued in the area, Texan authorities say. Four victims of Saturday's crash involving a minibus and two lorries are identified. One of six mountaineers roped together survives the fall in Austria's Zillertal Alps, officials say. Three police officers were injured when a man brandished a 4ft sword near Buckingham Palace on Friday. The crowd erupted in applause for those who worked to save victims of the tower block fire. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. Workers in Limburg checked the two remaining pillars before triggering a second round of blasts. Soldiers are targeted in a car bomb attack on a military vehicle near a market in Helmand province. The group sought refuge on the Norwegian island of Jan Mayen while on their way to Iceland. Bangladeshi border guards are turning back Rohingya Muslims fleeing an outbreak of fighting. The master of horror, who also directed Poltergeist and TV miniseries Salem's Lot, dies at 74. The actor and presenter married Laura Gallacher on Saturday, he announces on his Radio X podcast. The latest breaking and developing stories Original news and exclusive interviews Set a nation to see relevant news",Positive,0.9999995
"  Up to 2,000 people have already been rescued in the area, Texan authorities say. People reported stinging eyes and breathing difficulties after a ""mist"" appeared from the sea. Four victims of Saturday's crash involving a minibus and two lorries are identified. One of six mountaineers roped together survives the fall in Austria's Zillertal Alps, officials say. Three police officers were injured when a man brandished a 4ft sword near Buckingham Palace on Friday. The crowd erupted in applause for those who worked to save victims of the tower block fire. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. Workers in Limburg checked the two remaining pillars before triggering a second round of blasts. Soldiers are targeted in a car bomb attack on a military vehicle near a market in Helmand province. The group sought refuge on the Norwegian island of Jan Mayen while on their way to Iceland. Bangladeshi border guards are turning back Rohingya Muslims fleeing an outbreak of fighting. The master of horror, who also directed Poltergeist and TV miniseries Salem's Lot, dies at 74. The actor and presenter married Laura Gallacher on Saturday, he announces on his Radio X podcast. The latest breaking and developing stories Original news and exclusive interviews Set a nation to see relevant news",Positive,0.9906687
"  Up to 2,000 people have already been rescued in the area, Texan authorities say. People reported stinging eyes and breathing difficulties after a ""mist"" appeared from the sea. Four victims of Saturday's crash involving a minibus and two lorries are identified. One of six mountaineers roped together survives the fall in Austria's Zillertal Alps, officials say. Three police officers were injured when a man brandished a 4ft sword near Buckingham Palace on Friday. The crowd erupted in applause for those who worked to save victims of the tower block fire. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. Workers in Limburg checked the two remaining pillars before triggering a second round of blasts. Soldiers are targeted in a car bomb attack on a military vehicle near a market in Helmand province. The group sought refuge on the Norwegian island of Jan Mayen while on their way to Iceland. Bangladeshi border guards are turning back Rohingya Muslims fleeing an outbreak of fighting. The master of horror, who also directed Poltergeist and TV miniseries Salem's Lot, dies at 74. The actor and presenter married Laura Gallacher on Saturday, he announces on his Radio X podcast. The latest breaking and developing stories Original news and exclusive interviews Set a nation to see relevant news",Negative,0.011276803
"  Up to 2,000 people have already been rescued in the area, Texan authorities say. People reported stinging eyes and breathing difficulties after a ""mist"" appeared from the sea. Four victims of Saturday's crash involving a minibus and two lorries are identified. One of six mountaineers roped together survives the fall in Austria's Zillertal Alps, officials say. Three police officers were injured when a man brandished a 4ft sword near Buckingham Palace on Friday. The crowd erupted in applause for those who worked to save victims of the tower block fire. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. Workers in Limburg checked the two remaining pillars before triggering a second round of blasts. Soldiers are targeted in a car bomb attack on a military vehicle near a market in Helmand province. The group sought refuge on the Norwegian island of Jan Mayen while on their way to Iceland. Bangladeshi border guards are turning back Rohingya Muslims fleeing an outbreak of fighting. The master of horror, who also directed Poltergeist and TV miniseries Salem's Lot, dies at 74. The actor and presenter married Laura Gallacher on Saturday, he announces on his Radio X podcast. The latest breaking and developing stories Original news and exclusive interviews Set a nation to see relevant news",Negative,9.314747e-06
"  Up to 2,000 people have already been rescued in the area, Texan authorities say. Four victims of Saturday's crash involving a minibus and two lorries are identified. People reported stinging eyes and breathing difficulties after a ""mist"" appeared from the sea. One of six mountaineers roped together survives the fall in Austria's Zillertal Alps, officials say. Three police officers were injured when a man brandished a 4ft sword near Buckingham Palace on Friday. The crowd erupted in applause for those who worked to save victims of the tower block fire. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. A boy is found dead in Manchester after police were called to a report of a domestic disturbance. Workers in Limburg checked the two remaining pillars before triggering a second round of blasts. Soldiers are targeted in a car bomb attack on a military vehicle near a market in Helmand province. The group sought refuge on the Norwegian island of Jan Mayen while on their way to Iceland. Bangladeshi border guards are turning back Rohingya Muslims fleeing an outbreak of fighting. The master of horror, who also directed Poltergeist and TV miniseries Salem's Lot, dies at 74. The actor and presenter married Laura Gallacher on Saturday, he announces on his Radio X podcast. The latest breaking and developing stories Original news and exclusive interviews Set a nation to see relevant news",Negative,0.48545283
"Judie McRae did not have the means to flee before the storm struck In the detritus of Hurricane Harvey a splash of red, white and blue catches the eye. It is a rain-sodden American flag, half-hidden under the green leaves of fallen trees. A few paces away Judie McRae, 44, is inspecting the damage to her trailer home. Judie has lived more than half of her life here but she says this is her first hurricane. She spent it hunkered down in bed, unable to sleep. She does not want to see another one. ""I just felt like my roof was going to come off at any minute,"" she says, describing a terrible sound of ""cracking and creaking"" that only stopped for a few minutes of calm when the eye of the hurricane  passed directly over her head. ""I was very fortunate that only two little windows got broke,"" she says. Exactly how fortunate is obvious. Three of her neighbours' houses lie in ruins. Sheet metal has been twisted out of shape and insulation foam hangs from the trees. Books and clothes are soaking in the rain. One powder blue trailer home has caved in completely, its wooden skeleton broken and exposed. As we examine the damage a young man arrives, agitated. He asks us if we have checked inside for the owner. We have not. ""Dan, are you in here?"" he shouts. We climb into the wreckage to help search for Dan, gingerly stepping over the missing man's possessions and clambering around his bathtub. There is no-one here. Judie, meanwhile, is worried about two other neighbours. Both got out before the storm struck and have not yet returned to learn that their homes are destroyed. She is particularly concerned about the elderly woman who lives two trailers along. ""She has no money and that was her home and it was already crap so..."" Judie tails off as if she can think of no useful way to complete the thought, no hope to offer. Meanwhile, down on the shore of Rockport, Robert Zbranek, 56, is trying to secure his boat to the dock after it broke free during the storm. Alongside, a small sailing yacht is under water. The yacht, Robert explains, was his home. He was inside when the hurricane swept over, smashing the hull. At the height of the most powerful storm in Texas since 1961, with winds blowing at 130mph (215km/h), he had to get out and scramble into his car, which he had parked behind a truck for shelter. Even then he did not feel safe as, he says, the vehicle was lifted off the ground by the high winds but it worked. What was it like? ""Rough,"" he laughs. I suggest that some people might question his sanity. This video can not be played The BBC's James Cook found a scene of devastation in Rockport ""I know I'm crazy,"" he says with a smile. ""It was supposed to be a category two, maybe a category three but it didn't turn out that way. It was absolutely ridiculous. Ferocious."" ""I still got a house,"" he adds. ""It's just a little tore up."" A boat on its side after the storm As we are chatting Robert's friend, Craig Hack, 56, appears. He too rode out the storm on a small sailing yacht. ""I just about lost my mast,"" he says, cackling when I ask how it was. ""No brains"" is his answer. Both men say they stayed because they wanted to be with their boat homes and their vehicles. They agreed that many folk like them would have lost money in the storm because they did not have insurance. Here in this coastal town that is a familiar story, of people struggling to make ends mean, let alone to thrive. Rockport was founded as a cattle abattoir and meat-packing port after the American civil war of 1861-1865. Named after its geology - it sits on a solid rock ledge - the town and its adjoining neighbour, Fulton, did well for many years, first on the beef trade and later thanks to fishing and shrimping. The storm flipped this plane over at Aransas County Airport By the time the 20th Century had dawned, a railway was bringing in tourists too. They still come, spending time and money boating and birdwatching, with ornithologists keen to see whooping cranes and hummingbirds. But their money does not seem to have done much for the people of the port or of its wooded suburbs. ""Hardscrabble"" is the word Americans use to describe a place like Rockport. It is overwhelmingly white (88.7% at the last census in 2010) andvoted decisively for Donald Trump,externalin the 2016 presidential election. Life here is tough, says Judie, never more so than now. There is some good news though. Judie thinks that Dan, the missing man, got out with relatives or friends just before the storm. ""God was with us,"" she says of her own survival though as she glances around at the destruction, she sounds a little unsure. Judie stayed, she tells me, because she had no means to leave and no place to go. ""I had some problems getting out of town, a little broke and stuff, so I had to come home and, you know, tough it out,"" she says. ""We're all the working class people. ""We're the ones who go to the restaurants and wait on you and pick up your trash and do all that work. We don't have a lot of money."" ""Fighting for the American dream,"" she adds, with a rueful laugh. US storm to bring 'catastrophic' flooding In pictures: Texas battered 'I'm basically homeless' after Harvey. Video, 00:00:35'I'm basically homeless' after Harvey Flames engulf buildings. Video, 00:00:24Flames engulf buildings How do hurricanes form? Video, 00:02:50How do hurricanes form? Rate cut hopes boosted by unexpected fall in inflation South Korea impeached president arrested after investigators scale walls Obesity needs new definition beyond BMI, says global report Red Sea dive-boat survivors accuse authorities of cover up Chris Mason: Political heat map flashes red over Treasury They hired Banksy for Â£50 then painted over his mural 'We sing to them': LA stables turn Noah's Ark for fire rescue animals Fatbergs turned into perfume - inside Britain's bizarre new industrial revolution Almost 100 strikes hit Gaza 'humanitarian zone', BBC Verify analysis suggests LA fire victims fear new housing crisis Trapped in the dark for 35 hours - Red Sea dive-boat survivors tell of terrifying escapes 'Your husband's being tortured, and it's your fault' The classic reality show starring Paris Hilton Can jet setters Paris Hilton and Nicole Richie give up their A-list lifestyles? Explore the brilliant mind of Socrates Naomi Alderman investigates notable thinkers with stories which celebrate the human mind The legendary manager's stunning career Friends and foes on the incredible career of Sir Alex Ferguson, Britain's most decorated football manager How is John planning for his retirement? Majestic Mad Dads, some clownery, blue biros and special flake dust also feature in this episode Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking.",Negative,3.3291307e-11
