article,article_sentiment,article_score
"Another victim of the 11 September 2001 attack on the World Trade Center in New York City has been identified, according to the city medical examiner. The male victim is the 1,641st person to be identified out of a total of 2,753 people who died in the attack. His identity - which was determined using new DNA technology - is being withheld at the request of his family. Before Monday's announcement, it had been over two years since the last identification took place. The last time a victim was identified was March 2015. Victims remains returned to Ground Zero 9/11 memories from the wreckage The man's identity was determined by New York City's Office of the Chief Medical Examiner, which had been retesting DNA recovered in 2001. A total of 1,112 people who died (40%) remain unidentified nearly 16 years after the terror attack. Two planes crashed in New York City that day, plus one at the Pentagon in Virginia and another in Pennsylvania, claiming nearly 3,000 lives and injuring thousands more. Debris sifted for 9/11 human remains Remains returned to 'Ground Zero' In pictures: Pentagon before and after 9/11 At least two killed and 1,000 structures destroyed as wildfires rage in Los Angeles Watch: Ferocious and explosive fire burns behind CBS reporter 'Patients are collapsing in the waiting room': A&E nurses speak out Where is Greenland and why does Trump want it? How Canada's immigration debate soured - and helped seal Trudeau's fate 'I can't get divorced as I can't get my pension valued' What are cold weather payments and who can get them? BBC Sound of 2025: Barry Can't Swim is a new dance music superstar Ros Atkins on...Elon Musk's political interventions Jean-Marie Le Pen - founder of French far right and 'Devil of the Republic' Cases of HMPV are on the rise in China - but what is it? Politics Essential: Get the latest news and analysis delivered to your inbox every weekday Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking.",Negative,0.46869287
"The Natrix helvetica was originally thought to be a subspecies of the grass snake A new type of snake has been identified in the UK after genetic testing re-classified its native grass snakes. Scientists say the common or eastern grass snake,Natrix natrix,is actually called the barred grass snake,Natrix helvetica. Grass snakes are protected under the Wildlife and Countryside Act making it illegal to injure or kill them. The other two snakes native to the UK are the smooth snake and the adder, which is venomous. The barred grass snake is normally found in lowland regions in the south of England. The snakes can be more than a metre (3ft) long, are found near water and eat mainly amphibians like frogs and newts. The newly distinguished snake is grey, not olive green like the N. natrix and does not have the same bright yellow collar. The snake is also found in Switzerland, Italy and France and also has been seen in western Germany. The species has been distinguished from the common or eastern grass snake Along its entire length theN. helveticahas black stripes, which on the common grass snake are barely noticeable. The Senckenberg Research Institute in Germany led the study into the genetics of more than 1,600 grass snakes. Professor Uwe Fritz said: ""We discovered that the barred grass snake, previously considered a subspecies, is in fact a distinct species. ""We now have to pay close attention to which species of grass snake is involved in each case, in order to be able to assess whether one of them may be more threatened than previously thought."" Correction 31 August 2017: This story has been updated to clarify that following genetic testing the total number of snake species in the UK remains at three, but the former 'grass snake' has a new name. In the pink for rock 'n' roll shrimp Iguana snake chase not fake, BBC says Senckenberg Research Institute At least two killed and 1,000 structures destroyed as wildfires rage in Los Angeles Watch: Ferocious and explosive fire burns behind CBS reporter 'Patients are collapsing in the waiting room': A&E nurses speak out Where is Greenland and why does Trump want it? How Canada's immigration debate soured - and helped seal Trudeau's fate 'I can't get divorced as I can't get my pension valued' What are cold weather payments and who can get them? BBC Sound of 2025: Barry Can't Swim is a new dance music superstar Ros Atkins on...Elon Musk's political interventions Jean-Marie Le Pen - founder of French far right and 'Devil of the Republic' Cases of HMPV are on the rise in China - but what is it? Politics Essential: Get the latest news and analysis delivered to your inbox every weekday Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking.",Positive,0.99999535
"Allow Instagram content? This article contains content provided by Instagram.  We ask for your permission before anything is loaded, as they may be using cookies and other technologies.  You may want to readMetaâs Instagram cookie policy,externalandprivacy policy,externalbefore accepting. To view this content chooseâaccept and continueâ. It is a struggle many former smokers experience. Have a few drinks and, before you know it, you're puffing away again. Now it seems ex-Prime Minister David Cameron - who has previously spoken of his battle to give up nicotine - is also no stranger to this predicament. In a snap from the weekend's Wilderness Festival in Oxfordshire, Mr Cameron was photographed by art consultant Lucy Edwards holding a drink and a cigarette. Back in 2011, Mr Cameron described himself as a ""former smoker"" at Prime Minister's Questions when responding to a question about a ban in cars when children were present. Four years later, he spoke in the Commons about his ""relatively successful"" battle to give up smoking. He was responding to a question about e-cigarettes and whether he could highlight the role they play in helping people give up smoking. This video can not be played Ex-smoker David Cameron said the ban on lighting up in workplaces has been a success Mr Cameron said: ""Certainly as somebody who has been through this battle a number of times, eventually relatively successfully, lots of people find different ways of doing it and certainly for some people e-cigarettes are successful."" Two years on and now out of the public eye, it seems Mr Cameron has turned to tobacco once again. Deborah Arnott, chief executive of charity ASH (action on smoking and health), said: ""Quitting smoking can be difficult but getting the right support throughout the process makes quit attempts much more likely to succeed. ""It's vital that smoking cessation services are properly funded and available to all who need them, whether plumber or former prime minister."" But Mr Cameron is far from being the only politician who has talked about smoking or their struggle to give up. Barack Obama said in 2013 that he hadn't had a cigarette in six years In 2010, then Deputy Prime Minister Nick Clegg confessed to being a secret smoker. On BBC Radio 4's Desert Island Discs, the Liberal Democrat leader said his luxury item, if stranded alone on an island, would be a ""stash of cigarettes"". And former US President Barack Obama started smoking as a teenager but promised his wife he would give up if she would allow him to run for president. ""Look, I've said before that as a former smoker I constantly struggle with it,"" Mr Obama told reporters in 2009. ""Have I fallen off the wagon sometimes? Yes. Am I a daily smoker, a constant smoker? No. I don't do it in front of my kids. I don't do it in front of my family. And, you know, I would say that I am 95% cured."" Mr Obama has acknowledged using nicotine gum. And in 2013, he wasquoted as saying,externalhe hadn't had a cigarette in six years. ""That's because I'm scared of my wife,"" he added. Maybe he could give Mr Cameron some tips. Think positive Get moving Make a list of reasons to quit Get some stop smoking support NHS Choices:Tips to stop smoking,external David Cameron photobombs festival selfie Former smoker Cameron hails ban At least two killed and 1,000 structures destroyed as wildfires rage in Los Angeles Watch: Ferocious and explosive fire burns behind CBS reporter 'Patients are collapsing in the waiting room': A&E nurses speak out Where is Greenland and why does Trump want it? How Canada's immigration debate soured - and helped seal Trudeau's fate 'I can't get divorced as I can't get my pension valued' What are cold weather payments and who can get them? BBC Sound of 2025: Barry Can't Swim is a new dance music superstar Ros Atkins on...Elon Musk's political interventions Jean-Marie Le Pen - founder of French far right and 'Devil of the Republic' Cases of HMPV are on the rise in China - but what is it? Politics Essential: Get the latest news and analysis delivered to your inbox every weekday Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking.",Negative,4.7371645e-06
"This video can not be played Sam Kanizay, 16, was left covered in blood by the flesh-eating bugs in Melbourne An Australian teenager is recovering in hospital after being bitten by multiple ""mite-sized sea critters"". Sam Kanizay, 16, found his feet and ankles covered in blood after soaking his legs in Melbourne's Brighton Beach on Saturday evening. Jarrod Kanizay said his son arrived home with what ""looked like a war injury"" and that his legs would not stop bleeding. The family are seeking expert opinion to identify the flesh-eating bugs. Marine biologists have said they were likely to have been sea fleas, tiny scavenging marine animals. WARNING: This article contains a close up image of the injury. After a tiring football game on Saturday evening, the 16-year-old decided to soak his legs in the cold bay near his home. Speaking to the BBC's World Update radio show, Sam described feeling pins and needles in his legs after standing waist-deep in dark cold water for about half an hour. After shaking off what he thought was sand coated around his ankles, he walked across the beach before looking down and realising that his feet were ""covered in blood"". ""It bled for ages, and it's still seeping blood now,"" he said. Sam Kanizay was seen immediately at hospital ""It looked like a war injury... like a grenade attack. It was really bloody,"" his father told BBC News. ""We got him in the shower but as soon as we did that the blood kept re-appearing,"" said Mr Kanizay. ""It wasn't clotting at all. It just kept bleeding and bleeding."" After two local hospitals could not identify the cause of the multiple pin-prick injuries, the Melbourne father decided to investigate and went back to the beach. ""Sam is very positive,"" said his father. ""I collected these strange creatures from the same spot last night by trapping them in a net and standing in the water myself,"" he said. ""We got thousands of these little mite-type bugs and they've been sent on to experts."" Mr Kanizay said he hoped the sandy-coloured mites would not scar his son, and he is expected to make a full recovery. ""We are just waiting on the experts to tell us what they are and how they behave and why this happened."" Marine biologist Dr Genefor Walker-Smith, who saw some of the samples,told Australia's Herald Sun newspaper,externalthat the bugs were probably lysianassid amphipods, or sea fleas. ""It's possible he disturbed a feeding group but they are generally not out there waiting to attack like piranhas,"" she said. Experts have said such cases are very rare and that there is no reason for alarm. At least two killed and 1,000 structures destroyed as wildfires rage in Los Angeles Watch: Ferocious and explosive fire burns behind CBS reporter 'Patients are collapsing in the waiting room': A&E nurses speak out Where is Greenland and why does Trump want it? How Canada's immigration debate soured - and helped seal Trudeau's fate 'I can't get divorced as I can't get my pension valued' What are cold weather payments and who can get them? BBC Sound of 2025: Barry Can't Swim is a new dance music superstar Ros Atkins on...Elon Musk's political interventions Jean-Marie Le Pen - founder of French far right and 'Devil of the Republic' Cases of HMPV are on the rise in China - but what is it? Politics Essential: Get the latest news and analysis delivered to your inbox every weekday Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking.",Negative,1.0151654e-10
"This video can not be played Chloe Ayling: ""I've been through a terrifying experience"" A British model who was allegedly kidnapped and held captive in Milan has been telling UK police about her ""horrific ordeal"", her agent has said. Chloe Ayling, 20, travelled to the city for a photo shoot on 11 July. She was kidnapped by a group calling itself Black Death and was released five days later, Phil Green, from Supermodel Agency, said in a statement. Ms Ayling wasn't allowed to return to the UK until she had attended a pre-trial hearing, the statement added. The model's passport was detained by police until she gave evidence on Friday, and she was also asked to visit the crime scene before flying back to the UK on Sunday, her agent said. Since her return, she has been ""debriefing"" the Metropolitan Police and the Foreign Office and ""has requested to spend the rest of the day in privacy with her mother"", said Mr Green. Italian police said she was attacked by two men and drugged and abducted, apparently to be sold in an online auction. The officers said they had arrested Polish national Lukasz Herba, who lives in Oldbury in the West Midlands, on kidnapping charges. Italian police released an image of suspect Lukasz Herba It is alleged the kidnappers attempted to sell the model online for Â£230,000 ($300,000) and demanded her agent paid a ransom fee. Italian police said the modelwas drugged with ketamine before being locked in a bagand transported in a car to a house in Borgial, north-west of Turin. She was handcuffed to a wooden chest of drawers in a bedroom for six days until she was released and taken to the British consulate in Milan, they said. Ms Ayling said she feared for her life throughout the ""terrifying experience"". She added: ""I'm incredibly grateful to the Italian and UK authorities for all they have done to secure my safe release."" Investigations into the case are being carried out by authorities in Italy, Poland and the UK. The UK's National Crime Agency (NCA) said it had been working with the East Midlands Special Operations Unit (EMSOU) and the Italian authorities. A spokesman said: ""A house in the Oldbury area linked to Lukasz Pawel Herba was searched on 18 July by EMSOU officers with assistance from West Midlands Police. ""Computer equipment seized is being forensically examined."" The Metropolitan Police said officers were made aware on 12 July of ""concerns over the welfare of a woman overseas"". ""The case was subsequently referred to specialist officers within the Met who worked in conjunction with the family and specialist officers from the East Midlands area."" The Foreign Office said staff from its consulate provided support to a British woman following an incident in Milan. ""We remain in contact with the Italian authorities."" Milan kidnap case model returns to UK At least two killed and 1,000 structures destroyed as wildfires rage in Los Angeles Watch: Ferocious and explosive fire burns behind CBS reporter 'Patients are collapsing in the waiting room': A&E nurses speak out Where is Greenland and why does Trump want it? How Canada's immigration debate soured - and helped seal Trudeau's fate 'I can't get divorced as I can't get my pension valued' What are cold weather payments and who can get them? BBC Sound of 2025: Barry Can't Swim is a new dance music superstar Ros Atkins on...Elon Musk's political interventions Jean-Marie Le Pen - founder of French far right and 'Devil of the Republic' Cases of HMPV are on the rise in China - but what is it? Politics Essential: Get the latest news and analysis delivered to your inbox every weekday Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking.",Positive,0.9999728
"A very small number of eggs contaminated with a toxic insecticide reached the UK earlier this year. Some of the eggs, which originated from the Netherlands, were also found in France, the country's agricultural ministry said. The UK's Food Standards Agency say the risk to the public is very low. The agency is ""urgently investigating"" the issue, but to the best of their knowledge, the affected products are no longer on shelves. It says there is no need for people in Britain to avoid eating eggs and any potential exposure is unlikely to harm. The revelations come after the supermarket chain Aldiwithdrew all eggs from sale in its stores in Germanylast week. Tests had shown the chemical fipronil, which can harm kidneys, liver and thyroid glands, was found in the eggs. It is feared that farmers in the Netherlands may now need to cull millions of birds as it seeks to eradicate traces of the insecticide from production, according to LTO, a Dutch farming organisation. On its website,the FSA said:,external""Our risk assessment, based on all the information available, indicates that as part of a normal healthy diet this low level of potential exposure is unlikely to be a risk to public health and there is no need for consumers to be concerned. ""Our advice is that there is no need for people to change the way they consume or cook eggs or products containing eggs."" Belgian officials have already admitted that they knew in June that eggs from Dutch farms might be contaminated with the fipronil insecticide Fipronil can treat lice and ticks in chickens, but should not be used on food-producing animals because of its toxicity. Shops in Belgium, the Netherlands and Germany, have removed the eggs from sale as a precaution. About 180 poultry farms in the Netherlands have also been temporarily shut in recent days while investigations are held. The FSA says approximately 21,000 eggs were distributed to the UK from implicated farms in the Netherlands between March and June of this year. But it says this is a very small proportion of the 1.8 billion eggs the UK imports each year. Around 85% of eggs consumed in Britain are home-produced. Aldi pulls Germany eggs over poison fear Food Standards Agency At least two killed and 1,000 structures destroyed as wildfires rage in Los Angeles Watch: Ferocious and explosive fire burns behind CBS reporter 'Patients are collapsing in the waiting room': A&E nurses speak out Where is Greenland and why does Trump want it? How Canada's immigration debate soured - and helped seal Trudeau's fate 'I can't get divorced as I can't get my pension valued' What are cold weather payments and who can get them? BBC Sound of 2025: Barry Can't Swim is a new dance music superstar Ros Atkins on...Elon Musk's political interventions Jean-Marie Le Pen - founder of French far right and 'Devil of the Republic' Cases of HMPV are on the rise in China - but what is it? Politics Essential: Get the latest news and analysis delivered to your inbox every weekday Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking.",Positive,0.9537188
"There is a sense of growing concern about relations with North Korea after the UN imposed new sanctions on Pyongyang. The Daily Mirror,externalillustrates this with images of Japanese schoolchildren taking part in air raid drills. The Mirror feels the threat posed by Kim Jong-un and his bizarre, paranoid antics is all too real - and is growing. ""We can only hope"", it concludes, ""that with China on board, a truly global effort can yet pull Pyongyang back from the brink"". The Financial Times,externalbelieves that only a concerted international effort has a chance of constraining Kim from taking further action. Sanctions and the hope that they will push him back to talks provide the best remaining option, it says. The Sun,externalfeels they are all that the world has left without unleashing a military attack on North Korea with potentially apocalyptic consequences. ""It's hard to imagine they will loosen his vice-like grip,"" argues the paper, ""but they might just force him to negotiate"". Get news from the BBC in your inbox, each weekday morning,external The government's proposal to bring into law the EU's General Data Protection Regulation is welcomed bythe Financial Times.,external The paper sees the decision to adopt European standards on protecting data - to be adopted from next year - as a victory for consumers. The Guardian,externalbelieves the plans to harmonise UK data protection laws with the EU's are necessary and sensible - even if we can no longer help to shape the policy. The Daily Telegraph,externalsays it seems sensible to adopt the measure to avoid any issues about data sharing between British and European-based companies after the UK leaves the EU. It thinks it is right that big holders of data such as Facebook look sympathetically on requests for posts or photographs to be removed - because there's no obvious reason someone's youthful indiscretions online should haunt them for the rest of their lives. The i newspaper's technology correspondent,external, Rhiannon Williams, sees it as a recognition of how rapidly childhood has changed for the better and worse thanks to technology - and how a 20-year-old jobseeker shouldn't be assessed on the unfortunate picture they cannot get scrubbed from Google Images. Jeremy Corbyn's statement on the political crisis in Venezuela fails to impressthe Sun,external. It accuses him of being mealy-mouthed when he said he regretted all violence by any side. The Daily Mail,externalagrees - saying he used typically weasel words. It feels he showed total disregard for reality when he praised the regime for its effective and serious efforts to reduce poverty and inequality, and improve the life chances of the poorest. It is clear,argues the Daily Telegraph,external, that the Venezuelan government is at fault, yet Mr Corbyn simply cannot bring himself to acknowledge this. The Times reports,externalconcerns that plans to scrap landing cards for millions of travellers from outside Europe will undermine border security. Critics are said to have warned that the move risks the loss of valuable intelligence. David Wood, the former head of immigration enforcement at the Home Office, tells the paper the cards were a useful intelligence tool and it seems the ""most incredible haste to abandon the system"". The Guardian's main story,externalis that staff at the US Department of Agriculture have been told to avoid using the term ""climate change"" in their work. It says it has seen emails which show a senior official has instructed staff to refer to ""weather extremes"" instead. The paper thinks the development shows how the Trump administration has had a stark impact on the language used by some federal employees around climate change. The Daily Express,externalfeatures Harry Moorhouse who plays golf twice a week - at the age of 100. His local club in Norwich has now offered him life membership to mark his birthday. Mr Moorhouse says he plays the game for fun and exercise. He tells the paper that his tips for living longer are staying active with 15 minutes of exercise in the morning - and drinking lots of water. Daily Express Daily Mail Daily Mirror Daily Star Daily Telegraph Financial Times Guardian Independent Metro Morning Star Sun Times The i Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking.",Negative,0.02299262
"Stephanie Davis and Jeremy McConnell began a relationship after appearing on Celebrity Big Brother Reality TV star Jeremy McConnell has been found guilty of assaulting his ex-girlfriend Stephanie Davis. McConnell, 27, attacked Miss Davis at her home in Rainhill, Merseyside while she was holding their baby son, Liverpool Magistrates' Court heard. Former Hollyoaks star Miss Davis told the trial she thought that ""psychotic"" McConnell was ""going to kill"" her after taking cocaine. The pair began a relationship after appearing onCelebrity Big Brother. They rowed during the hearing and at one point Judge Wendy Lloyd ordered a break in proceedings when McConnell began laughing in the dock after Miss Davis broke down in tears. The actress said: ""He's completely destroyed my life, it's been the worst 18 months."" The court heard the attack happened on 10 March after the couple went out for a meal with friends in Liverpool the night before to celebrate her birthday. Miss Davis said McConnell went on to a local pub with two of the friends. When he returned he was ""out of it"" and had been taking cocaine, the court heard. Jeremy McConnell leaving the Celebrity Big Brother House ""He said that I was fat, he said that no one was going to want to touch me again,"" she told the court. She added that McConnell had grabbed her by the face while holding her son Caben-Albi. He then took her phone as she tried to call for help before pushing her and biting the inside of her arm. Miss Davis said McConnell left but later returned and began kicking the doors in an attempt to get in. She said: ""I heard him go over the gate, it was literally like a horror film. ""I just thought, 'this is it, he's going to kill me'."" She said she let him in after fearing he would smash the glass patio doors and he followed her upstairs and threw her on to the bed. Miss Davis said he punched her to the side of the head and pushed her against the wall after accusing her of having affairs. Miss Davis said McConnell was ""psychotic"". He then left the house again but returned, this time snapping handles off the patio doors to get in. The actress denied making a complaint to police, three days after the attack, in a bid to prevent McConnell appearing on TV show Ex On The Beach. When asked about why she had retracted her statement in May, Miss Davis said: ""That was Jeremy getting me to retract my statement, he also threatened to throw acid in my face."" She said the couple used to argue about his drug use, claiming he spent Â£180,000 on cocaine last year. McConnell told the court Miss Davis attacked him after learning he had taken cocaine. He said he pushed her away in self-defence and claimed injuries shown in photos were ""self-inflicted"". James Morris, defending, said: ""She is aggrieved that he actually ended their relationship some six weeks ago."" McConnell, of Swords, Dublin, pleaded guilty to criminal damage of Miss Davis's property at an earlier hearing. He is due to be sentenced on Friday. CBB star 'couldn't handle' relationship Noel Gallagher's 'embarrassing' Beatles admission as he shares career update All the properties the council bought that are now worth millions less in value Housebuilder reveals 161 home 'masterplan' on 'safeguarded' green belt land Sentencing date set for men involved in fight at town centre bar Three people charged over alleged Â£1m fraud offences at car showroom Police chief donates Â£10,000 to rape and sexual assault support centre At least two killed and 1,000 structures destroyed as wildfires rage in Los Angeles Watch: Ferocious and explosive fire burns behind CBS reporter 'Patients are collapsing in the waiting room': A&E nurses speak out Where is Greenland and why does Trump want it? How Canada's immigration debate soured - and helped seal Trudeau's fate 'I can't get divorced as I can't get my pension valued' What are cold weather payments and who can get them? BBC Sound of 2025: Barry Can't Swim is a new dance music superstar Ros Atkins on...Elon Musk's political interventions Jean-Marie Le Pen - founder of French far right and 'Devil of the Republic' Cases of HMPV are on the rise in China - but what is it? Politics Essential: Get the latest news and analysis delivered to your inbox every weekday Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking.",Negative,0.012664281
"Sir James said the approved care plan was ""not a matter for congratulation"" A judge who said society should be ""ashamed"" for not protecting a suicidal girl has approved a care plan for her. The girl, known as X, will be moved to a special unit on Thursday after doctors managed to find her a place. Sir James Munby, head of the family courts in England and Wales, said the provision of care ""should not be dependent"" on legal involvement. The secure unit where the 17-year-old has been living has spent Â£125,000 on extra staff to care for her. The unit - which has not been named - said the Youth Justice Board ""failed"" to provide additional resources to maintain X's safety despite repeated requests. The details were revealed in the latest judgement in her case. Three social care staff were said to be off work suffering from ""stress and anxiety"" due to the ""unusual experiences"" they had observed with the girl. Sir James, who previously criticised the lack of supervision available for the girl, said the latest development was ""not a matter for congratulation"". He spoke out last Thursday to saythere would be ""blood on our hands""if the teenager did not receive adequate supervision upon her release from secure custody. He made his comments after finding out a secure unit place had not been found for the girl, who had made several suicide attempts. In Sir James' judgement, he said: ""I feel shame and embarrassment; shame, as a human being, as a citizen and as an agent of the State... that I can do no more for X."" The judgement in the case of X - who is in the formal care of Cumbria County Council - revealed she was convicted at a youth court and has been detained in custody for almost six months. Girl X's care reflects 'wholly unacceptable' situation in England, MP says An earlier ruling heard how unit staff had witnessed ""a profoundly disturbing and distressing scene when X self-harmed by repeatedly banging her head and face against the wall"". Staff said she must be checked every 50 seconds when she is in the shower. The unit has said 13 young people who were also being detained at the centre complained the quality of the care they were receiving was ""in breach of their statutory rights"" because staff had to attend to X and had less time to organise activities for them. Following the latest ruling, the judge said X should not be ""privileged"" because her case came before a senior judge. He added: ""I emphasise this because a mass of informed, if anecdotal, opinion indicates that X's is not an isolated case and that there are far too many young women in similar predicaments. How are they to be protected?"" Sir James said the publication of his judgment last Thursday had ""prompted substantial coverage"", with his ""blood on our hands"" warning making front pages. He added: ""This seems to have had some effect."" People stranded in mental health units Girl X's case not unique, says MP. Video, 00:00:19Girl X's case not unique, says MP At least two killed and 1,000 structures destroyed as wildfires rage in Los Angeles Watch: Ferocious and explosive fire burns behind CBS reporter 'Patients are collapsing in the waiting room': A&E nurses speak out Where is Greenland and why does Trump want it? How Canada's immigration debate soured - and helped seal Trudeau's fate 'I can't get divorced as I can't get my pension valued' What are cold weather payments and who can get them? BBC Sound of 2025: Barry Can't Swim is a new dance music superstar Ros Atkins on...Elon Musk's political interventions Jean-Marie Le Pen - founder of French far right and 'Devil of the Republic' Cases of HMPV are on the rise in China - but what is it? Politics Essential: Get the latest news and analysis delivered to your inbox every weekday Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking.",Negative,1.520354e-08
"Eloise Dixon and her family had reportedly ended up in a favela because of a miscommunication A British woman who was shot after she reportedly travelled to a Brazilian favela by mistake is ""lucky"" to be alive, according to a local hospital. Eloise Dixon, her partner and their three children were driving in Angra dos Reis on Sunday, when their car was approached by an armed group, Brazilian newspaperO Globo,externalreported. She was shot twice, once in the abdomen, but is recovering in hospital. Ms Dixon's family were unhurt, the paper added. O Globo said the family had apparently been searching for water to buy in Angra dos Reis - a coastal resort about 90 miles (145 km) from Rio de Janeiro. According to theO Dia,externalnewspaper, they ended up in the Agua Santa - or holy water - community because of a difficulty in understanding the language. The slum area is known to have drug traffickers. Images shown on Brazilian television show the family's car with a flattened tyre Images of the family's car shows damage to the front seat after the shooting Authorities told O Globo the family were shot at after they were told to leave their car by armed men but did not understand the request. One bullet was aimed at the head of Ms Dixon, who was sitting in the front passenger seat, but missed, while two others hit her in the abdomen. Neither of them hit any vital organs. The director of the hospital where she was treated, Rodrigo Mucheli, told Brazilian media: ""The projectile passed through the abdomen and fortunately did not hit the big vessels. She was really lucky."" Ms Dixon, from south-east London, is now reportedly in a stable condition after she underwent two hours of surgery. A UK Foreign Office spokesman said: ""We are assisting the family of a British woman who has been hospitalised in Angra dos Reis, Brazil. ""Our staff remain in contact with the local authorities."" By Katy Watson, BBC South America correspondent Angra dos Reis, the place that Eloise Dixon was shot, is a jumping-off point for some of Brazil's most famous tourist destinations. It's where tourists catch ferries to head to the beaches of Ilha Grande and not far away is the popular colonial town of Paraty. But while most tourists would feel safe in those parts, this shooting just shows how easy it is to get caught up in troubles. Agua Santa is a favela, or slum. A poor neighbourhood that would have probably started informally but then integrated into the main city. They are often controlled by drugs gangs so tourists are not advised to go in without  a local resident or guide. This shooting of Eloise Dixon isn't the first. There have been similar incidents in the city of Rio, with tourists following instructions from mobile apps and straying into favela territory with fatal consequences. At least two killed and 1,000 structures destroyed as wildfires rage in Los Angeles Watch: Ferocious and explosive fire burns behind CBS reporter 'Patients are collapsing in the waiting room': A&E nurses speak out Where is Greenland and why does Trump want it? How Canada's immigration debate soured - and helped seal Trudeau's fate 'I can't get divorced as I can't get my pension valued' What are cold weather payments and who can get them? BBC Sound of 2025: Barry Can't Swim is a new dance music superstar Ros Atkins on...Elon Musk's political interventions Jean-Marie Le Pen - founder of French far right and 'Devil of the Republic' Cases of HMPV are on the rise in China - but what is it? Politics Essential: Get the latest news and analysis delivered to your inbox every weekday Delivering brand-new miracles in 1970s East End Watch the latest series of Call the Midwife on iPlayer now Mark-Anthony Turnage shares the soundtrack of his life Once called 'Britainâs hippest composer', he's tackled topics from drug abuse to football in his work Paddyâs loaf-changing experience inside the bread factory Paddy McGuinness visits the bread factory he used to work in, and sees how they make 1.4 million loaves a week What's behind the global surrogacy boom? More countries are banning surrogacy â but demand is growing Â© 2025 BBC. The BBC is not responsible for the content of external sites.Read about our approach to external linking.",Positive,0.99481356
